区分,平成30,令和元,2,3,4
総数（件）,60,48,56,83,50
総数（％）,100,100,100,100,100
有（件）,46,39,37,65,41
有（％）,76.7,81.3,66.1,78.3,82
無（件）,14,9,19,18,9
無（％）,23.3,18.8,33.9,21.7,18
