区分,平成30,令和元,2,3,4
総数（件）,60,48,56,83,50
総数（％）,100,100,100,100,100
組合（件）,53,41,45,70,44
組合（％）,88.3,85.4,80.4,84.3,88
使用者（件）,7,5,11,10,6
使用者（％）,11.7,10.4,19.6,12.1,12
双方（件）,-,2,-,3,-
双方（％）,,4.2,,3.6,
職権（件）,-,-,-,-,-
職権（％）,,,,,
