日数,総数,内訳解決,内訳取下,内訳打切,内訳不調,内訳裁定
総　　数,61,32,5,23,-,-
９日以内,5,-,-,5,-,-
10日～19日,6,1,-,5,-,-
20日～29日,3,2,-,1,-,-
30日～59日,11,4,3,4,-,-
60日～89日,8,5,1,2,-,-
90日～179日,11,7,1,3,-,-
180日以上,16,13,-,3,-,-
