区分1,区分2,取下,和解,取下・和解計,命令・決定,終結計
１年６か月以内計,６か月以内,81,309,390,0,390
１年６か月以内計,６か月超～１年以内,46,261,307,8,315
１年６か月以内計,１年超～１年６か月以内,45,141,186,36,222
１年６か月以内計,,172,711,883,44,927
１年６か月超,,40,162,202,245,447
