区分１,区分２,平成27（件）,28（件）,29（件）,30（件）,令和元（件）
取扱件数,,163,160,165,155,139
取扱件数,前年からの繰越,54,48,51,50,47
取扱件数,開始,109,112,114,105,92
終結件数,,115,109,115,108,97
終結件数,解決,115,109,115,107,97
終結件数,打切,-,-,-,1,- 
次年繰越,,48,51,50,47,42
