区分,平成30,令和元,2,3,4
総数（件）,92,94,114,98,81
総数（％）,100,100,100,100,100
有（件）,22,18,25,23,16
有（％）,23.9,19.1,21.9,23.5,19.8
無（不明を含む）（件）,70,76,89,75,65
無（不明を含む）（％）,76.1,80.9,78.1,76.5,80.2
