区分１,区分２,平成30（件）,令和元（件）,2（件）,3（件）,4（件）
取扱件数,,155,139,127,129,107
取扱件数,前年からの繰越,50,47,42,39,31
取扱件数,開始,105,92,85,90,76
終結件数,,108,97,88,98,74
終結件数,解決,107,97,88,96,72
終結件数,打切,1,- ,-,1,1
終結件数,以降,-,-,-,1,1
次年繰越,,47,42,39,31,33
