区分,平成27,28,29,30,令和元
総数件数（件）,81,87,66,62,53
総数平均日数（日）,83.3,74.3,94.9,107,96.5
解決件数（件）,43,39,25,26,19
解決平均日数（日）,95.5,87.7,106.1,107.5,142.6
取下件数（件）,10,14,12,8,7
取下平均日数（日）,160.7,93.4,121.8,294,145.1
打切件数（件）,28,33,29,28,27
打切平均日数（日）,37,50.3,74.2,53.1,51.5
不調件数（件）,-,-,-,-,-
不調平均日数（日）,-,-,-,-,-
裁定件数（件）,-,-,-,-,-
裁定平均日数（日）,-,-,-,-,-
