区分,平成27,28,29,30,令和元
総数（件）,87,87,73,60,48
総数（％）,100,100,100,100,100
組合（件）,80,79,61,53,41
組合（％）,92,90.8,83.6,88.3,85.4
使用者（件）,7,8,8,7,5
使用者（％）,8,9.2,11,11.7,10.4
双方（件）,-,-,4,-,2
双方（％）,,,5.5,,4.2
職権（件）,-,-,,-,-
職権（％）,,,,,
