区分,平成27,28,29,30,令和元
総数（件）,116,97,104,92,94
総数（％）,100,100,100,100,100
有（件）,88,71,74,71,69
有（％）,75.9,73.2,71.2,77.2,73.4
無（件）,28,26,30,21,25
無（％）,24.1,26.8,28.8,22.8,26.6
