時点,認可区域_A_世帯,認可区域_A_人口,処理区域_B_世帯,処理区域_B_人口,水洗便所使用状況_C_世帯,水洗便所使用状況_C_人口,水洗便所使用状況_C_普及率(％)_世帯(C／A),水洗便所使用状況_C_普及率(％)_人口(C／A),水洗便所使用状況_C_普及率(％)_世帯(C／B),水洗便所使用状況_C_普及率(％)_人口(C／B),未水洗_世帯(A－C),未水洗_人口(A－C)
1976/3/31,63385,180154,30167,85674,23606,67041,37.2,37.2,78.3,78.3,39779,113113
1977/3/31,63771,181356,32321,91916,28129,79995,44.1,44.1,87,87,35642,101361
1978/3/31,64166,181671,37986,107549,34765,98429,54.2,54.2,91.5,91.5,29401,83242
1979/3/31,65396,184271,47556,134002,40539,114230,62,62,85.2,85.2,24857,70041
1980/3/31,66719,186353,51087,142690,44109,123199,66.1,66.1,86.3,86.3,22610,63154
1981/3/31,67610,187316,54778,151763,48665,134826,72,72,88.8,88.8,18945,52490
1982/3/31,68825,188917,59788,164112,52398,143828,76.1,76.1,87.6,87.6,16427,45089
1983/3/31,70023,190591,66865,181995,57584,156734,82.2,82.2,86.1,86.1,12439,33857
1984/3/31,71601,193713,69868,189025,63202,170990,88.3,88.3,90.5,90.5,8399,22723
1985/3/31,73025,195750,72674,194810,65216,174779,89.3,89.3,89.7,89.7,7809,20971
1986/3/31,75034,198998,74673,198042,70016,186850,93.3,93.9,93.8,94.3,5018,12148
1987/3/31,77189,201697,77065,201374,73224,192254,94.9,95.3,95,95.5,3965,9443
1988/3/31,78326,202641,78224,202378,75440,195713,96.3,96.6,96.4,96.7,2886,6928
1989/3/31,79598,203592,79575,203540,77365,198068,97.2,97.3,97.2,97.3,2233,5524
1990/3/31,81142,204901,81135,204875,79357,200271,97.8,97.7,97.8,97.8,1785,4630
1991/3/31,83017,206366,83010,206340,81356,202381,98,98.1,98,98.1,1661,3985
1992/3/31,84977,208445,84970,208421,83630,205341,98.4,98.5,98.4,98.5,1347,3104
1993/3/31,86864,210493,86858,210473,85741,207918,98.7,98.8,98.7,98.8,1123,2575
1994/3/31,88228,211486,88225,211477,87210,209145,98.8,98.9,98.8,98.9,1018,2341
1995/3/31,89268,212563,89268,212563,88503,210742,99.1,99.1,99.1,99.1,765,1821
1996/3/31,91132,214000,91132,214000,90458,212423,99.3,99.3,99.3,99.3,674,1577
1997/3/31,92963,216062,92963,216062,92599,215219,99.6,99.6,99.6,99.6,364,843
1998/3/31,94702,218015,94702,218015,94404,217327,99.6,99.6,99.7,99.7,298,688
1999/3/31,96475,220287,96475,220287,96192,219612,99.7,99.7,99.7,99.7,283,675
2000/3/31,97903,221927,97903,221927,97626,221266,99.7,99.7,99.7,99.7,277,661
2001/3/31,99737,224187,99737,224187,99480,223604,99.7,99.7,99.7,99.7,257,583
2002/3/31,102247,228119,102247,228119,102117,227859,99.9,99.9,99.9,99.9,130,260
2003/3/31,104520,231021,104520,231021,104412,230805,99.9,99.9,99.9,99.9,108,216
2004/3/31,106619,234088,106619,234088,106516,233882,99.9,99.9,99.9,99.9,103,206
2005/3/31,108875,238161,108875,238161,108775,237961,99.9,99.9,99.9,99.9,100,200
2006/3/31,110546,240574,110546,240574,110458,240398,99.9,99.9,99.9,99.9,88,176
2007/3/31,112393,242607,112393,242607,112316,242461,99.9,99.9,99.9,99.9,77,146
2008/3/31,114194,245032,114194,245032,114123,244897,99.9,99.9,99.9,99.9,71,135
2009/3/31,115696,247101,115696,247101,115632,246978,99.9,99.9,99.9,99.9,64,123
2010/3/31,117428,249996,117428,249996,117367,249876,99.9,99.9,99.9,99.9,61,120
2011/3/31,117817,251037,117817,251037,117767,250942,99.9,99.9,99.9,99.9,50,95
2012/3/31,118089,251349,118089,251349,118040,251256,99.9,99.9,99.9,99.9,49,93
2013/3/31,117410,252004,117410,252004,117360,251910,99.9,99.9,99.9,99.9,50,94
2014/3/31,118726,253424,118726,253424,118678,253334,99.9,99.9,99.9,99.9,48,90
2015/3/31,120279,255346,120279,255346,120235,255263,99.9,99.9,99.9,99.9,44,83
2016/3/31,122044,257318,122044,257318,122000,257247,99.9,99.9,99.9,99.9,44,71
2017/3/31,122768,257902,122768,257902,122731,257837,99.9,99.9,99.9,99.9,37,65
2018/3/31,123853,258567,123853,258567,123818,258506,99.9,99.9,99.9,99.9,35,61
2019/3/31,125089,259573,125089,259573,125057,259518,99.9,99.9,99.9,99.9,32,55
2020/3/31,126607,260382,126607,260382,126576,260329,99.9,99.9,99.9,99.9,31,53
2021/3/31,127832,260508,127832,260508,127802,260457,99.9,99.9,99.9,99.9,30,51
2022/3/31,128288,260144,128288,260144,128263,260096,99.9,99.9,99.9,99.9,25,48
2023/3/31,128763,259572,128763,259572,128738,259524,99.9,99.9,99.9,99.9,25,48
2024/3/31,130070,259941,130070,259941,130050,259902,99.9,99.9,99.9,99.9,20,39
