年次,南武線_府中本町_乗車人員_総数(人),南武線_府中本町_乗車人員_定期(人),南武線_府中本町_乗車人員_普通(人),南武線_府中本町_1日平均乗客人数(人),南武線_分倍河原_乗車人員_総数(人),南武線_分倍河原_乗車人員_定期(人),南武線_分倍河原_乗車人員_普通(人),南武線_分倍河原_1日平均乗客人数(人),南武線_西府_乗車人員_総数(人),南武線_西府_乗車人員_定期(人),南武線_西府_乗車人員_普通(人),南武線_西府_1日平均乗客人数(人),武蔵野線_北府中_乗車人員_総数(人),武蔵野線_北府中_乗車人員_定期(人),武蔵野線_北府中_乗車人員_普通(人),武蔵野線_北府中_1日平均乗客人数(人)
1970,1966000,0,0,0,7422000,0,0,0,…,…,…,…,1278000,0,0,0
1971,1898000,0,0,0,7105000,0,0,0,…,…,…,…,1224000,0,0,0
1972,2207000,785000,1422000,6047,6961000,5065000,1896000,19071,…,…,…,…,1136000,1025000,111000,3112
1973,3266000,840000,2426000,8948,6546000,4132000,2414000,17934,…,…,…,…,1435000,1181000,254000,3932
1974,3446000,948000,2498000,9441,6814000,4430000,2384000,18668,…,…,…,…,1600000,1323000,277000,4384
1975,3503000,891000,2612000,9597,5957000,3331000,2626000,16321,…,…,…,…,1646000,1345000,300000,4510
1976,3684000,917000,2767000,10093,6228000,3506000,2721000,17063,…,…,…,…,1763000,1455000,308000,4830
1977,3587000,897000,2691000,9827,6236000,3423000,2813000,17085,…,…,…,…,1796000,1486000,310000,4921
1978,3480000,999000,2481000,9534,5422000,3401000,2020000,14855,…,…,…,…,1801000,1495000,305000,4934
1979,3513000,1047000,2466000,9625,6961000,3930000,3032000,19071,…,…,…,…,1846000,1544000,303000,5058
1980,3361000,1020000,2340000,9208,6949000,3894000,3055000,19038,…,…,…,…,1755000,1478000,277000,4808
1981,3325000,1005000,2320000,9110,7423000,4258000,3165000,20337,…,…,…,…,1810000,1525000,285000,4959
1982,3258000,1001000,2257000,8926,7742000,4378000,3364000,21211,…,…,…,…,1785000,1483000,301000,4890
1983,3273000,1065000,2208000,8967,7963000,4381000,3582000,21816,…,…,…,…,1840000,1515000,325000,5041
