時点,学校数,敷地面積(平方メートル),校舎面積(平方メートル),保有教室数_普通教室,保有教室数_特別教室,児童1人当たり校舎面積(平方メートル),体育館数,体育館面積(平方メートル),プールの数_大,プールの数_小
1966/5/1,10,162505,47738,282,42,4.73,6,4930,10,10
1967/5/1,11,172824,50641,289,47,4.63,10,7830,10,10
1968/5/1,12,183326,55166,330,46,4.74,12,9573,12,12
1969/5/1,13,194093,62398,347,59,5.03,12,9209,13,13
1970/5/1,15,221673,67311,356,67,5.11,13,10017,13,13
1971/5/1,16,231048,74228,372,66,5.28,15,10613,15,15
1972/5/1,17,239884,76147,440,61,5.18,16,11383,16,16
1973/5/1,19,270089,83841,446,73,5.52,17,12205,17,17
1974/5/1,20,289969,93374,462,111,5.94,19,13578,19,19
1975/5/1,21,297997,100092,479,120,6.14,21,15297,21,21
1976/5/1,21,302997,103486,481,141,6.16,21,15253,21,21
1977/5/1,21,305989,104709,493,144,6.17,21,15253,21,21
1978/5/1,22,325995,107897,513,128,6.25,21,15253,21,21
1979/5/1,22,326382,115032,521,139,6.45,22,16040,22,22
1980/5/1,22,326382,115459,533,146,6.47,22,16040,22,22
1981/5/1,22,326705,115467,532,146,6.58,22,16040,22,22
1982/5/1,22,327795,115680,493,177,6.78,22,16040,22,22
1983/5/1,22,344142,117538,503,180,7.05,22,16040,22,22
1984/5/1,22,327091,117814,503,174,7.29,22,16224,22,22
1985/5/1,22,327091,117926,493,174,7.6,22,16460,22,22
1986/5/1,22,327091,117978,493,174,7.78,22,16477,22,22
1987/5/1,22,336555,119281,496,175,8.38,22,16477,22,22
1988/5/1,22,338089,119304,495,175,8.76,22,16477,22,22
1989/5/1,22,338082,121519,486,177,9.25,22,16477,22,22
1990/5/1,22,339809,121347,483,177,9.51,22,16477,22,22
1991/5/1,22,340604,122884,482,178,9.97,22,16477,22,22
1992/5/1,22,341287,122942,478,181,10.11,22,16477,22,22
1993/5/1,22,341335,122778,482,174,10.35,22,16477,22,22
1994/5/1,22,341335,122778,483,173,10.59,22,16477,22,22
1995/5/1,22,341335,122835,483,173,10.78,22,16477,22,22
1996/5/1,22,341335,123953,485,167,11.12,22,16477,22,22
1997/5/1,22,346348,123972,487,184,11.25,22,16477,22,22
1998/5/1,22,346348,123962,477,186,11.36,22,16477,22,22
1999/5/1,22,346348,123962,476,187,11.26,22,16477,22,22
2000/5/1,22,346348,124528,477,188,11.23,22,16477,22,22
2001/5/1,22,346348,124528,473,192,10.97,22,16477,22,22
2002/5/1,22,346348,124528,469,196,10.75,22,16477,22,22
2003/5/1,22,346348,124528,469,196,10.55,22,16477,22,22
2004/5/1,22,346606,124528,469,196,10.26,22,16477,22,22
2005/5/1,22,346606,124528,469,196,10.26,22,16477,22,22
2006/5/1,22,336615,143729,485,196,11.38,22,16393,22,22
2007/5/1,22,336647,143729,485,196,11.28,22,16393,22,22
2008/5/1,22,336647,143729,485,196,11.04,22,16393,22,22
2009/5/1,22,336647,143729,397,303,10.9,22,16393,22,22
2010/5/1,22,339711,143729,405,252,10.82,22,16393,22,22
2011/5/1,22,339460,143729,402,269,10.82,22,16393,22,22
2012/5/1,22,341338,139766,413,304,10.66,22,16393,22,22
2013/5/1,22,341779,147824,414,260,11.22,22,16740,22,22
2014/5/1,22,341833,147287,415,301,11.12,22,16640,22,22
2015/5/1,22,341833,147287,423,296,11.12,22,16640,22,22
2016/5/1,22,341833,147287,432,290,11.07,22,16640,22,22
2017/5/1,22,341833,147512,435,286,10.93,22,16640,22,22
2018/5/1,22,341833,147512,445,306,10.82,22,16640,22,22
2019/5/1,22,341833,148214,445,306,10.89,22,16640,22,22
2020/5/1,22,341833,149064,441,308,11.00184515,22,16640,22,22
2021/5/1,22,341833,149505,436,310,11.03,22,16640,22,22
2022/5/1,22,341833,146507,444,324,11.07,22,16640,22,22
2023/5/1,22,341833,150883,444,348,11.4,22,17421,22,22
