年度,競走事業会計_収益的支出(円),競走事業会計_資本的支出(円),下水道事業会計_収益的支出(円),下水道事業会計_資本的支出(円)
2015,56257572901,…,…,…
2016,54388594604,…,…,…
2017,59476308601,9050400,…,…
2018,69598250676,22977000,…,…
2019,70950083535,512615400,…,…
2020,84888551967,264697400,5206693051,528663890
2021,88503091208,377776300,5071744077,837679970
2022,91411612609,1828883000,5121612045,425128180
