時点,郵便局数,郵便差出箱,私書箱設備数,切手・印紙販売所
1962/12/31,5,54,16,49
1963/12/31,7,56,16,49
1964/12/31,8,59,16,51
1965/12/31,8,63,40,56
1966/12/31,11,74,40,59
1967/12/31,11,81,40,68
1968/12/31,11,83,40,71
1969/12/31,12,84,40,72
1970/12/31,12,87,40,74
1971/12/31,13,92,40,73
1972/12/31,13,103,40,85
1973/12/31,13,104,40,89
1974/12/31,14,106,40,87
1975/12/31,15,107,40,90
1976/12/31,15,109,40,90
1977/12/31,15,116,40,90
1978/12/31,15,71,40,97
1979/3/31,16,118,40,97
1980/3/31,16,120,64,98
1981/3/31,16,120,21,97
1982/3/31,16,121,64,98
1983/3/31,16,123,64,96
1984/3/31,16,131,64,94
1985/3/31,18,128,64,95
1986/3/31,18,128,64,93
1987/3/31,20,131,64,95
1988/3/31,20,132,64,94
1989/3/31,20,134,64,94
1990/3/31,20,140,64,97
1991/3/31,20,140,64,97
1992/3/31,20,140,64,97
1993/3/31,20,142,64,97
1994/3/31,23,143,70,100
1995/3/31,23,149,70,110
1996/3/31,23,151,70,167
1997/3/31,24,154,70,166
1998/3/31,24,154,70,168
1999/3/31,24,158,70,175
2000/3/31,24,159,70,176
2001/3/31,24,160,70,179
2002/3/31,24,160,70,180
2003/3/31,24,161,70,178
2004/3/31,24,163,70,176
2005/3/31,24,164,70,176
2006/3/31,24,164,70,161
2007/3/31,25,164,70,161
2008/3/31,25,164,70,148
2009/3/31,25,164,70,150
2010/3/31,25,164,70,147
2011/3/31,25,164,70,145
2012/3/31,25,164,70,152
2013/3/31,25,164,70,139
2014/3/31,25,164,70,141
2015/3/31,25,164,70,143
2016/3/31,25,164,70,144
2017/3/31,25,164,70,144
2018/3/31,25,164,70,145
2019/3/31,25,164,70,144
2020/3/31,25,164,70,144
2021/3/31,25,160,70,143
2022/3/31,25,159,70,143
2023/3/31,24,158,70,147
