年度,総額(円),市民税(円),固定資産税(円),軽自動車税(円),市たばこ税(円),入湯税(円),都市計画税(円),特別土地保有税(円),電気ガス税(円),その他(円)
1954,130123333,51291597,49592532,2100700,13084680,…,0,…,13625020,428804
1955,124190505,38426696,56481438,2219350,13901740,…,0,…,13137838,23443
1956,170788757,50409432,84418141,2688590,14825040,…,3759130,…,14611610,76814
1957,198179726,61757000,91905283,2864980,15329580,…,8709827,…,17607566,5490
1958,250395021,83133982,113404072,1111470,21679650,…,10476567,…,20237793,351487
1959,294691760,98734844,134135479,1598790,24765140,…,12153618,…,23112438,191451
1960,352313063,126071108,149141596,2172240,28689210,…,13544960,…,32604129,89820
1961,453517906,177070476,183749305,3417340,33790250,…,17721961,…,37703504,65070
1962,576265384,227603146,224603211,4702520,43293220,…,20886207,…,55141516,35564
1963,709987895,281416288,279782400,6049440,56708720,…,24542529,…,61483762,4756
1964,897244388,358450896,366578133,7352310,69717860,…,32789002,…,62354187,2000
1965,1128260750,469837110,456061161,9246145,82136100,…,42269052,…,68708582,2600
1966,1314034963,561005014,514977483,11589010,91306790,…,54450182,…,80706484,0
1967,1641500193,741507115,588811641,13354080,124983130,…,78017181,…,94827046,0
1968,1956193263,893819461,686386076,16379730,140577270,…,108026097,…,111004629,0
1969,2489870085,1137324873,878293498,19585670,184210650,…,139819022,…,130636372,0
1970,3065333873,1427372560,1053384426,21767720,220635880,…,191327521,0,150845766,…
1971,3732362702,1738389988,1286351366,23884830,238443020,…,276839326,0,168454172,…
1972,4538322330,2194196048,1555270935,24783680,254697290,…,334330088,0,175044289,…
1973,5914509963,2691368595,2169066884,24938970,287694330,…,530135135,11756250,199549799,…
1974,7440166522,3635079737,2616719161,23508150,316352670,…,573667072,31569500,243270232,…
1975,8163247099,3712081523,3247481913,22830780,327292620,…,600519821,22993740,230046702,…
1976,9823462709,4745059023,3717197970,27529090,348462580,…,670383655,32133090,282697301,…
1977,11258353746,5455253921,4141542064,26092400,522132530,…,745155335,40520860,327656636,…
1978,12781630415,6379087788,4526231581,26305630,557790390,…,952965851,4516210,334732965,…
1979,14356528875,7293967454,4966151677,29852460,597602450,…,1081334663,35746810,351873361,…
1980,16645641577,8982409324,5298042615,32854700,633194610,…,1147979220,13287980,537873128,…
1981,18530834483,10233010654,5592552088,34897950,727151390,…,1330265011,347750,612609640,…
1982,20529215517,11329837588,6192452585,39968830,775768970,…,1561388377,574790,629224377,…
1983,22338687205,12266343423,6828201122,44735200,804702180,…,1718696080,670100,675339100,…
1984,24205389717,13466331721,7240595290,58577790,893524760,…,1807390146,667820,738302190,…
1985,27868416594,16109923874,7987848559,62299800,946650928,…,1979916126,397470,781379837,…
1986,27751835853,15035851193,8645299195,66080090,1106609581,…,2138413664,14810,759567320,…
1987,30680931867,17473663412,9051983725,69736341,1094884490,…,2217297438,1821490,771544971,…
1988,34407418540,20420860964,9752131815,73124760,1121788399,…,1955985835,306942609,776584158,…
1989,36017679546,21968023895,10433387618,73787580,970329696,…,2057117243,281868941,0,233164573
1990,37503906928,23286206514,10856870257,76230485,1103265253,…,2108482519,72851900,0,…
1991,39378623702,23526125711,11787943893,76873930,1080594199,…,2281193869,625892100,0,…
1992,40141181457,23238921863,12873432795,77229230,1071985167,…,2508907102,370705300,0,…
1993,41477476726,22540230983,14792681613,78631385,1082371351,…,2755879394,227682000,…,…
1994,40964812677,19839621813,16596048343,79057160,1081495246,…,2670557715,698032400,…,…
1995,42855838066,21137476418,17414845971,80119860,1076115326,…,2866807191,280473300,…,…
1996,45735044051,23471850791,17854455571,81410040,1148471642,…,2971519707,207336300,…,…
1997,47219035560,24713767823,18178819838,80921800,1428446749,…,2702338450,114740900,…,…
1998,46547736328,23417437820,18797186631,82232400,1445631338,…,2801451239,3796900,…,…
1999,42874220139,19237742556,19191652552,82646483,1471876386,…,2887776762,2525400,…,…
2000,41844272014,18447805037,19014677372,84953217,1455420981,…,2839098807,2316600,…,…
2001,43097089572,18674110512,19926871160,88361691,1416197379,…,2902835330,88713500,…,…
2002,42731345358,18128079484,20068037805,89333260,1413602574,…,2949221735,83070500,…,…
2003,41776902875,17745851064,19619465362,92635650,1421068309,…,2897882490,0,…,…
2004,42137622588,17875239803,19782067039,96258895,1440900218,…,2943156633,0,…,…
2005,44563653471,20106881887,20006755788,99641800,1359513434,…,2990860562,0,…,…
2006,46114822857,21662361367,19953377351,103562325,1418473646,…,2977048168,0,…,…
2007,49670485789,24766337217,20337424661,109479900,1441378391,…,3015865620,0,…,…
2008,48783196095,23718537187,20537101263,112695300,1346440303,…,3068422042,0,…,…
2009,48840663223,23199214092,21123077787,115420000,1279940018,…,3123011326,0,…,…
2010,47551069007,21480877955,21451038240,117799701,1321149783,0,3180203328,…,…,…
2011,47573480154,21247338564,21514221912,120407293,1487581817,0,3203930568,…,…,…
2012,47459314459,22006848666,20775834303,120834794,1454577234,0,3101219462,…,…,…
2013,49620848129,23782217551,20965665155,125272151,1610563553,0,3137129719,…,…,…
2014,50090686990,23957036890,21277270048,130488772,1527740371,0,3198150909,…,…,…
2015,50755977722,24471105335,21426468869,135823414,1504395670,0,3218184434,…,…,…
2016,51080043133,24411850959,21792888799,170483482,1451411656,0,3253408237,…,…,…
2017,51443238355,24827635194,21807404793,174360177,1362421428,0,3271416763,…,…,…
2018,52827215557,26045194694,21950990031,178924564,1336750644,0,3315355624,…,…,…
2019,52773924970,25872092121,22044865708,185963135,1336947582,0,3334056424,…,…,…
2020,52036887089,24837454202,22331004768,197286129,1295333560,0,3375808430,…,…,…
2021,52299715660,25117542280,22261040644,206888690,1381882878,0,3332361168,…,…,…
2022,55175128078,27222876610,22872375309,217417455,1443656225,0,3418802479,…,…,…
