時点,総数,男,女
1955/1/1,274,…,…
1956/1/1,314,…,…
1957/1/1,341,…,…
1958/1/1,399,…,…
1959/1/1,425,…,…
1960/1/1,410,…,…
1961/1/1,414,…,…
1962/1/1,475,…,…
1963/1/1,463,…,…
1964/1/1,586,…,…
1965/1/1,719,…,…
1966/1/1,786,…,…
1967/1/1,791,…,…
1968/1/1,847,…,…
1969/1/1,900,…,…
1970/1/1,911,…,…
1971/1/1,959,…,…
1972/1/1,1025,…,…
1973/1/1,1106,…,…
1974/1/1,1137,…,…
1975/1/1,1129,…,…
1976/1/1,1098,…,…
1977/1/1,1094,…,…
1978/1/1,1115,…,…
1979/1/1,1145,…,…
1980/1/1,1119,…,…
1981/1/1,1117,…,…
1982/1/1,1128,…,…
1983/1/1,1137,…,…
1984/1/1,1202,645,557
1985/1/1,1377,734,643
1986/1/1,1381,728,653
1987/1/1,1484,774,710
1988/1/1,1491,766,725
1989/1/1,1664,870,794
1990/1/1,1734,942,792
1991/1/1,1924,1011,913
1992/1/1,2309,1243,1066
1993/1/1,2432,1341,1091
1994/1/1,2550,1344,1206
1995/1/1,2498,1260,1238
1996/1/1,2595,1327,1268
1997/1/1,2794,1431,1363
1998/1/1,2946,1463,1483
1999/1/1,3058,1502,1556
2000/1/1,3221,1519,1702
2001/1/1,3403,1558,1845
2002/1/1,3628,1709,1919
2003/1/1,3734,1699,2035
2004/1/1,3836,1739,2097
2005/1/1,4038,1854,2184
2006/1/1,4211,1911,2300
2007/1/1,4199,1922,2277
2008/1/1,4372,1980,2392
2009/1/1,4403,1974,2429
2010/1/1,4544,1988,2556
2011/1/1,4475,1911,2564
2012/1/1,4279,1802,2477
2013/1/1,4106,1699,2407
2014/1/1,4110,1713,2397
2015/1/1,4277,1766,2511
2016/1/1,4468,1889,2579
2017/1/1,4676,1987,2689
2018/1/1,4940,2131,2809
2019/1/1,5302,2306,2996
2020/1/1,5604,2471,3133
2021/1/1,5312,2436,2876
2022/1/1,5106,2306,2800
2023/1/1,5665,2544,3121
2024/1/1,5987,2735,3252
