時点,世帯数,人口_総数,人口_男,人口_女,前年に対する増加_世帯数,前年に対する増加_人口,前年に対する増加_増加率％,世帯当たり人口,人口密度(1キロ平方メートル当たり)
1954/1/1,10714,49720,25276,24444,…,…,…,4.640657084,1709
1955/1/1,10906,54110,28078,26032,192,4390,8.829444891,4.961489089,1839
1956/1/1,11853,58367,30143,28224,947,4257,7.867307337,4.924238589,1983
1957/1/1,13575,61451,31936,29515,1722,3084,5.283807631,4.526777164,2047
1958/1/1,14159,63942,32099,31843,584,2491,4.05363623,4.515996892,2130
1959/1/1,15264,67812,35073,32739,1105,3870,6.052359951,4.442610063,2263
1960/1/1,16656,72710,37198,35512,1392,4898,7.222910399,4.365393852,2427
1961/1/1,19351,80183,40723,39460,2695,7473,10.27781598,4.143610149,2676
1962/1/1,23447,87867,44795,43072,4096,7684,9.583078707,3.747473024,3933
1963/1/1,26751,96301,49207,47094,3304,8434,9.598597881,3.599902807,3214
1964/1/1,30320,105528,53911,51617,3569,9227,9.5814166,3.480474934,3522
1965/1/1,34823,115824,59719,56105,4503,10296,9.756652263,3.326077592,3866
1966/1/1,38638,125353,64720,60633,3815,9529,8.227137726,3.244293183,4198.024113
1967/1/1,43073,135657,70219,65438,4435,10304,8.219986757,3.149467184,4543.101139
1968/1/1,44408,140514,72453,68061,1335,4857,3.580353391,3.164159611,4705.760214
1969/1/1,48601,147821,76334,71487,4193,7307,5.200193575,3.041521779,4950.468855
1970/1/1,51202,153419,79140,74279,2601,5598,3.787012671,2.996347799,5137.943737
1971/1/1,54605,160212,83096,77116,3403,6793,4.42774363,2.934017031,5365.438714
1972/1/1,57219,164690,85509,79181,2614,4478,2.795046563,2.878239746,5515.405224
1973/1/1,58943,169498,87714,81784,1724,4808,2.919424373,2.875625604,5676.423309
1974/1/1,60682,172912,89431,83481,1739,3414,2.014183058,2.849477605,5790
1975/1/1,62180,176674,91471,85203,1498,3762,2.175673175,2.841331618,5916
1976/1/1,63207,179283,92623,86660,1027,2609,1.476731155,2.836442166,6004.119223
1977/1/1,63846,181055,93469,87586,639,1772,0.988381497,2.835808038,6063.462827
1978/1/1,64714,183107,94495,88612,868,2052,1.133357267,2.829480483,6132.183523
1979/1/1,65136,183157,94662,88495,422,50,0.027306438,2.811916605,6133.858004
1980/1/1,66539,186025,96189,89836,1403,2868,1.565869718,2.795728821,6229.906229
1981/1/1,67301,186592,96551,90041,762,567,0.304797742,2.772499666,6248.894843
1982/1/1,68659,188622,97798,90824,1358,2030,1.087935174,2.74722906,6316.878768
1983/1/1,69879,190026,98660,91366,1220,1404,0.744345835,2.719357747,6363.898192
1984/1/1,71420,192814,100099,92715,1541,2788,1.467167651,2.699719966,6457.267247
1985/1/1,73017,195412,101648,93764,1597,2598,1.347412532,2.676253475,6544.273275
1986/1/1,74601,197777,103136,94641,1584,2365,1.210263443,2.651130682,6623.476222
1987/1/1,76689,200820,105000,95820,2088,3043,1.538601556,2.618628486,6725.385131
1988/1/1,78241,202236,105978,96258,1552,1416,0.705109053,2.584782914,6772.80643
1989/1/1,79382,203050,106547,96503,1141,814,0.402500049,2.557884659,6800.066979
1990/1/1,80871,204323,107157,97166,1489,1273,0.626939178,2.526529906,6952.126574
1991/1/1,82472,205306,107697,97609,1601,983,0.481101002,2.489402464,6983.197279
1992/1/1,84094,206625,108253,98372,1622,1319,0.642455652,2.457071848,7028.061224
1993/1/1,86078,208857,109277,99580,1984,2232,1.080217786,2.426369107,7118.507157
1994/1/1,87436,209846,109799,100047,1358,989,0.473529736,2.399995425,7152.215406
1995/1/1,88489,210791,109982,100809,1053,945,0.450330242,2.382115291,7184.423995
1996/1/1,89468,211650,110162,101488,979,859,0.407512655,2.365650288,7213.701431
1997/1/1,90957,213552,110816,102736,1489,1902,0.898653437,2.347834691,7278.527607
1998/1/1,92507,215389,111504,103885,1550,1837,0.860212033,2.32835353,7341.138378
1999/1/1,94149,217523,112480,105043,1642,2134,0.990765545,2.310412219,7413.871847
2000/1/1,95738,219073,113070,106003,1589,1550,0.712568326,2.288255447,7466.70075
2001/1/1,97121,220699,113589,107110,1383,1626,0.742218347,2.272412763,7522.119973
2002/1/1,99669,224866,115777,109089,2548,4167,1.888091926,2.256127783,7664.144513
2003/1/1,101450,227095,116838,110257,1781,2229,0.991257015,2.238491868,7740.115883
2004/1/1,103552,229793,118194,111599,2102,2698,1.188049054,2.219107308,7832.072256
2005/1/1,105593,233178,119511,113667,2041,3385,1.473064889,2.208271382,7947.443763
2006/1/1,107754,237030,121239,115791,2161,3852,1.651956874,2.199732725,8078.732106
2007/1/1,108972,238334,121793,116541,1218,1304,0.550141332,2.187112286,8123.176551
2008/1/1,110283,239928,122399,117529,1311,1594,0.668809318,2.175566497,8177.505112
2009/1/1,111716,241930,123141,118789,1433,2002,0.834416992,2.165580579,8245.739605
2010/1/1,113743,244834,124892,119942,2027,2904,1.200347208,2.152519276,8344.71711
2011/1/1,114783,246667,125754,120913,1040,1833,0.748670528,2.148985477,8407.191547
2012/1/1,115239,247454,125819,121635,456,787,0.319053623,2.14731124,8434.014997
2013/1/1,117380,251858,127358,124500,2141,4404,1.779724717,2.145663657,8584.117246
2014/1/1,118429,253288,128018,125270,1049,1430,0.567780257,2.138732912,8632.856169
2015/1/1,119640,254551,128467,126084,1211,1263,0.498641862,2.127641257,8676
2016/1/1,121495,256748,129681,127067,1855,2197,0.86308834,2.113239228,8724.023106
2017/1/1,122656,258000,130160,127840,1161,1252,0.487637684,2.103443778,8766.56473
2018/1/1,123648,258654,130203,128451,992,654,0.253488372,2.091857531,8788.786952
2019/1/1,125060,260011,130582,129429,1412,1357,0.524639093,2.079090037,8834.896364
2020/1/1,126160,260232,130731,129501,1100,221,0.084996404,2.062714014,8842.405708
2021/1/1,127224,260255,130653,129602,1064,23,0.008838267,2.045643904,8843.187224
2023/1/1,128686,259924,130035,129889,747,-329,-0.126575461,2.019831217,8831.940197
2024/1/1,129835,260078,130030,130048,1149,154,0.059248088,2.00314245,8837.172953
