時点,総数,原動機付自転車_総数,原動機付自転車_第一種,原動機付自転車_特定小型,原動機付自転車_第二種(乙),原動機付自転車_第二種(甲),原動機付自転車_ミニカー,軽自動車_総数,軽自動車_軽二輪,軽自動車_軽三輪,軽自動車_軽四輪貨物車,軽自動車_軽四輪乗用車,小型特殊自動車_総数,小型特殊自動車_農耕用,小型特殊自動車_その他,二輪の小型自動車
1965/4/1,6957,4348,2356,…,1032,960,…,2566,757,375,880,554,16,16,0,27
1966/4/1,7650,4670,2496,…,1219,955,…,2925,618,287,1274,746,18,18,0,37
1967/4/1,7748,4436,2240,…,1367,829,…,3215,556,227,1493,939,24,22,2,73
1968/4/1,8619,4604,2318,…,1512,774,…,3904,504,176,1764,1460,25,22,3,86
1969/4/1,9267,4634,2357,…,1560,717,…,4490,468,124,2014,1884,31,20,11,112
1970/4/1,9940,4433,2310,…,1531,592,…,5336,471,78,2284,2503,36,12,24,135
1971/4/1,10717,4439,2397,…,1512,530,…,5920,473,55,2355,3037,46,13,33,312
1972/4/1,11103,4538,2523,…,1523,492,…,6112,450,45,2341,3276,52,11,41,401
1973/4/1,11023,4498,2566,…,1514,418,…,6006,417,39,2242,3308,62,12,50,457
1974/4/1,11110,4837,2883,…,1524,430,…,5634,403,35,2119,3077,63,10,53,576
1975/4/1,11428,5364,3234,…,1703,427,…,5350,367,28,2098,2857,71,11,60,643
1976/4/1,11021,5255,3354,…,1550,351,…,5035,348,19,2075,2593,70,11,59,661
1977/4/1,11228,5928,4095,…,1492,341,…,4577,343,17,1993,2224,80,17,63,643
1978/4/1,12212,6898,5143,…,1400,355,…,4536,340,12,2098,2086,101,35,66,677
1979/4/1,13601,8163,6428,…,1337,398,…,4472,399,9,2250,1814,129,47,82,837
1980/4/1,16125,10182,8484,…,1288,410,…,4702,532,7,2521,1642,152,57,95,1089
1981/4/1,19000,12244,10635,…,1164,445,…,5278,793,7,2983,1495,170,67,103,1308
1982/4/1,22910,15168,13585,…,1101,482,…,5938,1076,7,3427,1428,190,74,116,1614
1983/4/1,27184,18292,16689,…,1028,575,…,6808,1526,5,3966,1311,209,84,125,1875
1984/4/1,29721,19585,17992,…,964,629,…,7751,1995,4,4459,1293,218,97,121,2167
1985/4/1,31777,20400,18771,…,915,714,0,8679,2437,4,4984,1254,235,112,123,2463
1986/4/1,32695,20484,18891,…,891,702,0,9311,2677,1,5473,1160,242,118,124,2658
1987/4/1,33446,20200,18612,…,887,701,0,10090,2939,1,6064,1086,262,129,133,2894
1988/4/1,34186,19672,18040,…,913,687,32,11077,3330,1,6684,1062,280,137,143,3157
1989/4/1,33817,18917,17246,…,966,647,58,11636,3638,2,7005,991,296,143,153,2968
1990/4/1,33056,17947,16306,…,955,623,63,11918,3724,2,7042,1150,299,148,151,2892
1991/4/1,32681,17146,15542,…,1005,597,2,12343,3911,2,6944,1486,311,158,153,2881
1992/4/1,32428,16528,14875,…,1019,632,2,12645,4052,2,6804,1787,334,171,163,2921
1993/4/1,31881,15767,14100,…,1044,621,2,12771,4045,1,6727,1998,345,178,167,2998
1994/4/1,31537,15201,13541,…,1059,599,2,12930,3984,1,6685,2260,365,195,170,3041
1995/4/1,31267,14858,13140,…,1084,631,3,12920,3857,1,6558,2504,371,201,170,3118
1996/4/1,30902,14441,12686,…,1073,678,4,12994,3705,1,6460,2828,369,203,166,3098
1997/4/1,30519,14198,12393,…,1058,744,3,12968,3554,1,6313,3100,371,210,161,2982
1998/4/1,30505,14195,12279,…,1118,795,3,12977,3414,1,6197,3365,377,211,166,2956
1999/4/1,30903,14469,12353,…,1222,889,5,13014,3192,1,6104,3717,382,225,157,3038
2000/4/1,30983,14394,12239,…,1175,974,6,13258,3087,1,5983,4187,374,228,146,2957
2001/4/1,31275,14322,12011,…,1185,1120,6,13590,3123,1,5903,4563,376,234,142,2987
2002/4/1,31496,14194,11783,…,1140,1268,3,13877,3229,1,5739,4908,374,237,137,3051
2003/4/1,32052,14183,11647,…,1095,1432,9,14294,3316,1,5723,5254,380,239,141,3195
2004/4/1,32631,14192,11554,…,1050,1569,19,14876,3371,1,5785,5719,362,232,130,3201
2005/4/1,33219,14232,11491,…,1033,1681,27,15487,3466,1,5859,6161,350,235,115,3150
2006/4/1,33837,14210,11293,…,1012,1854,51,16133,3593,0,5887,6653,351,235,116,3143
2007/4/1,34523,14100,11120,…,956,1955,69,16869,3646,0,6003,7220,340,233,107,3214
2008/4/1,34903,13862,10777,…,943,2038,104,17462,3651,0,6026,7785,342,235,107,3237
2009/4/1,35161,13575,10368,…,928,2159,120,17863,3658,0,5927,8278,345,236,109,3378
2010/4/1,35040,13380,10093,…,865,2295,127,17991,3577,0,5846,8568,335,235,100,3334
2011/4/1,35051,13126,9714,…,809,2478,125,18256,3503,0,5815,8938,330,236,94,3339
2012/4/1,34659,12662,9189,…,749,2590,134,18436,3401,0,5811,9224,324,229,95,3237
2013/4/1,35031,12550,8974,…,702,2735,139,18924,3313,0,5897,9714,332,235,97,3225
2014/4/1,35399,12262,8591,…,658,2862,151,19562,3254,0,5898,10410,325,232,93,3250
2015/4/1,35873,11973,8232,…,638,2965,138,20341,3180,0,5984,11177,322,232,90,3237
2016/4/1,35748,11624,7808,…,618,3039,159,20642,3132,0,5909,11601,323,233,90,3159
2017/4/1,35115,11261,7368,…,597,3126,170,20465,3081,1,5823,11560,325,235,90,3064
2018/4/1,34824,10839,6927,…,599,3137,176,20517,3034,1,5743,11739,321,232,89,3147
