年次,月,総数_自転車駐車場_収容台数,総数_バイク駐車場_収容台数,総数_自転車_総利用台数,総数_バイク_総利用台数,総数_自転車駐車場_利用台数,総数_バイク駐車場_利用台数,総数_自転車_放置台数,総数_バイク_放置台数,京王線_総数_自転車駐車場_収容台数,京王線_総数_バイク駐車場_収容台数,京王線_総数_自転車_総利用台数,京王線_総数_バイク_総利用台数,京王線_総数_自転車駐車場_利用台数,京王線_総数_バイク駐車場_利用台数,京王線_総数_自転車_放置台数,京王線_総数_バイク_放置台数,京王線_武蔵野台_自転車駐車場_収容台数,京王線_武蔵野台_バイク駐車場_収容台数,京王線_武蔵野台_自転車_総利用台数,京王線_武蔵野台_バイク_総利用台数,京王線_武蔵野台_自転車駐車場_利用台数,京王線_武蔵野台_バイク駐車場_利用台数,京王線_武蔵野台_自転車_放置台数,京王線_武蔵野台_バイク_放置台数,京王線_多磨霊園_自転車駐車場_収容台数,京王線_多磨霊園_バイク駐車場_収容台数,京王線_多磨霊園_自転車_総利用台数,京王線_多磨霊園_バイク_総利用台数,京王線_多磨霊園_自転車駐車場_利用台数,京王線_多磨霊園_バイク駐車場_利用台数,京王線_多磨霊園_自転車_放置台数,京王線_多磨霊園_バイク_放置台数,京王線_東府中_自転車駐車場_収容台数,京王線_東府中_バイク駐車場_収容台数,京王線_東府中_自転車_総利用台数,京王線_東府中_バイク_総利用台数,京王線_東府中_自転車駐車場_利用台数,京王線_東府中_バイク駐車場_利用台数,京王線_東府中_自転車_放置台数,京王線_東府中_バイク_放置台数,京王線_府中_自転車駐車場_収容台数,京王線_府中_バイク駐車場_収容台数,京王線_府中_自転車_総利用台数,京王線_府中_バイク_総利用台数,京王線_府中_自転車駐車場_利用台数,京王線_府中_バイク駐車場_利用台数,京王線_府中_自転車_放置台数,京王線_府中_バイク_放置台数,京王線_分倍河原_自転車駐車場_収容台数,京王線_分倍河原_バイク駐車場_収容台数,京王線_分倍河原_自転車_総利用台数,京王線_分倍河原_バイク_総利用台数,京王線_分倍河原_自転車駐車場_利用台数,京王線_分倍河原_バイク駐車場_利用台数,京王線_分倍河原_自転車_放置台数,京王線_分倍河原_バイク_放置台数,京王線_中河原_自転車駐車場_収容台数,京王線_中河原_バイク駐車場_収容台数,京王線_中河原_自転車_総利用台数,京王線_中河原_バイク_総利用台数,京王線_中河原_自転車駐車場_利用台数,京王線_中河原_バイク駐車場_利用台数,京王線_中河原_自転車_放置台数,京王線_中河原_バイク_放置台数,京王線_府中競馬正門前_自転車駐車場_収容台数,京王線_府中競馬正門前_バイク駐車場_収容台数,京王線_府中競馬正門前_自転車_総利用台数,京王線_府中競馬正門前_バイク_総利用台数,京王線_府中競馬正門前_自転車駐車場_利用台数,京王線_府中競馬正門前_バイク駐車場_利用台数,京王線_府中競馬正門前_自転車_放置台数,京王線_府中競馬正門前_バイク_放置台数,西武(多摩川)線_総数_自転車駐車場_収容台数,西武(多摩川)線_総数_バイク駐車場_収容台数,西武(多摩川)線_総数_自転車_総利用台数,西武(多摩川)線_総数_バイク_総利用台数,西武(多摩川)線_総数_自転車駐車場_利用台数,西武(多摩川)線_総数_バイク駐車場_利用台数,西武(多摩川)線_総数_自転車_放置台数,西武(多摩川)線_総数_バイク_放置台数,西武(多摩川)線_多磨_自転車駐車場_収容台数,西武(多摩川)線_多磨_バイク駐車場_収容台数,西武(多摩川)線_多磨_自転車_総利用台数,西武(多摩川)線_多磨_バイク_総利用台数,西武(多摩川)線_多磨_自転車駐車場_利用台数,西武(多摩川)線_多磨_バイク駐車場_利用台数,西武(多摩川)線_多磨_自転車_放置台数,西武(多摩川)線_多磨_バイク_放置台数,西武(多摩川)線_白糸台_自転車駐車場_収容台数,西武(多摩川)線_白糸台_バイク駐車場_収容台数,西武(多摩川)線_白糸台_自転車_総利用台数,西武(多摩川)線_白糸台_バイク_総利用台数,西武(多摩川)線_白糸台_自転車駐車場_利用台数,西武(多摩川)線_白糸台_バイク駐車場_利用台数,西武(多摩川)線_白糸台_自転車_放置台数,西武(多摩川)線_白糸台_バイク_放置台数,西武(多摩川)線_競艇場前_自転車駐車場_収容台数,西武(多摩川)線_競艇場前_バイク駐車場_収容台数,西武(多摩川)線_競艇場前_自転車_総利用台数,西武(多摩川)線_競艇場前_バイク_総利用台数,西武(多摩川)線_競艇場前_自転車駐車場_利用台数,西武(多摩川)線_競艇場前_バイク駐車場_利用台数,西武(多摩川)線_競艇場前_自転車_放置台数,西武(多摩川)線_競艇場前_バイク_放置台数,西武(多摩川)線_是政_自転車駐車場_収容台数,西武(多摩川)線_是政_バイク駐車場_収容台数,西武(多摩川)線_是政_自転車_総利用台数,西武(多摩川)線_是政_バイク_総利用台数,西武(多摩川)線_是政_自転車駐車場_利用台数,西武(多摩川)線_是政_バイク駐車場_利用台数,西武(多摩川)線_是政_自転車_放置台数,西武(多摩川)線_是政_バイク_放置台数,南武線_総数_自転車駐車場_収容台数,南武線_総数_バイク駐車場_収容台数,南武線_総数_自転車_総利用台数,南武線_総数_バイク_総利用台数,南武線_総数_自転車駐車場_利用台数,南武線_総数_バイク駐車場_利用台数,南武線_総数_自転車_放置台数,南武線_総数_バイク_放置台数,南武線_府中本町_自転車駐車場_収容台数,南武線_府中本町_バイク駐車場_収容台数,南武線_府中本町_自転車_総利用台数,南武線_府中本町_バイク_総利用台数,南武線_府中本町_自転車駐車場_利用台数,南武線_府中本町_バイク駐車場_利用台数,南武線_府中本町_自転車_放置台数,南武線_府中本町_バイク_放置台数,南武線_西府_自転車駐車場_収容台数,南武線_西府_バイク駐車場_収容台数,南武線_西府_自転車_総利用台数,南武線_西府_バイク_総利用台数,南武線_西府_自転車駐車場_利用台数,南武線_西府_バイク駐車場_利用台数,南武線_西府_自転車_放置台数,南武線_西府_バイク_放置台数,武蔵野線_北府中_自転車駐車場_収容台数,武蔵野線_北府中_バイク駐車場_収容台数,武蔵野線_北府中_自転車_総利用台数,武蔵野線_北府中_バイク_総利用台数,武蔵野線_北府中_自転車駐車場_利用台数,武蔵野線_北府中_バイク駐車場_利用台数,武蔵野線_北府中_自転車_放置台数,武蔵野線_北府中_バイク_放置台数
2001,11月,20013,…,15795,…,11337,…,4458,…,15982,…,12105,…,8287,…,3818,…,1169,…,1289,…,1025,…,264,…,1548,…,895,…,848,…,47,…,1769,…,962,…,734,…,228,…,5557,…,4658,…,2458,…,2200,…,3423,…,2558,…,2067,…,491,…,2516,…,1742,…,1155,…,587,…,0,…,1,…,0,…,1,…,1622,…,1850,…,1652,…,198,…,787,…,732,…,697,…,35,…,530,…,577,…,570,…,7,…,155,…,274,…,146,…,128,…,150,…,267,…,239,…,28,…,994,…,1081,…,646,…,435,…,994,…,1081,…,646,…,435,…,0,…,0,…,0,…,0,…,1415,…,759,…,752,…,7,…
2002,10月,20783,…,15762,…,12258,…,3504,…,16602,…,12198,…,9179,…,3019,…,1169,…,1108,…,1031,…,77,…,1548,…,834,…,812,…,22,…,1769,…,1171,…,868,…,303,…,5557,…,4288,…,2370,…,1918,…,4043,…,3218,…,2976,…,242,…,2516,…,1579,…,1122,…,457,…,0,…,0,…,0,…,0,…,1772,…,1829,…,1696,…,133,…,907,…,737,…,710,…,27,…,530,…,626,…,626,…,0,…,155,…,247,…,155,…,92,…,180,…,219,…,205,…,14,…,994,…,1025,…,698,…,327,…,994,…,1025,…,698,…,327,…,0,…,0,…,0,…,0,…,1415,…,710,…,685,…,25,…
2003,10月,20783,…,15554,…,14344,…,1210,…,16602,…,11519,…,10829,…,690,…,1169,…,1072,…,1069,…,3,…,1548,…,794,…,771,…,23,…,1769,…,971,…,880,…,91,…,5557,…,3673,…,3548,…,125,…,4043,…,3144,…,3031,…,113,…,2516,…,1864,…,1530,…,334,…,0,…,1,…,0,…,1,…,1772,…,1620,…,1503,…,117,…,907,…,634,…,626,…,8,…,530,…,571,…,570,…,1,…,155,…,217,…,128,…,89,…,180,…,198,…,179,…,19,…,994,…,1380,…,977,…,403,…,994,…,1380,…,977,…,403,…,0,…,0,…,0,…,0,…,1415,…,1035,…,1035,…,0,…
2004,10月,21305,…,15393,…,14475,…,918,…,16981,…,11543,…,10890,…,653,…,1243,…,1082,…,1049,…,33,…,1548,…,728,…,708,…,20,…,1769,…,982,…,866,…,116,…,5532,…,3939,…,3739,…,200,…,4043,…,2926,…,2870,…,56,…,2846,…,1886,…,1658,…,228,…,0,…,0,…,0,…,0,…,1772,…,1586,…,1400,…,186,…,907,…,566,…,552,…,14,…,530,…,545,…,541,…,4,…,155,…,253,…,123,…,130,…,180,…,222,…,184,…,38,…,1137,…,1143,…,1075,…,68,…,1137,…,1143,…,1075,…,68,…,0,…,0,…,0,…,0,…,1415,…,1121,…,1110,…,11,…
2005,10月,21593,…,16520,…,15169,…,1351,…,17189,…,12356,…,11249,…,1107,…,1243,…,1333,…,1239,…,94,…,1548,…,786,…,779,…,7,…,1769,…,1121,…,989,…,132,…,5557,…,4112,…,3387,…,725,…,4226,…,3358,…,3325,…,33,…,2846,…,1625,…,1530,…,95,…,0,…,21,…,0,…,21,…,1852,…,1656,…,1487,…,169,…,907,…,638,…,622,…,16,…,530,…,554,…,554,…,0,…,155,…,228,…,96,…,132,…,260,…,236,…,215,…,21,…,1137,…,1320,…,1247,…,73,…,1137,…,1320,…,1247,…,73,…,0,…,0,…,0,…,0,…,1415,…,1188,…,1186,…,2,…
2006,10月,21684,…,15148,…,14165,…,983,…,17483,…,11750,…,10968,…,782,…,1168,…,1156,…,1122,…,34,…,1602,…,734,…,724,…,10,…,1769,…,973,…,903,…,70,…,5504,…,3527,…,3229,…,298,…,4806,…,3697,…,3651,…,46,…,2634,…,1636,…,1339,…,297,…,0,…,27,…,0,…,27,…,1630,…,1516,…,1422,…,94,…,685,…,493,…,489,…,4,…,530,…,585,…,585,…,0,…,155,…,185,…,107,…,78,…,260,…,253,…,241,…,12,…,1141,…,1041,…,936,…,105,…,1141,…,1041,…,936,…,105,…,0,…,0,…,0,…,0,…,1430,…,841,…,839,…,2,…
2007,10月,21198,…,16048,…,15298,…,750,…,17037,…,12304,…,11637,…,667,…,1168,…,1256,…,1251,…,5,…,1602,…,575,…,565,…,10,…,1884,…,1159,…,1063,…,96,…,5232,…,4187,…,3762,…,425,…,4455,…,3261,…,3247,…,14,…,2696,…,1866,…,1749,…,117,…,0,…,0,…,0,…,0,…,1478,…,1256,…,1173,…,83,…,533,…,424,…,419,…,5,…,530,…,514,…,514,…,0,…,155,…,120,…,49,…,71,…,260,…,198,…,191,…,7,…,1253,…,1308,…,1308,…,0,…,1253,…,1308,…,1308,…,0,…,0,…,0,…,0,…,0,…,1430,…,1180,…,1180,…,0,…
2008,10月,20796,…,16226,…,15667,…,559,…,16635,…,12386,…,11925,…,461,…,1168,…,1187,…,1176,…,11,…,1602,…,829,…,823,…,6,…,1884,…,1111,…,1057,…,54,…,5085,…,4088,…,3780,…,308,…,4195,…,3347,…,3286,…,61,…,2701,…,1824,…,1803,…,21,…,0,…,0,…,0,…,0,…,1478,…,1352,…,1254,…,98,…,533,…,418,…,407,…,11,…,530,…,517,…,517,…,0,…,155,…,196,…,116,…,80,…,260,…,221,…,214,…,7,…,1253,…,1308,…,1308,…,0,…,1253,…,1308,…,1308,…,0,…,0,…,0,…,0,…,0,…,1430,…,1180,…,1180,…,0,…
2009,10月,21678,…,14960,…,14073,…,887,…,16635,…,11194,…,10421,…,773,…,1168,…,1069,…,1026,…,43,…,1602,…,797,…,772,…,25,…,1884,…,1113,…,1016,…,97,…,5085,…,4296,…,3747,…,549,…,4195,…,2579,…,2553,…,26,…,2701,…,1340,…,1307,…,33,…,0,…,0,…,0,…,0,…,1478,…,1364,…,1274,…,90,…,533,…,326,…,322,…,4,…,530,…,575,…,574,…,1,…,155,…,232,…,147,…,85,…,260,…,231,…,231,…,0,…,2135,…,1219,…,1216,…,3,…,1253,…,921,…,918,…,3,…,882,…,298,…,298,…,0,…,1430,…,1183,…,1162,…,21,…
2010,10月,21320,…,16677,…,16272,…,405,…,16277,…,12241,…,12008,…,233,…,1135,…,1056,…,1033,…,23,…,1602,…,1375,…,1364,…,11,…,1884,…,1103,…,1050,…,53,…,5085,…,4247,…,4128,…,119,…,3870,…,2553,…,2541,…,12,…,2701,…,1907,…,1892,…,15,…,0,…,0,…,0,…,0,…,1478,…,1524,…,1425,…,99,…,533,…,379,…,371,…,8,…,530,…,646,…,645,…,1,…,155,…,220,…,130,…,90,…,260,…,279,…,279,…,0,…,2135,…,1710,…,1659,…,51,…,1253,…,1043,…,992,…,51,…,882,…,667,…,667,…,0,…,1430,…,1202,…,1180,…,22,…
