時点,世帯数_総数,世帯数_1人,世帯数_2人,世帯数_3人,世帯数_4人,世帯数_5人,世帯数_6人,世帯数_7人,世帯数_8人,世帯数_9人,世帯数_10人以上,世帯人員_総数,世帯人員_総数_1人,世帯人員_総数_2人,世帯人員_総数_3人,世帯人員_総数_4人,世帯人員_総数_5人,世帯人員_総数_6人,世帯人員_総数_7人,世帯人員_総数_8人,世帯人員_総数_9人,世帯人員_総数_10人以上,世帯人員_男_総数,世帯人員_男_1人,世帯人員_男_2人,世帯人員_男_3人,世帯人員_男_4人,世帯人員_男_5人,世帯人員_男_6人,世帯人員_男_7人,世帯人員_男_8人,世帯人員_男_9人,世帯人員_男_10人以上,世帯人員_女_総数,世帯人員_女_1人,世帯人員_女_2人,世帯人員_女_3人,世帯人員_女_4人,世帯人員_女_5人,世帯人員_女_6人,世帯人員_女_7人,世帯人員_女_8人,世帯人員_女_9人,世帯人員_女_10人以上
1980/1/1,66539,19854,9962,11607,17314,5544,1598,499,108,34,19,186025,19854,19924,34821,69256,27720,9588,3493,864,306,199,96189,14142,9309,17243,34938,13503,4620,1739,441,155,99,89836,5712,10615,17578,34318,14217,4968,1754,423,151,100
1981/1/1,67301,20521,10045,11726,17285,5514,1591,476,95,34,14,186592,20521,20090,35178,69140,27570,9546,3332,760,306,149,96551,14597,9353,17448,34862,13452,4555,1668,385,159,72,90041,5924,10737,17730,34278,14118,4991,1664,375,147,77
1982/1/1,68659,21349,10485,11702,17373,5582,1569,475,85,24,15,188622,21349,20970,35106,69492,27910,9414,3325,680,216,160,97798,15252,9774,17422,35030,13606,4508,1674,344,110,78,90824,6097,11196,17684,34462,14304,4906,1651,336,106,82
1983/1/1,69879,22169,10847,11850,17350,5536,1544,463,80,24,16,190026,22169,21694,35550,69400,27680,9264,3241,640,216,172,98660,15860,10078,17663,34926,13516,4456,1637,331,107,86,91366,6309,11616,17887,34474,14164,4808,1604,309,109,86
1984/1/1,71420,22762,11423,12145,17481,5577,1452,462,75,27,16,192814,22762,22846,36435,69924,27885,8712,3234,600,243,173,100099,16251,10631,18044,35162,13670,4198,1628,305,122,88,92715,6511,12215,18391,34762,14215,4514,1606,295,121,85
1985/1/1,73017,23698,11764,12373,17577,5610,1438,438,78,29,12,195412,23698,23528,37119,70308,28050,8628,3066,624,261,130,101648,16997,10965,18330,35363,13759,4180,1543,312,133,66,93764,6701,12563,18789,34945,14291,4448,1523,312,128,64
1986/1/1,74601,24610,12245,12578,17579,5616,1439,418,80,23,13,197777,24610,24490,37734,70316,28080,8634,2926,640,207,140,103136,17715,11416,18661,35464,13732,4192,1459,319,107,71,94641,6895,13074,19073,34852,14348,4442,1467,321,100,69
1987/1/1,76689,25899,12774,12868,17546,5681,1423,393,76,18,11,200820,25899,25548,38604,70184,28405,8538,2751,608,162,121,105000,18710,11896,19106,35446,13863,4159,1373,302,83,62,95820,7189,13652,19498,34738,14542,4379,1378,306,79,59
1988/1/1,78241,27099,13198,13084,17315,5665,1413,359,80,18,10,202236,27099,26396,39252,69260,28325,8478,2513,640,162,111,105978,19689,12360,19351,34915,13849,4116,1244,313,82,59,96258,7410,14036,19901,34345,14476,4362,1269,327,80,52
1989/1/1,79382,28019,13646,13053,17217,5581,1410,348,78,21,9,203050,28019,27292,39159,68868,27905,8460,2436,624,189,98,106547,20242,12798,19355,34686,13695,4114,1209,304,93,51,96503,7777,14494,19804,34182,14210,4346,1227,320,96,47
