期日,卒業者数_総数,卒業者数_男,卒業者数_女,進学率(％)_総数,進学率(％)_男,進学率(％)_女,就職率(％)_総数,就職率(％)_男,就職率(％)_女
1966/5/1,1816,975,841,83.42511013,82.76923077,84.18549346,14.48237885,16,12.72294887
1967/5/1,1642,810,832,85.80998782,85.92592593,85.69711538,11.81485993,12.4691358,11.17788462
1968/5/1,1612,851,761,88.39950372,87.5440658,89.35611038,9.305210918,10.22326675,8.278580815
1969/5/1,1541,776,765,90.78520441,90.33505155,91.24183007,6.8137573,7.731958763,5.882352941
1970/5/1,1642,842,800,92.2046285,92.51781473,91.875,6.211936663,6.532066508,5.875
1971/5/1,1691,848,843,95.09166174,94.10377358,96.08540925,4.612655234,5.660377358,3.558718861
1972/5/1,1678,882,796,95.47079857,95.69160998,95.22613065,3.814064362,3.968253968,3.64321608
1973/5/1,1669,840,829,95.74595566,96.30952381,95.17490953,3.535050929,3.214285714,3.860072376
1974/5/1,1856,1012,844,96.28232759,95.256917,97.51184834,2.909482759,3.754940711,1.895734597
1975/5/1,1857,934,923,97.09208401,96.46680942,97.7248104,1.83091007,2.248394004,1.408450704
1976/5/1,1994,979,1015,94.88465396,94.58631256,95.17241379,3.059177533,3.983656793,2.167487685
1977/5/1,2097,1090,1007,95.66046733,96.05504587,95.23336643,2.479732952,3.027522936,1.886792453
1978/5/1,2240,1155,1085,96.5,95.9,97.1,2.3,3.2,1.4
1979/5/1,2280,1204,1076,96.2,95.5,96.93,2.5,3.2,1.2
1980/5/1,2499,1308,1191,95.4,94.3,96.6,2.6,3.7,1.4
1981/5/1,2442,1210,1222,95.2,94.2,96.1,3,4.6,1.5
1982/5/1,2403,1230,1173,94,93,95.1,3.4,4.9,1.9
1983/5/1,2650,1370,1280,94,92,96.3,3.9,6.1,1.6
1984/5/1,2762,1435,1327,93.8,92.2,95.5,2.7,3.8,1.4
1985/5/1,2717,1398,1319,93.9,93,94.8,2.8,4,1.4
1986/5/1,2703,1424,1279,92.6,91.4,94,3.4,4.6,2
1987/5/1,2937,1510,1427,91.9,91.1,92.8,3.1,4,2.1
1988/5/1,2819,1459,1360,92.5,91.8,93.3,2.9,4,1.7
1989/5/1,2829,1487,1342,93.1,91.9,94.5,2.5,3.1,1.9
1990/5/1,2612,1404,1208,93,92.7,93.5,2.3,3.1,1.5
1991/5/1,2338,1194,1144,93.7,92.8,94.7,2.4,3.6,1
1992/5/1,2259,1208,1051,94.3,93.7,95.1,1.5,2.6,0.4
1993/5/1,2161,1120,1041,94.6,92.9,96.4,1.6,2.6,0.5
1994/5/1,2066,1086,980,96.5,95.9,97.1,0.8,1.3,0.3
1995/5/1,1986,991,995,95.6,94.6,96.7,1.2,1.7,0.6
1996/5/1,1928,996,932,96,95.9,96,1.3,2,0.5
1997/5/1,1844,952,892,96.4,94.7,98.1,1.4,2.1,0.7
1998/5/1,1811,936,875,96.7,96.3,97.1,1,1.5,0.5
1999/5/1,1893,952,941,96.3,96.1,96.5,0.7,0.8,0.6
2000/5/1,1746,903,843,96.7,97.5,96,0.5,0.6,0.4
2001/5/1,1803,922,881,97.3,97.1,97.5,0.6,0.8,0.5
2002/5/1,1674,892,782,96.2,96.08,96.4,0.4,0.6,0.2
2003/5/1,1686,901,785,98.22,98.5,97.8,0.1,0.1,0.1
2004/5/1,1718,909,809,97.5,98.2,96.7,0.6,0.8,0.5
2005/5/1,1684,861,823,96.6,97.1,96.1,0.5,0.3,0.6
2006/5/1,1720,869,851,97.3,97.2,97.4,0.5,0.6,0.4
2007/5/1,1676,855,821,98.3,98,98.7,0.5,0.7,0.2
2008/5/1,1771,931,840,97.4,97.1,97.7,0.3,0.5,0.1
2009/5/1,1749,880,869,97.1,97.3,96.9,0.6,0.9,0.2
2010/5/1,1848,963,885,98.5,98.3,98.8,0.2,0.1,0.2
2011/5/1,1736,921,815,97.7,97.8,97.5,0.4,0.7,0.1
2012/5/1,1851,962,889,96.8,96.4,97.2,0.6,0.9,0.2
2013/5/1,1886,1010,876,97.9,97.4,98.5,0.3,0.6,0
2014/5/1,1863,998,865,98.1,98.2,98,0.5,0.7,0.2
2015/5/1,1934,996,938,98.3,98.2,98.4,0.2,0.3,0.1
2016/5/1,1918,998,920,98.7,98.6,98.9,0.2,0.3,0.1
2017/5/1,1992,1017,975,98.5,97.7,99.3,0.3,0.6,0
2018/5/1,1996,1066,930,99.7,99.8,99.6,0.3,0.2,0.4
2019/5/1,1964,1031,933,99.4,99,99.9,0.1,0.1,0
2020/5/1,1973,1028,945,98.9,98.6,99.3,0.1,0.2,0
2021/5/1,1823,946,877,98.6,98.8,98.4,0.1,0.1,0
2022/5/1,1989,1043,946,98.9,99.2,98.5,0.1,0.1,0.1
2023/5/1,1970,1056,914,99.13705584,99.0530303,99.23413567,0.101522843,0.09469697,0.10940919
