年度,総数(平方メートル),農地法第4条による転用_総数(平方メートル),農地法第4条による転用_住宅用地(平方メートル),農地法第4条による転用_その他(平方メートル),農地法第5条による転用_総数(平方メートル),農地法第5条による転用_住宅用地(平方メートル),農地法第5条による転用_その他(平方メートル)
1966,228377,79023,51732,27291,149354,60925,88429
1967,201597,67254,49799,17455,134343,57553,76790
1968,257833,98379,81590,16789,159454,73968,85486
1969,329713,103163,84475,18688,226550,93842,132708
1970,229027,71464,52831,18633,157563,81963,75600
1971,213040,89044,61691,27353,123996,54906,69090
1972,246993,63983,46362,17621,183010,65862,117148
1973,211384,64983,32424,32559,146401,61345,85056
1974,107314,54255,29591,24664,53059,32377,20682
1975,111985,31474,24729,6745,80511,49602,30909
1976,90119,37298,24873,12425,52821,28090,24731
1977,81205,36675,15566,21109,44530,25617,18913
1978,72271,28656,14307,14349,43615,29604,14011
1979,88197,37727,23398,14329,50470,32833,17637
1980,77555,42159,22648,19511,35396,23357,12039
1981,70236,35540,18585,16955,34696,26702,7994
1982,82533,40808,20009,20799,41725,25812,15913
1983,59223,26476,17726,8750,32747,21274,11473
1984,69548,43475,26173,17302,26073,16766,9307
1985,74999,40492,27028,13464,34507,22917,11590
1986,85330,48996,27737,21259,36334,18049,18285
1987,79031,55691,35021,20670,23340,11063,12277
1988,52508,37684,16997,20687,14824,10255,4569
1989,93745,58399,34876,23523,35346,18166,17180
1990,104761,69421,45430,23991,35340,12360,22980
1991,108103,82544,34659,47885,25559,10549,15010
1992,115220,94339,44761,49578,20881,9553,11328
1993,90114,51634,33666,17968,38480,32880,5600
1994,73350,39675,23692,15983,33675,27632,6043
1995,59801,33311,20659,12652,26490,22109,4381
1996,64907,37387,21064,16323,27520,20213,7307
1997,49807,32439,15494,16945,17368,9724,7644
1998,66122,30754,19777,10977,35368,27282,8086
1999,62138,30484,17275,13209,31654,26799,4855
2000,75629,42285,27003,15282,33344,29988,3356
2001,64499,29723,16090,13633,34776,29285,5491
2002,43523,18571,15089,3482,24952,21455,3497
2003,48536,21063,13697,7366,27473,22288,5185
2004,44637,13051,10462,2589,31586,29221,2365
2005,46415,23438,15993,7445,22977,15953,7024
2006,60453,26256,15390,10866,34197,20696,13501
2007,38568,12859,9498,3361,25709,20002,5707
2008,60957,19938,13866,6072,41019,32390,8629
2009,41844,14766,9609,5157,27078,24481,2597
2010,56957,10712,6514,4198,46245,36141,10104
2011,31662,8369,5486,2883,23293,19653,3640
2012,37160,9896,5445,4451,27264,23308,3956
2013,30736,6104,2268,3836,24632,18944,5688
2014,31516,8169,5713,2456,23347,20404,2943
2015,25184,10565,10268,297,14619,14496,123
2016,28428,7331,3888,3443,21097.38,20818.57,278.81
2017,35588,8450,5134,3316,27138,24538,2600
2018,37972.47,17265.46,4857.46,12408,20707.01,15296.01,5411
2019,30700,11357,5336,6021,19343,16849,2494
2020,30688.42,7661.7,4212.7,3449,23026.72,16044.88,6981.84
2021,23107.44,4457,2268,2189,18650.44,15922.83,2727.61
2022,30552.16,7302.84,5052.84,2250,23249.32,16870.32,6379
2023,49938.88,13440.28,2979,10461.28,36498.6,32000.96,4497.64
