時点,総面積(a),田(a),畑(a),樹園地(a),その他(a),一戸当たり平均耕地面積(a)
1954/1/1,87797,27350,54651,5796,…,…
1955/1/1,87178,27437,53892,5577,272,…
1956/1/1,88261,29276,53175,5571,239,…
1957/1/1,91581,30224,53900,6586,871,…
1958/1/1,90175,30275,52424,6865,611,…
1959/1/1,86268,30350,49421,6007,490,…
1960/1/1,81779,30203,45590,5720,266,…
1961/1/1,73882,28003,39709,5518,652,…
1962/1/1,71373,27120,37934,5362,957,…
1963/1/1,67802,25914,35769,5123,996,…
1964/1/1,64325,24066,33946,5190,1123,…
1965/1/1,58589,21425,32510,4280,374,…
1966/1/1,54672,19305,30018,4605,744,…
1967/1/1,53965,18864,29674,4505,922,…
1968/1/1,52350,18193,28703,4558,896,…
1969/1/1,50593,17583,27416,4631,963,…
1970/1/1,46152,16516,24633,5003,…,…
1971/1/1,38718,13510,21312,3896,…,…
1972/1/1,35334,12236,19544,3554,…,43.5
1973/1/1,34882,12175,18031,4676,…,42.5
1974/1/1,32280,11195,16489,4596,…,41.3
1975/1/1,32539,10851,16900,4788,…,41.2
1976/1/1,31542,10407,16135,5000,…,40.6
1977/1/1,30884,9972,15745,5167,…,40.6
1978/1/1,30462,9757,15455,5250,…,39.9
1979/1/1,28731,8841,14865,5025,…,39
1980/1/1,28639,8653,14705,5281,…,39
1981/1/1,28324,8605,14642,5077,…,39.2
1982/1/1,27802,8608,14039,5155,…,38.9
1983/1/1,26921,8152,13724,5045,…,39
1984/1/1,26056,7978,13105,4973,…,37.7
1985/1/1,25476,7833,12765,4878,…,38
1986/1/1,25227,7673,12598,4956,…,37.8
1987/1/1,24603,7324,12317,4962,…,37.2
1988/1/1,24283,7249,12025,5009,…,37.6
1989/1/1,24043,6993,12173,4877,…,36.8
1990/1/1,23202,6736,11857,4609,…,36.3
1991/1/1,23195,7159,11480,4556,…,37
1992/1/1,23037,7377,11432,4228,…,37
1993/1/1,21143,6524,10748,3871,…,36
1994/1/1,20852,6584,10526,3742,…,36.5
1995/1/1,19993,6191,9724,4078,…,35.3
1996/1/1,20283,6723,9856,3704,…,36.6
1997/1/1,20292,6923,10089,3280,…,37.2
1998/1/1,20472,6308,10959,3205,…,39.5
1999/1/1,19237,5139,10966,3132,…,38.2
2000/1/1,19233,5031,11040,3162,…,37
2001/1/1,18897,4976,10632,3289,…,36.3
2002/1/1,15612,4767,8110,2735,…,30.4
2003/1/1,16994,4994,9105,2895,…,32.9
2004/1/1,17665,4853,9764,3048,…,37.2
2005/1/1,17607,4824,9742,3041,…,37
2006/1/1,17493,4679,9812,3002,…,37
2007/1/1,16869,4482,9419,2968,…,35.8
2008/1/1,16374,4362,9073,2939,…,34.8
2009/1/1,17570,5847,11664,…,59,37.5
2010/1/1,17064,5678,11356,…,30,36.3
2011/1/1,16790,5510,11266,…,14,35.4
2012/1/1,16440,6066,10363,…,11,35
2013/1/1,16249,5938,10300,…,11,34.6
2014/1/1,16127,5828,10188,…,111,34.5
2015/1/1,15833,5563,10156,…,114,34.9
2016/1/1,15795,5398,10388,…,9,35.1
2017/1/1,15424,5071,10348,…,5,34.8
2018/1/1,15059,4418,10636,…,5,34.8
2019/1/1,14772.9797,3957.4531,10796.3966,…,19.13,34.9
2020/1/1,14555,3861,10676,…,18,34.7
2021/1/1,14571.92,3766.59,10648.24,…,157.1,34.94
2022/1/1,14200.27,3579.93,10461.3,…,159.03,34.14
2023/1/1,13984.5,3491.69,10333.28,…,159.53,34.28
2024/1/1,13564.55,3245.49,10157.08,…,161.98,34.43
