年,月,日,時間,曜日,(自)八王子_(至)新宿_総数(台),(自)八王子_(至)新宿_大型(台),(自)八王子_(至)新宿_普通(台),(自)八王子_(至)新宿_二輪(台),(自)八王子_(至)国分寺_総数(台),(自)八王子_(至)国分寺_大型(台),(自)八王子_(至)国分寺_普通(台),(自)八王子_(至)国分寺_二輪(台),(自)八王子_(至)競馬場_総数(台),(自)八王子_(至)競馬場_大型(台),(自)八王子_(至)競馬場_普通(台),(自)八王子_(至)競馬場_二輪(台),(自)新宿_(至)八王子_総数(台),(自)新宿_(至)八王子_大型(台),(自)新宿_(至)八王子_普通(台),(自)新宿_(至)八王子_二輪(台),(自)新宿_(至)競馬場_総数(台),(自)新宿_(至)競馬場_大型(台),(自)新宿_(至)競馬場_普通(台),(自)新宿_(至)競馬場_二輪(台),(自)新宿_(至)国分寺_総数(台),(自)新宿_(至)国分寺_大型(台),(自)新宿_(至)国分寺_普通(台),(自)新宿_(至)国分寺_二輪(台),(自)競馬場_(至)国分寺_総数(台),(自)競馬場_(至)国分寺_大型(台),(自)競馬場_(至)国分寺_普通(台),(自)競馬場_(至)国分寺_二輪(台),(自)競馬場_(至)八王子_総数(台),(自)競馬場_(至)八王子_大型(台),(自)競馬場_(至)八王子_普通(台),(自)競馬場_(至)八王子_二輪(台),(自)競馬場_(至)新宿_総数(台),(自)競馬場_(至)新宿_大型(台),(自)競馬場_(至)新宿_普通(台),(自)競馬場_(至)新宿_二輪(台),(自)国分寺_(至)競馬場_総数(台),(自)国分寺_(至)競馬場_大型(台),(自)国分寺_(至)競馬場_普通(台),(自)国分寺_(至)競馬場_二輪(台),(自)国分寺_(至)新宿_総数(台),(自)国分寺_(至)新宿_大型(台),(自)国分寺_(至)新宿_普通(台),(自)国分寺_(至)新宿_二輪(台),(自)国分寺_(至)八王子_総数(台),(自)国分寺_(至)八王子_大型(台),(自)国分寺_(至)八王子_普通(台),(自)国分寺_(至)八王子_二輪(台)
1976,7,25,7:00-18:00,日,8656,543,7682,431,1756,98,1585,73,310,19,271,20,7866,548,6861,457,1738,81,1556,101,1002,198,765,39,2605,120,2326,159,375,12,337,26,1314,64,1171,79,2712,131,2422,159,706,30,642,34,1175,74,1058,43
1977,7,24,7:00-18:00,日,10317,432,9276,609,1789,112,1606,71,292,10,274,8,8455,515,7390,550,1544,88,1384,72,859,170,641,48,2429,113,2137,179,429,22,378,29,1209,60,1058,91,2433,82,2176,175,540,34,480,26,1564,137,1379,48
1978,7,30,7:00-18:00,日,10326,337,9364,625,2024,112,1851,61,351,8,308,35,9114,267,8215,632,1741,54,1561,126,928,203,694,31,2648,103,2353,192,391,6,366,19,1566,49,1381,136,2456,87,2178,191,599,29,534,36,1583,67,1476,40
1979,7,22,7:00-19:00,日,11923,648,10341,934,2042,114,1808,120,224,22,184,18,10563,562,9095,906,1634,70,1419,145,1004,203,745,56,2622,144,2232,246,408,23,339,46,1588,69,1366,153,2426,133,2064,229,604,35,512,57,1606,102,1394,110
1980,7,20,7:00-19:00,日,11340,792,9425,1123,2340,144,1980,216,442,31,365,46,10419,474,8738,1207,1872,79,1597,196,1083,195,805,83,2935,66,2513,356,440,13,375,52,1229,64,1032,133,2714,86,2306,322,619,25,521,73,1774,121,1537,116
1981,7,12,7:00-19:00,日,11873,449,10295,1129,2317,110,2063,144,391,7,348,36,11704,530,9807,1367,1884,77,1625,182,1110,167,888,55,2782,97,2384,301,345,10,287,48,1252,56,1045,151,2619,64,2274,281,528,17,457,54,1616,89,1416,111
1982,7,11,7:00-19:00,日,13484,749,10858,1877,2400,120,2098,182,376,7,317,52,12731,638,10319,1774,2140,87,1761,292,1033,169,773,91,3253,97,2695,461,501,17,418,66,1351,73,1138,140,3026,81,2476,469,513,20,428,65,1594,70,1381,143
1983,7,10,7:00-19:00,日,13440,543,11215,1682,2356,122,2012,222,340,14,284,42,12519,647,10385,1487,2184,75,1899,210,1034,166,779,89,3201,117,2717,367,404,16,337,51,1622,76,1376,170,2661,59,2315,287,724,34,623,67,1834,123,1540,171
1984,7,29,7:00-19:00,日,11555,503,9511,1541,2059,129,1789,141,192,14,156,22,11896,673,9672,1551,1715,97,1453,165,1006,183,744,79,2908,98,2418,392,379,12,309,58,1530,63,1305,162,2411,78,2028,305,438,28,352,58,1564,120,1321,123
1985,7,14,7:00-19:00,日,13836,659,11215,1962,2175,121,1868,186,312,8,259,45,13059,662,10245,2152,2448,128,2019,301,1020,153,786,81,3385,100,2785,500,367,6,294,67,1768,90,1434,244,3055,88,2468,499,731,22,606,103,2012,148,1666,198
