年次,総量(mm),1月(mm),2月(mm),3月(mm),4月(mm),5月(mm),6月(mm),7月(mm),8月(mm),9月(mm),10月(mm),11月(mm),12月(mm)
1976,42],///,///,///,///,///,///,///,///,///,///,///,42]
1977,1538,16,24,179,93,98,193,126,340,284,51,98,36
1978,970,14,27,112,168,87,94,73,16,146,153,60,20
1979,1617,56,91,107,104,200,67,112,63,208,352,216,41
1980,1499,87,20,152,97,130,109,168,190,216,151,136,43
1981,1400,3,37,134,152,147,90,167,129,138,298,99,6
1982,1647,8,38,60,135,54,180,212,251,394,172,125,18
1983,1350,23,57,100,117,114,143,138,258,240,124,36,0
1984,897,44,49,64,62,54,201,113,39,71,94,46,60
1985,1536,5,147,115,226,83,404,115,159,103,69,98,12
1986,1411,16,29,165,96,209,115,127,196,224,83,26,125
1987,1203,32,32,91,20,54,106,191,159,252,153,50,63
1988,1341,23,14,168,111,107,196,174,309,173,46,20,0
1989,1770,83,126,109,165,165,239,207,421,26,159,46,24
1990,1440,28,115,98,153,58,59,85,47,298,133,331,35
1991,1935,44,67,158,103,50,164,102,242,498,392,69,46
1992,1533,40,19,190,166,116,247,88,53,139,305,82,88
1993,1563,90,55,48,43,66,179,328,317,73,159,152,53
1994,1295,44,77,91,52,137,114,99,197,308,105,45,26
1995,1342,29,27,196,81,187,202,200,145,148,91,35,1
1996,1302,9,41,102,86,137,36,289,57,351,64,89,41
1997,1273,32,29,93,89,187,177,124,102,239,23,134,44
1998,2030,150,130,127,191,174,177,229,303,300,190,5,54
1999,1543,16,31,130,230,101,139,239,348,145,95,66,3
2000,1597,67,5,96,222,51,194,242,59,378,136,140,7
2001,1533,119,19,97,34,189,96,25,243,269,278,138,26
2002,1707,128,24,141,62,119,187,188,226,258,255,29,90
2003,1768,85,41,144,126,195,112,206,312,161,131,213,42
2004,1747,6,17,110,56,140,122,49,94,178,785,93,97
2005,1263,62,57,59,70,93,108,181,258,148,206,19,2
2006,1854,55,118,72,97,161,195,207,105,222,308,115,199
2007,1336,50,44,67,126,99,64,321,35,268,140,40,82
2008,1994,17,42,98.5,249.5,302,214,78,424,280.5,133.5,77.5,77.5
2009,1566,164.5,43.5,93,147,204,160.5,95.5,148,22.5,298.5,121.5,67.5
2010,1714,8.5,103.5,155,196,127.5,112,58.5,51,431.5,198.5,95.5,176.5
2011,1427.5,1,123,75.5,54.5,248.5,117.5,94,156.5,281.5,135,74.5,66
2012,1696,67,100,123,142,228.5,209.5,149,11,406.5,90.5,101.5,67.5
2013,1520,61.5,26.5,41.5,227.5,42.5,170.5,69.5,121,296.5,378.5,22.5,62
2014,1899.5,15.5,159.5,125.5,113,98,497,103,137.5,87,415,89,59.5
2015,1644.5,73,43.5,94,99,78,173,267,214,334.5,47.5,138,83
2016,1608.5,83,58.5,78.5,99.5,79.5,141.5,121.5,422,267,54,123,80.5
2017,1456.5,24,13.5,91,99.5,53.5,86.5,167.5,117,182,580,29,13
2018,1388.5,44,16,272,82.5,133,119,158,126.5,304.5,62,24,47
2019,1944.5,12.5,31,126,82,116.5,228.5,162.5,131,271.5,600.5,126,56.5
2020,1486.5,109.5,11.5,119.5,231.5,80,255.5,285.5,47,151,184,9.5,2
2021,1788,39.5,51,142.5,86,70,111,346,337,258,140,100.5,106.5
2022,1451,16,52,91.5,217.5,123.5,103.5,156,171,291,111.5,65.5,52
2023,1258,10,32.5,115.5,57,123.5,342,18.5,150,225,107,62.5,14.5
