年度,総額(円),議会費(円),役所費(円),総務費(円),民生費(円),衛生費(円),労働費(円),社会及び労働施設費(円),保健衛生費(円),農林水産業費(円),商工費(円),産業経済費(円),財産費(円),統計調査費(円),選挙費(円),土木費(円),消防費(円),教育費(円),公債費(円),諸支出金(円),災害復旧費(円)
1954,"210,817,620","8,288,414","39,055,839",…,…,…,…,"42,308,762","17,250,954",…,…,"4,768,443","818,243","645,894","2,457,485","17,517,908","18,827,035","45,569,529","3,031,493","10,277,621",…
1955,"242,543,482","5,842,724","42,740,091",…,…,…,…,"48,227,852","12,233,284",…,…,"3,443,603","777,895","754,890","859,587","29,250,860","20,363,571","65,489,728","5,122,042","7,437,355",…
1956,"276,395,102","7,761,009","43,161,694",…,…,…,…,"48,248,379","13,633,508",…,…,"5,482,009","898,482","661,651","884,658","34,109,912","18,014,520","74,707,649","7,244,233","21,587,398",…
1957,"320,743,470","9,474,197","47,424,640",…,…,…,…,"44,188,143","18,865,216",…,…,"7,961,656","957,665","720,813","588,903","46,180,003","24,886,796","88,680,707","13,126,990","17,687,741",…
1958,"424,325,156","11,917,371","58,510,666",…,…,…,…,"64,551,955","19,166,714",…,…,"8,951,930","1,323,489","778,062","4,622,957","43,305,613","23,609,437","104,304,057","10,219,789","73,063,116",…
1959,"522,649,616","13,150,698","73,210,136",…,…,…,…,"72,590,996","18,096,537",…,…,"10,264,356","18,736,201","889,344","2,795,196","65,843,052","26,010,952","160,775,875","10,963,880","49,322,393",…
1960,"642,835,516","15,600,283","113,068,070",…,…,…,…,"96,124,744","19,523,764",…,…,"15,792,757","1,658,789","1,918,492","3,653,685","107,546,733","28,635,394","199,362,715","15,857,807","24,092,283",…
1961,"1,004,715,978","21,582,791","152,423,997",…,…,…,…,"127,459,713","65,823,245",…,…,"17,003,568","1,694,768","777,976","1,062,801","180,810,264","35,947,604","352,434,446","19,268,410","28,426,395",…
1962,"1,172,815,326","22,493,419","212,741,377",…,…,…,…,"137,032,843","69,520,637",…,…,"40,110,395","1,544,435","1,533,120","7,289,191","200,458,745","39,683,191","393,950,457","19,609,336","26,848,180",…
1963,"1,544,709,951","26,017,977","292,027,353",…,…,…,…,"185,245,178","122,897,454",…,…,"26,958,762","2,000,155","2,304,840","9,262,586","225,170,989","38,207,967","556,397,863","22,020,522","36,198,305",…
