年度,総数_申込件数,総数_申込金額(×1000円),総数_貸付件数,総数_貸付金額(×1000円),製造業_申込件数,製造業_申込金額(×1000円),製造業_貸付件数,製造業_貸付金額(×1000円),建設業_申込件数,建設業_申込金額(×1000円),建設業_貸付件数,建設業_貸付金額(×1000円),運輸業_申込件数,運輸業_申込金額(×1000円),運輸業_貸付件数,運輸業_貸付金額(×1000円),卸売業_申込件数,卸売業_申込金額(×1000円),卸売業_貸付件数,卸売業_貸付金額(×1000円),小売業_申込件数,小売業_申込金額(×1000円),小売業_貸付件数,小売業_貸付金額(×1000円),飲食業_申込件数,飲食業_申込金額(×1000円),飲食業_貸付件数,飲食業_貸付金額(×1000円),サービス業_申込件数,サービス業_申込金額(×1000円),サービス業_貸付件数,サービス業_貸付金額(×1000円),その他_申込件数,その他_申込金額(×1000円),その他_貸付件数,その他_貸付金額(×1000円)
1973,158,255990,127,184490,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1974,321,781000,262,545850,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1975,384,1249670,316,827280,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1976,362,1150870,279,749450,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1977,454,1312900,368,1154350,62,203800,54,172000,98,357400,100,334800,7,27000,9,37000,20,81500,20,66200,165,355050,88,271950,…,…,…,…,43,113250,40,106900,59,174900,57,165500
1978,423,1349250,367,1039000,61,190300,50,121000,103,351800,81,254500,6,23000,6,21500,15,61000,16,58500,118,371000,103,302800,…,…,…,…,57,162100,53,127900,63,190050,58,152800
1979,391,1232640,330,972600,64,244600,53,185900,92,338400,80,254800,8,30300,4,20000,22,74000,19,68500,96,262800,83,224400,…,…,…,…,58,139900,49,104100,51,142640,42,114900
1980,685,2472840,589,1939740,68,292100,63,237500,181,681230,160,553230,13,56500,12,48500,32,142500,26,107000,224,786940,199,623080,…,…,…,…,62,181460,50,145900,105,332110,79,224530
1981,692,2706290,625,2287340,86,407700,68,299000,161,604500,149,523100,13,65200,9,41500,30,138000,22,96700,227,854790,223,826140,…,…,…,…,71,214150,76,198900,104,421950,78,302000
1982,699,2639340,668,2303770,80,360300,76,331800,170,651350,159,586400,10,42400,14,62900,30,127000,20,70000,243,886900,247,764770,…,…,…,…,91,298590,79,236950,75,272800,73,250950
1983,762,2900730,670,2397380,132,577140,116,487290,215,745500,184,586650,17,85800,13,61000,45,203200,39,185700,176,642100,163,568500,…,…,…,…,146,510890,133,425840,31,136100,22,82400
1984,655,2445468,571,1975160,102,412480,93,320300,177,643800,160,560100,16,94500,12,71000,26,107200,22,91000,167,608660,150,527290,…,…,…,…,128,405208,104,291450,39,173620,30,114020
1985,650,2463694,548,1915910,118,453024,100,368500,155,575150,134,430230,12,46700,9,42800,34,158200,26,102200,190,721010,161,550500,…,…,…,…,123,418240,101,340460,18,91370,17,81220
