年次,平均(℃),1月(℃),2月(℃),3月(℃),4月(℃),5月(℃),6月(℃),7月(℃),8月(℃),9月(℃),10月(℃),11月(℃),12月(℃)
1976,///,///,///,///,///,///,///,///,///,///,///,///,3.7]
1977,14.4,1.8,3.1,8.2,14,17.5,20.1,24.7,23.8,23,17,12.9,7
1978,14.5,3.7,2.7,7.3,12.4,17.8,22.8,26.6,27.6,20.7,15.7,11,6.1
1979,15.3,4.4,7,8.5,12.8,17.2,23.3,23.9,26.1,22.5,17.7,12.5,7.8
1980,13.8,3.7,3.5,6.9,12.3,17.7,22.5,22.9,22.5,21.4,16.4,10.6,5.4
1981,13.5,2.2,3.6,7.8,12.7,16.4,19.4,25.2,25.1,20.6,15.8,8.4,5.2
1982,14.3,4.1,4,8.4,12.6,19.5,20,21.8,25.7,20.8,16,12.3,6.8
1983,14,4,4.2,7,14.5,18.2,19.3,22.5,26.1,21.5,15.8,9.9,4.5
1984,13.6,1.6,1,4.1,10.8,16.7,21.4,25.6,27.5,22.3,16.4,10.3,5.7
1985,14.5,2.4,5.3,7,13.5,18.4,19.5,25.8,27.2,22.4,16.5,11.1,5.1
1986,13.7,2.4,2.9,6.5,12.9,16.8,20.2,23,25.9,22.6,15.2,10.2,6.2
1987,14.8,3.7,5.2,7.8,13.3,18.3,21.4,26.1,26.2,22.1,17.3,10.8,5.6
1988,14,5.7,3.4,7.2,13,17.3,21.3,21.8,25.8,21.7,15.7,8.9,5.8
1989,14.8,6.4,6.1,8.3,14.2,16.3,19.5,23.1,25.9,23.8,15.8,11.9,6.7
1990,15.5,3,6.3,9.3,13.4,17.9,22.5,25,27.7,23.4,17.8,12.8,7.4
1991,15,4.2,4.7,8.3,14.3,17.9,22.8,25.4,24.6,22.6,16.9,11.1,7
1992,14.6,4.8,5.2,8.6,13.7,16.2,19.7,24.8,25.9,22.1,15.7,10.8,7.3
1993,14.2,4.7,6.1,7.5,12.2,17.1,20.9,21.7,23.9,21.6,15.8,12.1,6.7
1994,15.5,3.8,4.9,7,14.7,18.5,21.5,27.2,27.8,23.5,18.7,11.3,6.9
1995,14.9,4.4,4.9,7.5,13.9,18.1,19.4,25.4,28.2,22.5,17.9,10.6,5.4
1996,14.4,4.5,3.8,7.8,11.4,16.9,21.9,25.5,25.4,21,16.3,11.5,7.1
1997,15.4,4.6,5.6,9.3,14.1,18.2,21.9,26,26.5,21.8,16.9,12.7,7.4
1998,15.6,3.5,5.8,9.1,15.5,19.8,20.9,24.8,26.5,23.6,18.8,12,7.2
1999,15.8,4.8,5.1,9,13.9,19,22.2,25.5,27.7,25.1,18.1,12.3,6.8
2000,15.6,6.3,4.5,8.1,13.4,19.1,21.6,26.9,27.3,24,17.2,11.8,6.9
2001,15.2,3.2,5.2,8.5,14.5,18.5,22.4,27.9,25.8,21.9,17,10.9,6.3
2002,15.4,5.2,6.4,10.9,15.3,17.5,20.6,27.3,27.3,21.9,17.4,9.5,5.5
2003,14.9,3.8,5.3,7.5,14.2,18,22.4,22.3,25.4,23.3,16.3,13.1,7.4
2004,16.2,4.7,7,8.7,15.4,19,23.1,27.7,26.2,24.2,16.2,13.8,8.1
2005,15.1,4.4,4.8,7.6,14.3,17.3,22.7,25,27.3,23.8,18,11,4.4
2006,15.4,3.6,5.5,8.8,12.9,18.2,21.9,24.9,26.9,22.7,18.5,12.8,7.9
2007,15.8,6,7.3,9.9,12.9,18.8,22.5,23.8,28.3,24.3,17.7,11.6,7
2008,15.4,4.5,4.2,10,14.1,17.7,20.7,26.6,26.2,23.4,18,11.6,7.9
2009,15.6,5.3,6.7,8.9,14.7,19.2,21.9,25.5,26.1,22.3,17.4,11.9,7.6
2010,15.8,5,5.4,8.3,11.7,18.1,22.9,27.2,28.7,24.3,17.9,11.6,7.9
2011,15.3,3.3,5.8,6.9,13.5,17.7,22.2,26.8,26.8,24.1,18.1,13,5.6
2012,14.9,3,4,7.5,13.4,18.4,20.7,25.8,27.9,24.6,18,10.5,5.4
2013,15.6,3.6,4.6,10.9,13.7,18.7,22,26.5,27.9,23.7,18.6,11.1,6.1
2014,15.1,4.3,4.3,8.9,13.5,19,22.3,25.7,26.6,21.9,17.4,12.2,5.3
2015,15.7,4.6,5,9.5,14,20.5,21.6,26.1,26.2,22.1,17.7,13.1,8.3
2016,15.8,4.8,6.3,9.5,14.9,19.8,22,25.1,26.8,24,18.1,10.7,7.7
2017,15.2,4.8,6.1,7.7,14,19.5,21.7,27.1,26.1,22.3,16.3,10.9,5.3
2018,16.2,3.5,4.5,10.8,16.5,19.5,22.2,28,27.8,22.4,18.4,13.3,7.4
2019,15.8,4.4,6.4,9.9,13.1,19.4,21.4,24,28,24.7,18.9,12.3,7.5
2020,15.9,6.2,7.3,10.2,12.3,19.1,22.9,23.8,29,23.8,16.8,13,6.4
2021,15.9,4.3,7.3,11.9,14.4,19.1,22.2,25.6,27,21.9,17.5,12.3,6.7
2022,15.7,3.7,4.2,10.3,14.8,18.3,22.7,27.1,27.2,24,16.4,13.4,6.3
2023,16.9,4.5,6.4,12.1,15.7,18.6,22.8,28.4,28.7,26.2,17.9,13.1,8
