時点,本籍数,本籍人口
1974/3/31,30370,93200
1975/3/31,31925,98368
1976/3/31,33238,102612
1977/3/31,34591,106448
1978/3/31,35739,109886
1979/3/31,36918,113235
1980/3/31,38085,116482
1981/3/31,39153,119266
1982/3/31,40331,122611
1983/3/31,41520,125616
1984/3/31,42765,128848
1985/3/31,44104,131756
1986/3/31,45305,134735
1987/3/31,45762,139182
1988/3/31,46865,141817
1989/3/31,48063,144363
1990/3/31,49188,146619
1991/3/31,50281,148762
1992/3/31,51408,150766
1993/3/31,52551,152771
1994/3/31,53821,154978
1995/3/31,55154,157194
1996/3/31,56625,159932
1997/3/31,57844,162278
1998/3/31,59260,164817
1999/3/31,60609,167001
2000/3/31,62048,169388
2001/1/1,63075,170946
2002/1/1,64486,173362
2003/1/1,65813,175626
2004/1/1,66951,177500
2005/1/1,68245,179841
2006/1/1,69447,181979
2007/1/1,70539,183772
2008/1/1,71541,185518
2009/1/1,72618,187358
2010/1/1,73683,189137
2011/1/1,74700,190994
2012/1/1,75558,192308
2013/1/1,76412,193776
2014/1/1,77270,195215
2015/1/1,78074,196737
2016/1/1,79023,198464
2017/1/1,79863,200070
2018/1/1,80537,201273
2019/1/1,81193,202390
2020/1/1,81764,203156
2021/1/1,82283,203855
2022/1/1,82657,203973
2023/1/1,83005,204149
2024/1/1,83262,204208
