時点,学校数,敷地面積(平方メートル),校舎面積(平方メートル),保有教室数_普通教室,保有教室数_特別教室,生徒1人当たり校舎面積(平方メートル),体育館数,体育館面積(平方メートル),プールの数
1966/5/1,6,126415,26671,132,49,5.68,5,4593,5
1967/5/1,6,126415,28325,141,53,6.01,6,5461,6
1968/5/1,7,134746,33947,158,59,7.03,7,6341,7
1969/5/1,7,134746,36999,165,64,7.45,7,6053,7
1970/5/1,7,134746,37486,157,74,7.47,7,6053,7
1971/5/1,7,134746,36456,161,63,7,7,5754,7
1972/5/1,7,136950,36633,161,64,6.81,7,5754,7
1973/5/1,7,136950,37284,166,67,6.5,7,5749,7
1974/5/1,8,154367,42508,165,81,7.12,7,5754,7
1975/5/1,8,154367,43467,185,87,6.85,8,6898,8
1976/5/1,8,154378,46907,190,93,7.04,8,6883,8
1977/5/1,8,169316,52542,198,105,7.36,8,7285,8
1978/5/1,9,169316,51648,195,100,7.14,9,7803,9
1979/5/1,9,169316,54304,201,108,7.39,9,8065,9
1980/5/1,10,186134,56562,205,125,7.56,9,8065,9
1981/5/1,10,186134,60559,209,129,7.72,10,9304,10
1982/5/1,11,206184,65429,220,155,8.09,10,9304,10
1983/5/1,11,206184,68397,226,161,8.35,11,10927,11
1984/5/1,11,206184,68812,226,159,8.21,11,10927,11
1985/5/1,11,206184,69028,221,159,8.18,11,10927,11
1986/5/1,11,206184,69860,224,165,8.14,11,10927,11
1987/5/1,11,206046,71894,223,170,8.68,11,10927,11
1988/5/1,11,206046,71878,226,167,9.05,11,10927,11
1989/5/1,11,206388,71953,219,168,9.99,11,10561,11
1990/5/1,11,206730,72007,221,166,10.66,8,8447,10
1991/5/1,11,208611,72001,218,170,11.06,9,15342,11
1992/5/1,11,207416,72329,217,172,11.69,11,19566,11
1993/5/1,11,211347,72197,214,172,12.09,10,18652,10
1994/5/1,11,215278,72467,214,169,12.65,11,21181,10
1995/5/1,11,215278,72116,214,169,12.95,11,21548,11
1996/5/1,11,215278,72113,214,165,13.05,11,21548,11
1997/5/1,11,215278,72183,215,167,13.26,11,21508,11
1998/5/1,11,215278,72382,215,167,13.37,11,21653,11
1999/5/1,11,215278,72707,214,167,14.04,11,21653,11
2000/5/1,11,215278,72707,214,169,14.24,11,21658,11
2001/5/1,11,215278,72707,214,169,14,11,21658,11
2002/5/1,11,215278,72707,214,169,14.43,11,21658,11
2003/5/1,11,215278,72707,214,169,14.3,11,21658,11
2004/5/1,11,216314,72707,214,169,14.4,11,21658,11
2005/5/1,11,216314,72707,214,169,14.12,11,21658,11
2006/5/1,11,212829,103459,214,169,19.46,11,21547,11
2007/5/1,11,210494,116803,214,169,22.08,11,21547,11
2008/5/1,11,210494,116803,214,169,22.08,11,21547,11
2009/5/1,11,210494,116803,156,225,21.59,11,21547,11
2010/5/1,11,210494.13,116803,158,199,21.48,11,21547,11
2011/5/1,11,210494.13,112913,167,194,20.19,11,21625,11
2012/5/1,11,210494.13,112962,173,227,19.87,11,21625,11
2013/5/1,11,210494,120132,176,195,21,11,21625,11
2014/5/1,11,210494,120132,177,214,20.58,11,21625,11
2015/5/1,11,210494,120132,174,219,20.41,11,21625,11
2016/5/1,11,210977,120132,180,217,20.31,11,21625,11
2017/5/1,11,210024,120050,176,213,20.43,11,21625,11
2018/5/1,11,210024,120300,168,220,21.03,11,21625,11
2019/5/1,11,210024,120300,168,222,20.899,11,21625,11
2020/5/1,11,210024,120300,173,219,20.80235172,11,21625,11
2021/5/1,11,210024,120300,175,219,20.21,11,21.625,11
2022/5/1,11,210024,119241,174,236,19.83,11,21625,11
2023/5/1,11,210024,123055,179,231,20.46,11,21951,11
