年次,降水_総量(mm),降水_最大日量_降水量(mm),降水_最大日量_月,降水_最大日量_日にち,降水_最大1時間降水量_降水量(mm),降水_最大1時間降水量_月,降水_最大1時間降水量_日にち,気温_平均気温(℃),気温_最高気温_最高気温(℃),気温_最高気温_月,気温_最高気温_日にち,気温_最低気温_気温(℃),気温_最低気温_月,気温_最低気温_日にち,平均風速(ｍ/ｓ),年間日照時間,地震観測回数
1976,42],35],12,25,5],12,25,…,14.8,12,17,-7.2,12,28,…,99.1,…
1977,1538,147,9,19,32,7,7,14.4,34.4,8,5,-7,2,4,1.4,2281.2,…
1978,970,47,4,6,17,4,6,14.5,36.1,8,21,-7,2,2,1.4,2463.5,…
1979,1617,111,10,7,36,9,4,15.3,34.9,7,31,-6.1,1,20,1.3,2289.5,…
1980,1499,66,10,14,20,10,14,13.8,33.9,7,15,-5.5,1,17,1.3,2124.1,…
1981,1400,189,10,22,48,7,23,13.5,34.5,7,17,-7.3,1,14,1.4,2117.2,…
1982,1647,184,9,12,41,9,12,14.3,32.7,8,22,-6.2,1,31,1.5,2066.8,…
1983,1350,96,8,17,30,8,15,14,36.9,8,19,-7.2,1,23,1.4,2157.1,…
1984,897,63,6,23,29,7,21,13.6,38.5,9,3,-8.2,2,8,1.3,2284.4,…
1985,1536,113,6,30,25,6,30,14.5,35.4,7,30,-6.4,1,15,1.4,2147.2,…
1986,1411,163,8,4,42,7,23,13.7,35,8,5,-5.7,1,10,1.3,2121.3,…
1987,1203,102,9,25,55,7,25,14.8,37.1,7,24,-5.2,1,22,1.5,240.4,…
1988,1341,125,8,11,29,8,11,14,33.8,7,9,-5.8,2,4,1.3,1739.1,…
1989,1770,153,8,1,44,8,1,14.8,33.9,8,9,-4.3,1,29,1.4,1676.2,…
1990,1440,188],11,30,31],11,30,15.5,36.4,8,7,-7,1,28,1.5,1791.1,…
1991,1935,274,9,19,40,9,19,15,36.7,7,24,-5.2,1,24,1.3,1581,…
1992,1533,96,10,9,38,9,26,14.6,37.3,9,3,-3.4,2,26,1.3,1664.7,…
1993,1563,130,8,27,25,11,13,14.2,33.7,7,31,-3.9,1,29,1.4,1551.5,…
1994,1295,137,8,21,39,8,21,15.5,36.6,8,3,-5.5,2,14,1.5,1807.6,…
1995,1342,78,9,17,36,8,22,14.9,36.7,8,4,-5,1,31,1.5,1811.9,…
1996,1302,202,9,22,46,7,21,14.4,38.9,8,15,-6.1,2,3,1.7,1696.2,…
1997,1273,110,6,20,50,8,23,15.4,38.6,7,6,-3.1,1,23,1.8,1890.7,…
1998,2030,174,8,28,32,8,28,15.6,36.6,7,4,-5,1,26,1.6,1382.5,…
1999,1543,224,8,14,35,8,14,15.8,35.1,9,12,-5.2,1,10,1.7,1838.1,1
2000,1597,129,7,8,56,9,12,15.6,37.4,9,2,-5.3,1,28,1.6,1741.8,10
2001,1533,114,10,10,44,8,21,15.2,38,7,24,-5.4,1,15,1.6,1800.6,11
2002,1707,151,8,19,31,8,19,15.4,36.5,8,6,-4.1,1,30,1.6,1797.1,4
2003,1768,125,8,15,44,5,20,14.9,35.5,8,24,-6.4,1,16,1.6,1674.7,11
2004,1747,200,10,9,28,10,20,16.2,37.6,7,20,-2.8,1,25,1.6,2117.9,10
2005,1263,135,8,25,42,9,4,15.1,36.7,6,28,-5.3,12,25,1.6,1915.3,16
2006,1854,149,12,26,34,5,24,15.4,36.9,8,5,-6,2,5,1.5,1584.1,5
2007,1336,83,10,27,46,7,29,15.8,38.2,8,16,-3,2,5,1.5,2021.4,13
2008,1994,123,8,29,59,8,29,15.4,37.4,8,15,-5.5,2,14,1.6,1863,13
2009,1566,131,10,8,40,10,8,15.6,34.6,7,15,-5.8,1,16,1.7,1793.9,7
2010,1714,99,9,23,42,9,28,15.8,37.2,8,16,-5.2,1,14,1.8,2016.2,11
2011,1427.5,157,9,21,24,9,21,15.3,37.2,8,18,-6.8,1,17,1.8,2073.5,95
2012,1696,117,5,3,43,9,1,14.9,36.2,7,26,-5.5,1,27,1.8,2057.1,40
2013,1520,119,9,15,35.5,9,15,15.6,38,8,11,-5.6,12,29,1.8,2175.6,33
2014,1899.5,163,6,6,50.5,8,10,15.1,35.8,8,5,-5,1,16,1.7,2121.5,27
2015,1644.5,93,7,16,36,8,16,15.7,37.6,8,7,-5,2,14,1.7,1966.9,24
2016,1608.5,154,8,22,46.5,7,14,15.8,38,8,9,-6.1,1,25,1.6,1831.1,28
2017,1456.5,158.5,10,22,37.5,7,4,15.2,37.6,8,9,-6.5,1,15,1.6,2099.1,23
2018,1388.5,92,3,9,30.5,8,13,16.2,38.8,7,23,-8.4,1,25,1.8,2119.6,21
2019,1944.5,289,10,12,59,9,3,15.8,36.6,9,9,-4.9,1,10,1.7,1924.4,25
2020,1486.5,100,4,13,56,6,6,15.9,38.1,8,11,-4.5,12,17,1.6,1938.6,24
2021,1788,136,8,15,36,7,30,15.9,37.8,8,10,-5.8,1,1,1.6,1715.5］,30
2022,1451,100.5,8,13,42,7,12,15.7,38.4,8,2,-6.7,1,7,1.6,2058.7,24
2023,1258,170,6,2,38.5,6,3,16.9,38.5,7,16,-7.5,1,26,1.7,2307.7,20
