年度,競走事業会計_収益的支出(円),競走事業会計_資本的支出(円),下水道事業会計_収益的支出(円),下水道事業会計_資本的支出(円)
2016,53463774912,1035601818,…,…
2017,57910609897,1428812380,…,…
2018,67076246978,2507899336,…,…
2019,68331420116,3397757300,…,…
2020,80839578619,3961673245,4922490780,1127229587
2021,84050387825,4543609804,4741310157,1298003366
2022,86936328974,4687154243,4628300733,843157684
