年度,国民健康保険(円),後期高齢者医療(円),介護保険(円),競走事業(円),公共用地(円),下水道事業(円),火災共済事業(円),国保直営診療所(円),競輪事業(円),上水道(円),庁舎建設(円),婦人補導院(円),赤松高校建設(現：府中高校)(円),公益質屋(円),市民会館建設(円),都市計画三本木土地区画整理事業(円),市立図書館資料館建設(円),奨学金・福祉基金(円),市民健康センター建設(円),災害救助基金(円),福祉会館・振興会館建設(円),交通災害共済(円),緑化基金(円),受託水道事業(円),老人保健医療(円),シルバー入院共済事業(円),市立診療所(円)
1960,"38,211,455",…,…,"1,981,630,998",…,…,…,"3,317,578",…,…,…,…,"50,065,891","2,259,083",…,…,…,…,…,…,…,…,…,…,…,…,…
1961,"62,414,996",…,…,"2,836,648,158",…,…,…,"4,930,136",…,…,…,…,"2,981,263","10,562,963",…,…,…,…,…,…,…,…,…,…,…,…,…
1962,"74,509,092",…,…,"4,048,472,870","41,591,000",…,…,"5,483,254",…,…,…,…,"2,958,629","15,279,777","50,209,000",…,…,…,…,…,…,…,…,…,…,…,…
1963,"86,343,587",…,…,"4,859,048,521","21,045,273",…,…,"78,268",…,…,…,…,"23,422","14,531,894","103,124,771",…,…,…,…,…,…,…,…,…,…,…,…
1964,"115,068,265",…,…,"6,764,978,251","201,340,031","127,663,042",…,…,…,…,…,…,…,…,"244,800,606","45,214,324",…,…,…,…,…,…,…,…,…,…,…
1965,"183,589,012",…,…,"8,462,104,563","336,921,194","273,485,751",…,…,…,…,…,…,…,…,"265,749,243","41,700,468","37,051,388","12,136,314",…,…,…,…,…,…,…,…,…
1966,"214,730,291",…,…,"10,126,526,247","599,981,460","316,864,587",…,…,…,…,…,…,…,…,"113,173,218","36,064,682","114,348,025","56,027,549","30,924,529","10,025,506",…,…,…,…,…,…,…
1967,"258,974,629",…,…,"13,064,229,808","725,689,263","325,177,658",…,…,…,…,…,…,…,…,"35,986,062","28,807,230","561,084","54,992,324","43,183,939","10,387,486","90,220,878",…,…,…,…,…,…
1968,"309,957,846",…,…,"16,714,563,825","1,098,183,874","548,335,790",…,…,…,…,…,…,…,…,"38,096,352","22,519,964",…,"53,482,812","71,614,665","1,309,914","210,054,691","6,585,948",…,…,…,…,…
1969,"404,350,105",…,…,"20,691,109,746","982,439,528","768,458,137",…,…,…,…,…,…,…,…,"167,036,290","140,325,629",…,"39,617,937","79,626,934","1,083,040","2,177,690","1,558,163",…,…,…,…,…
