時点,総数,乗用車_総数,乗用車_普通車,乗用車_小型車,貨物自動車_総数,貨物自動車_普通車,貨物自動車_小型車,貨物自動車_被けん引車,乗合自動車,特種用途車,大型特殊車,小型二輪車,貨物自動車_小型三輪車
1965/12/31,"9,841","4,848",137,"4,711","4,561",631,"3,634",…,158,221,53,…,296
1966/12/31,"8,856","4,522",121,"4,401","3,875",535,"3,113",…,144,254,61,…,227
1967/12/31,"8,913","4,913",120,"4,793","3,537",583,"2,791",…,126,273,64,…,163
1968/12/31,"12,579","7,482",123,"7,359","4,566",755,"3,666",…,162,292,77,…,145
1969/12/31,"16,546","10,417",133,"10,284","5,522",861,"4,537",…,178,334,95,…,124
1970/12/31,"19,759","13,107",137,"12,970","5,990",949,"4,978",…,207,346,109,…,63
1971/12/31,"22,313","15,041",162,"14,879","6,533","1,025","5,457",…,232,393,114,…,51
1972/12/31,"25,686","17,536",182,"17,354","7,353","1,183","6,125",…,238,440,119,…,45
1973/12/31,"26,383","17,842",500,"17,342","7,657","1,349","6,275",…,300,433,151,…,33
1974/12/31,"28,616","19,479",464,"19,015","8,208","1,431","6,747",…,299,469,161,…,30
1975/12/31,"28,915","20,929",522,"20,407","7,498","1,088","6,387",…,107,302,79,…,23
1976/12/31,"31,529","22,853",516,"22,337","8,134","1,177","6,936",…,103,355,84,…,21
1977/12/31,"33,931","24,592",569,"24,023","8,781","1,244","7,516",…,106,358,94,…,21
1978/12/31,"36,178","26,475",661,"25,814","9,113","1,327","7,765",…,99,389,102,…,21
1979/3/31,"40,890","28,685",809,"27,876","11,126","1,841","9,238",47,287,603,189,856,…
1980/3/31,"43,618","30,715",924,"29,791","11,747","2,056","9,639",52,304,656,196,"1,109",…
1981/3/31,"44,488","31,804",947,"30,857","11,412","2,099","9,262",51,297,780,195,"1,322",…
1982/3/31,"46,478","33,611","1,062","32,549","11,461","2,148","9,265",48,305,908,193,"1,623",…
1983/3/31,"48,119","35,350","1,161","34,189","11,339","2,196","9,084",59,303,934,193,"1,880",…
1984/3/31,"50,042","37,224","1,261","35,963","11,322","2,282","8,992",48,299,"1,005",192,"2,199",…
1985/3/31,"52,400","39,259","1,378","37,881","11,576","2,386","9,145",45,307,"1,065",193,"2,465",…
1986/3/31,"54,656","41,568","1,429","40,139","11,462","2,480","8,942",40,314,"1,122",190,"2,730",…
1987/3/31,"56,839","43,591","1,527","42,064","11,543","2,614","8,885",44,314,"1,198",193,"2,920",…
1988/3/31,"59,593","45,936","1,807","44,129","11,816","2,712","9,052",52,315,"1,326",200,"3,159",…
1989/3/31,"62,259","48,120","2,093","46,027","12,209","2,891","9,266",52,304,"1,421",205,"3,045",…
