年度,八王子市_歳入(×1000円),八王子市_歳出(×1000円),八王子市_歳出1人当たり(×1000円),八王子市_財政力指数,立川市_歳入(×1000円),立川市_歳出(×1000円),立川市_歳出1人当たり(×1000円),立川市_財政力指数,武蔵野市_歳入(×1000円),武蔵野市_歳出(×1000円),武蔵野市_歳出1人当たり(×1000円),武蔵野市_財政力指数,三鷹市_歳入(×1000円),三鷹市_歳出(×1000円),三鷹市_歳出1人当たり(×1000円),三鷹市_財政力指数,青梅市_歳入(×1000円),青梅市_歳出(×1000円),青梅市_歳出1人当たり(×1000円),青梅市_財政力指数,府中市_歳入(×1000円),府中市_歳出(×1000円),府中市_歳出1人当たり(×1000円),府中市_財政力指数,昭島市_歳入(×1000円),昭島市_歳出(×1000円),昭島市_歳出1人当たり(×1000円),昭島市_財政力指数,調布市_歳入(×1000円),調布市_歳出(×1000円),調布市_歳出1人当たり(×1000円),調布市_財政力指数,町田市_歳入(×1000円),町田市_歳出(×1000円),町田市_歳出1人当たり(×1000円),町田市_財政力指数,小金井市_歳入(×1000円),小金井市_歳出(×1000円),小金井市_歳出1人当たり(×1000円),小金井市_財政力指数,小平市_歳入(×1000円),小平市_歳出(×1000円),小平市_歳出1人当たり(×1000円),小平市_財政力指数,日野市_歳入(×1000円),日野市_歳出(×1000円),日野市_歳出1人当たり(×1000円),日野市_財政力指数,東村山市_歳入(×1000円),東村山市_歳出(×1000円),東村山市_歳出1人当たり(×1000円),東村山市_財政力指数,国分寺市_歳入(×1000円),国分寺市_歳出(×1000円),国分寺市_歳出1人当たり(×1000円),国分寺市_財政力指数,国立市_歳入(×1000円),国立市_歳出(×1000円),国立市_歳出1人当たり(×1000円),国立市_財政力指数,田無市_歳入(×1000円),田無市_歳出(×1000円),田無市_歳出1人当たり(×1000円),田無市_財政力指数,保谷市_歳入(×1000円),保谷市_歳出(×1000円),保谷市_歳出1人当たり(×1000円),保谷市_財政力指数,福生市_歳入(×1000円),福生市_歳出(×1000円),福生市_歳出1人当たり(×1000円),福生市_財政力指数,狛江市_歳入(×1000円),狛江市_歳出(×1000円),狛江市_歳出1人当たり(×1000円),狛江市_財政力指数,東大和市_歳入(×1000円),東大和市_歳出(×1000円),東大和市_歳出1人当たり(×1000円),東大和市_財政力指数,清瀬市_歳入(×1000円),清瀬市_歳出(×1000円),清瀬市_歳出1人当たり(×1000円),清瀬市_財政力指数,東久留米市_歳入(×1000円),東久留米市_歳出(×1000円),東久留米市_歳出1人当たり(×1000円),東久留米市_財政力指数,武蔵村山市_歳入(×1000円),武蔵村山市_歳出(×1000円),武蔵村山市_歳出1人当たり(×1000円),武蔵村山市_財政力指数,多摩市_歳入(×1000円),多摩市_歳出(×1000円),多摩市_歳出1人当たり(×1000円),多摩市_財政力指数,稲城市_歳入(×1000円),稲城市_歳出(×1000円),稲城市_歳出1人当たり(×1000円),稲城市_財政力指数,秋川市_歳入(×1000円),秋川市_歳出(×1000円),秋川市_歳出1人当たり(×1000円),秋川市_財政力指数,羽村市_歳入(×1000円),羽村市_歳出(×1000円),羽村市_歳出1人当たり(×1000円),羽村市_財政力指数,あきる野市_歳入(×1000円),あきる野市_歳出(×1000円),あきる野市_歳出1人当たり(×1000円),あきる野市_財政力指数,西東京市_歳入(×1000円),西東京市_歳出(×1000円),西東京市_歳出1人当たり(×1000円),西東京市_財政力指数
1971,13947306,13858327,53,0.91,7342475,6715431,52,1.007,7482837,7478187,54,1.311,7454488,7171689,47,0.957,6398097,6059557,79,0.83,8542068,8346014,51,0.98,4527733,4377614,55,0.78,7979284,7769247,48,0.77,8829465,8588003,39,0.733,4359159,4140368,44,0.87,5631302,5558376,41,0.86,5584384,5336376,50,0.95,4629511,4428083,45,0.58,3905094,3854424,48,0.8,2298948,2446014,36,0.7,2303528,2197277,36,0.91,4179581,4115746,48,0.657,1960208,1804741,45,0.641,3715940,3700718,60,0.666,2600814,2568117,52,0.531,2657051,2605608,49,0.44,4327765,4270889,49,0.58,2827332,2785694,63,0.703,2457942,2423053,48,0.77,1885920,1829867,49,0.76,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1972,18296883,17507352,63,0.9,10961421,10227742,77,1.022,9138320,9202595,68,1.321,7642913,7546186,49,1.001,7266809,6998562,87,0.8,10885511,10670730,63,0.98,4799940,4733076,60,0.78,8662822,8442192,50,0.77,11578547,11313642,49,0.771,5552157,5355930,56,0.86,8853458,8753395,87,0.862,6074744,5620038,50,0.97,4825261,4777915,46,0.58,5603741,5546664,68,0.86,2914328,2843122,45,0.7,3179824,3065495,50,0.895,4636159,4601687,53,0.686,2494263,2467732,59,0.642,4201109,4167199,66,0.629,1168038,3109729,58,0.544,3855261,3135405,55,0.46,4061208,4483775,38,0.64,3601675,3544189,77,0.7,4688280,4481961,77,0.7,2486405,2422261,61,0.71,1836150,1789954,52,0.46,…,…,…,…,…,…,…,…,…,…,…,…
1973,27008526,26074904,90,0.9,11269888,10514286,78,1.012,10673600,9737868,72,1.392,9846378,9589919,61,0.987,10288478,9911329,121,0.77,14295556,13963566,81,0.933,5996026,5799613,71,0.79,12883530,12666777,74,0.83,15837351,15534907,64,0.8,6409185,6060893,63,0.85,9649526,9549280,66,0.861,8866558,8526542,73,0.93,7207831,7063182,66,0.606,6460072,6312831,77,0.796,4584218,4480489,71,0.692,5726405,5514855,86,0.883,5704895,5550635,63,0.694,4045271,3907823,90,0.62,5672354,5629883,86,0.639,5100296,5010034,91,0.565,5657452,5508873,94,0.45,6802944,6604158,68,0.659,5504310,5418036,113,0.713,5304205,5008362,82,0.72,4739759,4667571,112,0.662,3227196,3180464,88,0.47,…,…,…,…,…,…,…,…,…,…,…,…
1974,39889788,39371987,129,0.89,14035166,13432652,99,0.99,14307321,13453348,100,1.34,13222422,12843944,82,1.03,12626507,12036728,142,0.75,17954116,17653459,100,0.89,7982114,7864682,95,0.8,14805296,14646045,87,0.84,23285944,23018492,93,0.8,7428311,7367800,75,0.85,16110364,16006373,109,0.82,11037630,10723690,88,0.93,7990320,7848890,72,0.62,7454923,7383476,89,0.79,6653481,6625048,104,0.68,5931058,5906068,91,0.86,6910415,6798659,77,0.71,5891105,5823292,128,0.61,6252102,6002021,89,0.62,6231586,6113060,107,0.58,6917862,6620914,111,0.45,9498044,9444537,96,0.65,6692459,6578807,133,0.68,9282733,8953015,143,0.72,5513392,5326983,125,0.6,3733293,3642212,97,0.48,…,…,…,…,…,…,…,…,…,…,…,…
1975,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1976,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,...,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1977,48894361,48695734,140,0.97,22619611,21575906,154,1.01,18302430,17316250,129,1.37,16865609,16477904,103,1.04,16503493,16034844,175,0.83,24982869,24440421,135,0.93,11269336,11120117,131,0.87,20550711,20267069,117,0.95,30459929,29930873,110,0.91,10340095,10218752,103,0.86,18477005,18264537,121,0.88,19532061,19245414,141,0.93,13750451,13642341,118,0.7,9425188,9344456,107,0.83,7475341,7366757,117,0.72,9917313,9629042,146,0.92,9410279,9309025,102,0.77,6689307,6418685,134,0.68,7223080,7147632,104,0.67,6649299,6508921,105,0.69,8489991,8335223,135,0.54,13379504,13311534,128,0.68,8634295,8521036,154,0.75,10868693,10238120,126,0.69,7077064,6973930,154,0.62,5397708,5310616,129,0.55,…,…,…,…,…,…,…,…,…,…,…,…
1978,59225270,58496960,161,0.93,25080434,24496031,173,0.99,21632746,20378036,152,1.32,19008889,18590533,117,1,18331501,17863068,189,0.81,25770393,25241350,138,0.94,13567045,13178385,152,0.85,21272115,20860198,120,0.93,35545419,34923505,126,0.91,12161257,11712973,118,0.85,17292527,16992710,114,0.88,19688434,19237232,138,0.94,16345984,16169995,138,0.72,12955432,12413192,142,0.84,8386126,8365734,132,0.73,10521380,10203594,156,0.92,11274911,11033005,120,0.79,7966873,7777324,161,0.66,11080691,11009677,160,0.68,7835721,7713142,122,0.7,8452787,8308088,135,0.57,13031815,12714985,121,0.69,10778538,10560057,187,0.78,15069063,14369645,168,0.71,7256933,7132256,153,0.62,6523032,6374558,152,0.55,…,…,…,…,…,…,…,…,…,…,…,…
1979,57964349,56305154,151,0.92,26572909,25965110,182,0.99,24314960,22555759,170,1.32,23836865,23016754,145,1.01,19654338,19027942,197,0.8,28729071,27993139,151,0.96,16799077,16612866,189,0.85,23703556,23168741,133,0.93,40037074,39099157,136,0.91,13133805,12528868,126,0.85,21346517,21021800,142,0.88,21722585,21213646,150,0.96,19257578,19160963,163,0.75,12090654,11794972,134,0.86,8402049,8320110,132,0.75,10705764,10261341,159,0.94,11344771,10985809,121,0.81,8829175,8645809,178,0.66,9933797,9827152,144,0.69,10303671,10120602,158,0.71,8268267,8063148,132,0.59,13366040,13192981,125,0.7,9793619,9587072,169,0.79,20557940,19625288,218,0.69,7339428,7107398,151,0.62,6648013,6428340,151,0.56,…,…,…,…,…,…,…,…,…,…,…,…
1980,68555301,67058675,176,0.89,25636687,24692780,174,0.96,25086705,24046812,183,1.33,22929421,22360398,141,1.01,21115682,20658158,209,0.8,32315546,31213594,168,0.95,16906926,16653931,185,0.87,25916022,25525841,146,0.92,46603966,46139140,157,0.88,13630874,13181025,134,0.85,23577511,23168647,158,0.89,23421273,22747298,159,0.99,20467068,20390393,173,0.75,13491853,13189746,149,0.88,9323964,9206314,147,0.76,10548241,10204039,155,0.88,12485416,12291757,137,0.84,9432368,9213427,190,0.65,10813186,10659271,157,0.7,11250950,11015376,168,0.71,12029183,11807366,194,0.6,14046580,14019008,132,0.71,12518587,12300971,214,0.76,20943126,20079082,212,0.71,9718924,9442588,200,0.63,6906675,6724576,156,0.57,…,…,…,…,…,…,…,…,…,…,…,…
