年度,府中市所管_給水世帯（戸）,府中市所管_給水人口（人）,府中市所管_普及率（％）,府中市所管_年間配水量（立法メートル）_総配水量,府中市所管_年間配水量（立法メートル）_地区水,府中市所管_年間配水量（立法メートル）_補給水量（都受水）,東京都所管_給水世帯（戸）,東京都所管_給水人口（人）,東京都所管_普及率（％）,東京都所管_年間配水量（立法メートル）_総配水量,東京都所管_年間配水量（立法メートル）_地区水,東京都所管_年間配水量（立法メートル）_補給水量（都受水）
1961,10834,46898,50.6,1779338,…,…,…,…,…,…,…,…
1962,13678,63202,62.5,2584080,…,…,…,…,…,…,…,…
1963,19321,81620,73.7,3591008,…,…,…,…,…,…,…,…
1964,23120,94882,78.8,4509006,…,…,…,…,…,…,…,…
1965,28245,109432,84.6,5854445,…,…,…,…,…,…,…,…
1966,31393,120770,87.3,6996084,…,…,…,…,…,…,…,…
1967,34726,130063,88.7,8449090,…,…,…,…,…,…,…,…
1968,37268,137590,88.8,9823514,…,…,…,…,…,…,…,…
1969,40235,144058,90.3,11362380,…,…,…,…,…,…,…,…
1970,42773,150066,90.2,13489958,…,…,…,…,…,…,…,…
1971,46158,157115,92.1,14668069,…,…,…,…,…,…,…,…
1972,49290,164602,94,16301901,…,…,…,…,…,…,…,…
1973,51623,171699,96,17184240,…,…,…,…,…,…,…,…
1974,51898,172310,94.9,21322077,20395632,926445,…,…,…,…,…,…
1975,53011,177518,96.9,22586110,21024500,1561610,…,…,…,…,…,…
1976,53243,178811,96.9,21319961,19410666,1909295,…,…,…,…,…,…
1977,53457,179027,96.9,22063187,17712327,4350860,…,…,…,…,…,…
1978,54667,181575,96.9,22991623,18967273,4024350,…,…,…,…,…,…
1979,56168,183889,97.1,22291284,19143414,3147870,…,…,…,…,…,…
1980,65127,186219,97.2,21806272,18106052,3700220,…,…,…,…,…,…
1981,66504,188480,97.4,21941675,15215495,6726180,…,…,…,…,…,…
1982,67720,190152,97.4,22363900,14841900,7522000,…,…,…,…,…,…
1983,69294,193403,97.5,23255000,14371900,8883100,…,…,…,…,…,…
1984,70646,195668,97.7,23990800,14256900,9733900,…,…,…,…,…,…
1985,70813,197695,97.7,24249000,12602000,11647000,…,…,…,…,…,…
1986,73543,201235,98.2,24511500,11681900,12829600,…,…,…,…,…,…
1987,74744,202290,98.2,24821400,13108400,11713000,…,…,…,…,…,…
1988,75932,203336,98.3,24958000,11876500,13081500,…,…,…,…,…,…
1989,77432,204639,98.3,25851500,11028000,14823500,…,…,…,…,…,…
1990,79917,206177,98.6,26256000,10875500,15380500,…,…,…,…,…,…
1991,81770,208385,98.7,26690000,10338200,16351800,…,…,…,…,…,…
1992,83578,210477,98.7,27606300,10937700,16668600,…,…,…,…,…,…
1993,85107,211946,98.9,27678800,11488400,16190400,…,…,…,…,…,…
1994,86085,213084,99,27802000,11111200,16690800,…,…,…,…,…,…
1995,87044,214264,99,27748500,12225600,15522900,…,…,…,…,…,…
1996,88912,216760,99.2,27677200,11624600,16052600,…,…,…,…,…,…
1997,90531,218769,99.2,27621700,10777700,16844000,…,…,…,…,…,…
1998,92225,221041,99.2,27444800,10768100,16676700,…,…,…,…,…,…
1999,93583,222869,99.3,27686600,12047100,15639500,…,…,…,…,…,…
2000,95866,225904,99.3,27458400,11211000,16247400,…,…,…,…,…,…
2001,101258,226567,99.3,27540600,10844600,16696000,…,…,…,…,…,…
2002,103531,229469,99.3,27254700,11254700,16000000,…,…,…,…,…,…
2003,105063,232044,99.3,27309400,11326600,15982800,…,…,…,…,…,…
2004,108174,235622,99.4,27604600,11349000,16255600,…,…,…,…,…,…
2005,109653,239719,99.5,27707900,12133800,15574100,…,…,…,…,…,…
2006,110954,241072,99.5,27621200,11234000,16387200,…,…,…,…,…,…
2007,112330,242788,99.5,27931910,11466330,16465580,…,…,…,…,…,…
2008,114027,245230,99.5,27742140,12057230,15684910,…,…,…,…,…,…
2009,…,…,…,…,…,…,113454,254007,100,27033300,10900000,16133300
2010,…,…,…,…,…,…,114575,255506,100,26512400,9137000,17375400
2011,…,…,…,…,…,…,114960,255801,100,25863300,9910700,15952600
2012,…,…,…,…,…,…,118192,256230,100,25746200,10751400,14994800
2013,…,…,…,…,…,…,118825,257062,100,26241500,10216700,16024800
2014,…,…,…,…,…,…,120234,258328,100,26078400,10222500,15855900
2015,…,…,…,…,…,…,119569,260274,100,25943600,9158900,16784700
2016,…,…,…,…,…,…,121335,261972,100,25585200,7455100,18130100
2017,…,…,…,…,…,…,122186,262380,100,26913100,6202400,20710700
2018,…,…,…,…,…,…,123421,263385,100,29255600,6060200,23195400
2019,…,…,…,…,…,…,124340,263346,100,28464500,3428600,25035900
2020,…,…,…,…,…,…,123931,262790,100,28811500,3348400,25463100
2021,…,…,…,…,…,…,124735,262708,100,30131200,2990400,27140800
2022,…,…,…,…,…,…,125979,263006,100,28230700,2501300,25729400
2023,…,…,…,…,…,…,126746,262724,100,22746800,2494300,25241100
