時点,分団数,団員数総数,団員数団本部,団員数分団,消防機械総数,消防機械指揮車,消防機械消防ポンプ自動車,消防機械可搬式消防ポンプ,消防機械照明電源車,消防機械作業車,消防機械活動車,四輪,三輪,手引,広報車
1954/12/31,26,…,…,…,26,…,…,…,…,…,…,0,1,25,…
1955/12/31,27,…,…,…,27,…,…,…,…,…,…,0,1,26,…
1956/12/31,27,…,…,…,27,…,…,…,…,…,…,0,1,26,…
1957/12/31,27,…,…,…,27,…,…,…,…,…,…,0,2,25,…
1958/12/31,27,…,…,…,27,…,…,…,…,…,…,0,2,25,…
1959/12/31,27,642,…,642,27,…,…,…,…,…,…,1,3,23,…
1960/12/31,27,618,…,618,27,…,…,…,…,…,…,1,4,22,…
1961/12/31,27,519,…,519,27,…,…,…,…,…,…,1,4,22,…
1962/12/31,27,518,…,518,27,…,…,…,…,…,…,1,4,22,…
1963/12/31,27,516,…,516,27,…,…,…,…,…,…,1,4,22,…
1964/12/31,27,505,…,505,27,…,…,…,…,…,…,1,4,22,…
1965/12/31,27,494,…,494,18,…,…,…,…,…,…,4,4,10,…
1966/12/31,17,429,…,429,17,…,…,…,…,…,…,9,3,5,…
1967/12/31,17,405,…,405,17,…,…,…,…,…,…,14,3,0,…
1968/12/31,17,400,…,400,17,…,…,…,…,…,…,17,0,0,…
1969/12/31,17,401,…,401,17,…,…,…,…,…,…,17,0,0,…
1970/12/31,17,397,…,397,17,…,…,…,…,…,…,17,0,0,…
1971/12/31,17,409,…,409,18,1,…,…,…,…,…,17,0,0,…
1972/12/31,17,402,…,402,18,1,…,…,…,…,…,17,0,0,…
1973/12/31,17,399,…,399,18,1,…,…,…,…,…,17,0,0,…
1974/12/31,17,399,…,399,18,1,…,…,…,…,…,17,0,0,…
1975/12/31,17,398,…,398,18,1,…,…,…,…,…,17,0,0,…
1976/12/31,17,407,…,407,18,1,…,…,…,…,…,17,…,…,…
1977/12/31,17,402,…,402,18,…,17,…,…,…,…,…,…,…,1
1978/12/31,17,402,…,402,18,…,17,…,…,…,…,…,…,…,1
1979/12/31,17,402,…,402,18,…,17,…,…,…,…,…,…,…,1
1980/12/31,17,402,…,402,17,…,17,…,…,…,…,…,…,…,…
1981/12/31,17,398,…,398,17,…,17,…,…,…,…,…,…,…,…
1982/12/31,17,405,…,405,18,1,17,…,…,…,…,…,…,…,…
1983/12/31,17,401,…,401,18,1,17,…,…,…,…,…,…,…,…
1984/12/31,17,397,…,397,18,1,17,…,…,…,…,…,…,…,…
1985/12/31,17,400,…,400,18,1,17,…,…,…,…,…,…,…,…
1986/12/31,18,416,…,416,19,1,18,…,…,…,…,…,…,…,…
1987/12/31,18,420,…,420,19,1,18,…,…,…,…,…,…,…,…
1988/12/31,18,409,…,409,18,1,17,…,…,…,…,…,…,…,…
1989/12/31,18,407,…,407,18,1,17,…,…,…,…,…,…,…,…
1990/12/31,18,409,…,409,18,1,17,…,…,…,…,…,…,…,…
1991/12/31,18,412,7,405,37,1,18,18,…,…,…,…,…,…,…
1992/12/31,18,407,7,400,37,1,18,18,…,…,…,…,…,…,…
1993/12/31,18,408,7,401,37,1,18,18,…,…,…,…,…,…,…
1994/12/31,18,407,7,400,38,1,18,18,1,…,…,…,…,…,…
1995/12/31,18,420,7,413,39,1,18,18,2,…,…,…,…,…,…
1996/12/31,18,420,7,413,39,1,18,18,2,…,…,…,…,…,…
1997/12/31,18,420,7,413,39,1,18,18,2,…,…,…,…,…,…
1998/12/31,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
1999/12/31,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
2000/12/31,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
2001/12/31,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
2002/12/31,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
2003/12/31,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
2004/12/31,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
2005/12/31,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
2006/12/31,18,419,7,412,45,1,18,24,2,…,…,…,…,…,…
2007/4/1,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
2008/4/1,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
2009/4/1,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
2010/4/1,18,417,7,410,46,1,18,24,2,1,…,…,…,…,…
2011/4/1,18,416,7,409,47,1,18,24,2,1,1,…,…,…,…
2012/4/1,18,415,7,408,47,1,18,24,2,1,1,…,…,…,…
2013/4/1,18,417,7,410,47,1,18,24,2,1,1,…,…,…,…
2014/4/1,18,417,7,410,47,1,18,24,2,1,1,…,…,…,…
2015/4/1,18,416,7,409,47,1,18,24,2,1,1,…,…,…,…
2016/4/1,18,416,7,409,47,1,18,24,2,1,1,…,…,…,…
2017/4/1,18,416,7,409,47,1,18,24,2,1,1,…,…,…,…
2018/4/1,18,411,7,404,47,1,18,24,2,1,1,…,…,…,…
2019/4/1,18,404,7,397,47,1,18,24,2,1,1,…,…,…,…
2020/4/1,18,407,7,400,53,1,18,30,2,1,1,…,…,…,…
2021/4/1,18,410,7,403,55,1,18,32,2,1,1,…,…,…,…
2022/4/1,18,400,7,393,55,1,18,32,2,1,1,…,…,…,…
2023/4/1,18,397,7,390,55,1,18,32,2,1,1,…,…,…,…
