年次,全国(キロ平方メートル),東京都(キロ平方メートル),府中市(キロ平方メートル)
1988/10/1,377719.76,1986.95,29.39
1989/10/1,377727.37,2058.96,29.4
1990/10/1,377737.11,2045.57,29.34
1991/10/1,377750.28,2045.59,29.34
1992/10/1,377800.43,2045.59,29.34
1993/10/1,377812.09,2048.76,29.34
1994/10/1,377818.86,1996,29.34
1995/10/1,377829.41,2049.31,29.34
1996/10/1,377836.89,2102.14,29.34
1997/10/1,377846.58,2102.14,29.34
1998/10/1,377854.64,2102.14,29.34
1999/10/1,377863.66,2102.34,29.34
2000/10/1,377873.06,2102.35,29.34
2001/10/1,377880.25,2102.35,29.34
2002/10/1,377887.25,2102.35,29.34
2003/10/1,377899.2,2102.39,29.34
2004/10/1,377906.97,2102.39,29.34
2005/10/1,377914.78,2102.41,29.34
2006/10/1,377923.14,2102.72,29.34
2007/10/1,377929.99,2102.88,29.34
2008/10/1,377943.57,2102.95,29.34
2009/10/1,377946.51,2102.95,29.34
2010/10/1,377950.1,2102.95,29.34
2011/10/1,377954.84,2103.97,29.34
2012/10/1,377959.91,2103.97,29.34
2013/10/1,377961.73,2103.97,29.34
2014/10/1,377972.28,2190.9,29.43
2015/10/1,377970.75,2190.93,29.43
2016/10/1,377971.57,2191,29.43
2017/10/1,377973.89,2193.96,29.43
2018/10/1,377974.17,2193.96,29.43
2019/10/1,377975.24,2194.07,29.43
2020/10/1,377976.41,2194.03,29.43
2021/10/1,377974.63,2194.05,29.43
2022/10/1,377973.26,2194.05,29.43
2023/10/1,377974.79,2199.93,29.43
