年度,総額(円),市税(円),地方譲与税(円),利子割交付金(円),配当割交付金(円),株式等譲渡所得割交付金(円),法人事業税交付金(円),地方消費税交付金(円),特別地方消費税交付金(円),自動車取得税交付金(円),環境性能割交付金(円),国有提供施設等所在市町村助成交付金等(円),地方特例交付金(円),地方交付税(円),臨時地方特例交付金(財政)(円),公営企業及び財産収入(円),交通安全対策特別交付金(円),分担金及び負担金(円),使用料及び手数料(円),国庫支出金(円),都支出金(円),財産収入(円),寄附金(円),繰入金(円),繰越金(円),雑収入(円),諸収入(円),市債(円),自動車重量譲与税及び自動車取得税交付金(円)
1954,"210,866,903","130,123,333",…,…,…,…,…,…,…,…,…,…,…,"4,284,000",…,"2,334,141",…,…,"3,238,822","35,870,579","4,593,614",…,"1,074,793",0,"2,136,370","11,711,251",…,"15,500,000",…
1955,"234,665,971","124,190,505",…,…,…,…,…,…,…,…,…,…,…,"10,322,000",…,"3,300,483",…,"62,108","5,464,164","55,298,955","10,108,096",…,"2,096,680",0,"49,283","2,273,697",…,"21,500,000",…
1956,"286,168,013","170,788,757",…,…,…,…,…,…,…,…,…,…,…,"7,073,000",…,"19,265,634",…,"37,918","6,380,946","49,033,676","14,687,618",…,"292,500",0,0,"2,207,964",…,"16,400,000",…
1957,"360,662,196","198,179,726",…,…,…,…,…,…,…,…,…,"12,235,000",…,"12,220,000",…,"18,007,405",…,"995,385","8,610,056","51,841,195","15,216,277",…,"5,310,000",0,"9,772,913","3,574,239",…,"24,700,000",…
1958,"461,565,136","250,395,021",…,…,…,…,…,…,…,…,…,"24,907,000",…,"13,929,000",…,"35,437,864",…,"1,428,261","10,641,750","48,098,265","16,954,808",…,"3,551,581",0,"39,918,726","5,302,860",…,"11,000,000",…
1959,"563,855,437","294,691,760",…,…,…,…,…,…,…,…,…,"23,845,000",…,"20,359,000",…,"55,025,148",…,"4,049,633","13,545,140","59,052,491","18,439,329",…,"1,128,602",0,"37,239,980","10,379,354",…,"26,100,000",…
1960,"712,532,830","352,313,063",…,…,…,…,…,…,…,…,…,"27,732,000",…,"14,933,000",…,"111,704,738",…,"2,530,175","16,698,836","76,317,756","34,948,014",…,"432,640",0,"41,205,821","11,816,787",…,"21,900,000",…
1961,"1,036,337,608","453,517,906",…,…,…,…,…,…,…,…,…,"26,330,000",…,"15,011,000",…,"256,690,162",…,"2,953,668","20,355,735","101,433,850","40,611,220",…,"300,800",0,"69,695,314","26,437,953",…,"23,000,000",…
1962,"1,295,694,161","576,265,384",…,…,…,…,…,…,…,…,…,"31,289,000",…,"15,892,000",…,"360,393,877",…,"4,547,127","22,022,187","119,806,443","42,183,885",…,"1,407,127",0,"56,229,598","30,257,533",…,"35,400,000",…
1963,"1,620,451,462","709,987,895",…,…,…,…,…,…,…,…,…,"40,779,000",…,"13,173,000",…,"384,735,759",…,"8,360,743","36,837,049","127,837,465","46,211,937",…,"3,344,879",0,"165,916,835","33,266,900",…,"50,000,000",…
