執行年月日,選挙種別,当日有権者数_総数,当日有権者数_男,当日有権者数_女,投票者数_総数,投票者数_男,投票者数_女,投票率(％)_平均,投票率(％)_男,投票率(％)_女
1955/2/27,衆議院(中選挙区選出）議員選挙,28532,14371,14161,21006,11308,9698,73.62259919,78.68624313,68.48386413
1958/5/22,衆議院(中選挙区選出）議員選挙,35269,17528,17741,25368,13419,11949,71.92718818,76.55750799,67.3524604
1960/11/20,衆議院(中選挙区選出）議員選挙,44258,22039,22219,29519,15628,13891,66.69754621,70.91065838,62.51856519
1963/11/21,衆議院(中選挙区選出）議員選挙,60226,30146,30080,38827,20092,18735,64.46883406,66.64897499,62.28390957
1967/1/29,衆議院(中選挙区選出）議員選挙,82246,41219,41027,56026,28948,27078,68.12003015,70.22974842,66.00043874
1969/12/27,衆議院(中選挙区選出）議員選挙,103310,53646,49664,57511,29631,27880,55.66837673,55.23431384,56.13724227
1972/12/10,衆議院(中選挙区選出）議員選挙,112429,57952,54477,72773,37269,35504,64.72796165,64.31011872,65.1724581
1976/12/5,衆議院(中選挙区選出）議員選挙,123698,63984,59714,83935,42562,41373,67.85477534,66.51975494,69.28525974
1979/10/7,衆議院(中選挙区選出）議員選挙,128476,66596,61880,66130,34093,32037,51.47264859,51.19376539,51.77278604
1980/6/22,衆議院(中選挙区選出）議員選挙,130618,67725,62893,86091,43648,42443,65.91051769,64.44887412,67.48445773
1983/12/18,衆議院(中選挙区選出）議員選挙,136450,70944,65506,81261,41651,39610,59.55368267,58.70968651,60.46774341
1986/7/6,衆議院(中選挙区選出）議員選挙,144416,75493,68923,87908,44262,43646,60.87137159,58.63060151,63.32574032
1990/2/18,衆議院(中選挙区選出）議員選挙,154750,81532,73218,101566,50912,50654,65.63231018,62.44419369,69.18244148
1993/7/18,衆議院(中選挙区選出）議員選挙,162336,84999,77337,99337,50604,48733,61.19221861,59.53481806,63.01382262
1996/10/20,衆議院(小選挙区選出）議員選挙,169783,88481,81302,93626,47484,46142,55.14450799,53.66575875,56.75383139
2000/6/25,衆議院(小選挙区選出）議員選挙,177964,91886,86078,106988,54057,52931,60.11777663,58.83050737,61.49190269
2003/11/9,衆議院(小選挙区選出）議員選挙,187019,96438,90581,116460,58503,57957,62.27174779,60.6638462,63.98361687
2005/9/11,衆議院(小選挙区選出）議員選挙,194040,99796,94244,130035,65302,64733,67.01453309,65.4354884,68.68660074
2009/8/30,衆議院(小選挙区選出）議員選挙,199958,101834,98124,135462,68497,66965,67.7452265,67.26338944,68.24528148
2012/12/16,衆議院(小選挙区選出）議員選挙,202969,102926,100043,129365,65230,64135,63.73633412,63.37562909,64.1074338
2014/12/14,衆議院(小選挙区選出）議員選挙,204919,103596,101323,114635,58040,56595,55.94161596,56.02532916,55.85602479
2017/10/22,衆議院(小選挙区選出）議員選挙,213221,107737,105484,116283,58447,57836,54.53637306,54.24970066,54.8291684
2021/10/31,衆議院(小選挙区選出）議員選挙,216038,108119,107919,126208,62618,63590,58.41935215,57.91581498,58.9238225
1996/10/20,衆議院（比例代表選出）議員選挙,169783,88481,81302,93588,47489,46099,55.12212648,53.67140968,56.70094217
2000/6/25,衆議院（比例代表選出）議員選挙,178161,92001,86160,107041,54121,52920,60.08105029,58.82653449,61.42061281
2003/11/9,衆議院（比例代表選出）議員選挙,187261,96570,90691,116440,58500,57940,62.18059286,60.5778192,63.88726555
2005/9/11,衆議院（比例代表選出）議員選挙,194302,99942,94360,130083,65326,64757,66.9488734,65.36391107,68.62759644
2009/8/30,衆議院（比例代表選出）議員選挙,199958,101834,98124,135421,68472,66949,67.72472219,67.23883968,68.22897558
2012/12/16,衆議院（比例代表選出）議員選挙,202969,102926,100043,129371,65232,64139,63.73929024,63.37757224,64.11143208
2014/12/14,衆議院（比例代表選出）議員選挙,204919,103596,101323,114604,58019,56585,55.92648803,56.00505811,55.84615536
2017/10/22,衆議院（比例代表選出）議員選挙,213221,107737,105484,116263,58443,57820,54.52699312,54.24598792,54.81400023
2021/10/31,衆議院（比例代表選出）議員選挙,216038,108119,107919,126171,62596,63575,58.40222553,57.89546703,58.90992318
1956/7/8,参議院（東京都選出）議員選挙,30486,15183,15303,15540,8683,6857,50.97421767,57.18896134,44.80820754
1959/6/2,参議院（東京都選出）議員選挙,38187,18981,19206,19556,10114,9442,51.21114515,53.28486381,49.1617203
1962/7/1,参議院（東京都選出）議員選挙,52313,25938,26375,30125,15362,14763,57.58606847,59.22584625,55.97345972
1965/7/4,参議院（東京都選出）議員選挙,69333,35047,34286,42433,21394,21039,61.20173655,61.04374126,61.36323864
1968/7/7,参議院（東京都選出）議員選挙,96161,49182,46979,59993,30289,29704,62.38807833,61.58553942,63.22825092
1971/6/27,参議院（東京都選出）議員選挙,105273,53981,51292,60646,30496,30150,57.60831362,56.49395158,58.78109647
1974/7/7,参議院（東京都選出）議員選挙,117218,60411,56807,81324,41403,39921,69.37842311,68.53553161,70.27479008
1977/7/10,参議院（東京都選出）議員選挙,125289,64775,60514,83636,42219,41417,66.75446368,65.17792358,68.44201342
1980/6/22,参議院（東京都選出）議員選挙,130618,67725,62893,86062,43613,42449,65.88831555,64.39719454,67.49399774
1983/6/26,参議院（東京都選出）議員選挙,135247,70186,65061,71693,36421,35272,53.0089392,51.89211524,54.21373788
1986/7/6,参議院（東京都選出）議員選挙,144416,75493,68923,87827,44221,43606,60.81528363,58.57629184,63.26770454
1989/7/23,参議院（東京都選出）議員選挙,153339,80820,72519,91069,46076,44993,59.39063122,57.01064093,62.04305079
1992/7/25,参議院（東京都選出）議員選挙,159113,83534,75579,74621,37853,36768,46.89811643,45.31448273,48.64843409
1995/7/23,参議院（東京都選出）議員選挙,168858,88535,80323,72391,36914,35477,42.87093297,41.69424521,44.16792201
1998/7/12,参議院（東京都選出）議員選挙,173770,90153,83617,101106,50852,50254,58.18380618,56.40633146,60.10021886
2001/7/29,参議院（東京都選出）議員選挙,180351,92959,87392,98107,49318,48789,54.39781315,53.0534967,55.82776456
2004/7/11,参議院（東京都選出）議員選挙,188057,96446,91611,107442,54326,53116,57.13267786,56.32789333,57.97993691
2007/7/29,参議院（東京都選出）議員選挙,196440,100356,96084,115726,58405,57321,58.91162696,58.19781578,59.65717497
2010/7/11,参議院（東京都選出）議員選挙,200440,101859,98581,119992,60614,59378,59.86429854,59.50775091,60.23270204
2013/7/21,参議院（東京都選出）議員選挙,203847,103009,100838,109116,55755,53361,53.52838158,54.12633848,52.91755092
2016/7/10,参議院（東京都選出）議員選挙,211232,106520,104712,121609,61046,60563,57.57129602,57.30942546,57.83768814
2019/7/21,参議院（東京都選出）議員選挙,213965,107426,106539,113758,57015,56743,53.1666394,53.07374379,53.26030843
2022/7/10,参議院（東京都選出）議員選挙,215625,107611,108014,124908,61981,62927,57.92834783,57.59727165,58.25818875
1956/7/8,参議院（全国選出）議員選挙,30486,15183,15303,15540,8683,6857,50.97421767,57.18896134,44.80820754
1959/6/2,参議院（全国選出）議員選挙,38187,18981,19206,19555,10112,9443,51.20852646,53.27432696,49.166927
1962/7/1,参議院（全国選出）議員選挙,52313,25938,26375,30123,15360,14763,57.58224533,59.21813555,55.97345972
1965/7/4,参議院（全国選出）議員選挙,69333,35047,34286,42421,21387,21034,61.18442877,61.02376808,61.34865543
1968/7/7,参議院（全国選出）議員選挙,96161,49182,46979,59993,30289,29704,62.38807833,61.58553942,63.22825092
1971/6/27,参議院（全国選出）議員選挙,105273,53981,51292,60635,30492,30143,57.5978646,56.48654156,58.76744911
1974/7/7,参議院（全国選出）議員選挙,117218,60411,56807,81308,41398,39910,69.36477333,68.52725497,70.25542627
1977/7/10,参議院（全国選出）議員選挙,125289,64775,60514,83616,42215,41401,66.73850059,65.17174836,68.41557326
1980/6/22,参議院（全国選出）議員選挙,130618,67725,62893,86028,43612,42416,65.86228544,64.39571798,67.44152767
1983/6/26,参議院（比例代表選出）議員選挙,135247,70186,65061,71683,36414,35269,53.00154532,51.88214174,54.20912682
1986/7/6,参議院（比例代表選出）議員選挙,144416,75493,68923,87688,44177,43511,60.7190339,58.51800829,63.12986956
1989/7/23,参議院（比例代表選出）議員選挙,153339,80820,72519,91041,46060,44981,59.37237102,56.99084385,62.0265034
1992/7/25,参議院（比例代表選出）議員選挙,159113,83534,75579,74592,37839,36753,46.87989039,45.29772308,48.62858731
1995/7/23,参議院（比例代表選出）議員選挙,168858,88535,80323,72359,36897,35462,42.85198214,41.67504377,44.14924741
1998/7/12,参議院（比例代表選出）議員選挙,173770,90153,83617,101065,50829,50236,58.16021177,56.38081927,60.07869213
2001/7/29,参議院（比例代表選出）議員選挙,180592,93094,87498,98159,49358,48801,54.35401347,53.01952865,55.77384626
2004/7/11,参議院（比例代表選出）議員選挙,188323,96592,91731,107485,54348,53137,57.07481295,56.26552924,57.92698215
2007/7/29,参議院（比例代表選出）議員選挙,196440,100356,96084,115689,58388,57301,58.89279169,58.18087608,59.63635985
2010/7/11,参議院（比例代表選出）議員選挙,200440,101859,98581,119946,60583,59363,59.84134903,59.47731668,60.21748613
2013/7/21,参議院（比例代表選出）議員選挙,203847,103009,100838,109092,55742,53350,53.51660804,54.11371822,52.90664234
2016/7/10,参議院（比例代表選出）議員選挙,211232,106520,104712,121572,61035,60537,57.55377973,57.29909876,57.81285813
2019/7/21,参議院（比例代表選出）議員選挙,213965,107426,106539,113723,56995,56728,53.15028159,53.05512632,53.24622908
2022/7/10,参議院（比例代表選出）議員選挙,215625,107611,108014,124880,61962,62918,57.91536232,57.57961547,58.2498565
1955/2/27,最高裁判所裁判官国民審査,28532,14371,14161,20473,11034,9439,71.75452124,76.77962563,66.65489725
1958/5/22,最高裁判所裁判官国民審査,35269,17528,17741,25334,13393,11941,71.83078624,76.40917389,67.30736712
1960/11/20,最高裁判所裁判官国民審査,44258,22039,22219,29356,15545,13811,66.32925121,70.53405327,62.15851298
1963/11/21,最高裁判所裁判官国民審査,60226,30146,30080,38462,19936,18526,63.86278352,66.1314934,61.58909574
1967/1/29,最高裁判所裁判官国民審査,82246,41219,41027,55330,28676,26654,67.27378839,69.56985856,64.96697297
1969/12/27,最高裁判所裁判官国民審査,103310,53646,49664,56256,29247,27009,54.45358629,54.51851023,54.38345683
1972/12/10,最高裁判所裁判官国民審査,112429,57952,54477,70719,36338,34381,62.90103087,62.70361679,63.11103769
1976/12/5,最高裁判所裁判官国民審査,123698,63984,59714,81027,41133,39894,65.5038885,64.2863841,66.80845363
1979/10/7,最高裁判所裁判官国民審査,128476,66596,61880,65065,33582,31483,50.64369999,50.42645204,50.87750485
1980/6/22,最高裁判所裁判官国民審査,130618,67725,62893,83051,42355,40696,63.58312024,62.53968254,64.70672412
1983/12/18,最高裁判所裁判官国民審査,136450,70944,65506,80168,41084,39084,58.75265665,57.91046459,59.66476353
1986/7/6,最高裁判所裁判官国民審査,144416,75493,68923,86949,43807,43142,60.20731775,58.02789663,62.5944895
1990/2/18,最高裁判所裁判官国民審査,154750,81532,73218,97784,49164,48620,63.18836834,60.30025021,66.40443607
1993/7/18,最高裁判所裁判官国民審査,162336,84999,77337,95213,48853,46360,58.65180859,57.47479382,59.94543362
1996/10/20,最高裁判所裁判官国民審査,169783,88481,81302,90947,46132,44815,53.5666115,52.13774709,55.12164522
2000/6/25,最高裁判所裁判官国民審査,177964,91886,86078,104539,52818,51721,58.74165562,57.48209738,60.08620089
2003/11/9,最高裁判所裁判官国民審査,187019,96438,90581,114258,57472,56786,61.09432731,59.59476555,62.69085128
2005/9/11,最高裁判所裁判官国民審査,194040,99796,94244,126704,63679,63025,65.29787673,63.80917071,66.87428377
2009/8/30,最高裁判所裁判官国民審査,199587,101618,97969,131766,66620,65146,66.01932992,65.55925131,66.49654483
2012/12/16,最高裁判所裁判官国民審査,202629,102731,99898,125684,63358,62326,62.02665956,61.67369149,62.38963743
2014/12/14,最高裁判所裁判官国民審査,204601,103422,101179,111257,56363,54894,54.37754459,54.49807584,54.25434132
2017/10/22,最高裁判所裁判官国民審査,212914,107572,105342,115820,58216,57604,54.39755018,54.11817202,54.68284255
2021/10/31,最高裁判所裁判官国民審査,215728,107960,107768,125806,62403,63403,58.31695468,57.80196369,58.83286319
1955/4/23,東京都知事選挙,28859,14516,14343,17681,9579,8102,61.26684916,65.98925324,56.48748518
1959/4/23,東京都知事選挙,38105,18957,19148,29205,14653,14552,76.64348511,77.29598565,75.99749321
1963/4/17,東京都知事選挙,57801,28775,29026,39430,19821,19609,68.21681286,68.88271069,67.55667333
1967/4/15,東京都知事選挙,86984,44263,42721,57045,28840,28205,65.5810264,65.15599937,66.02139463
1971/4/11,東京都知事選挙,104743,53636,51107,76416,38241,38175,72.95571064,71.29726303,74.69622557
1975/4/13,東京都知事選挙,118383,61100,57283,83329,41725,41604,70.38932955,68.28968903,72.62887768
1979/4/8,東京都知事選挙,125939,65144,60795,70430,35630,34800,55.92389967,54.69421589,57.24154947
1983/4/10,東京都知事選挙,133397,69051,64346,67416,33541,33875,50.53786817,48.57424223,52.64507506
1987/4/12,東京都知事選挙,145740,76235,69505,70343,34928,35415,48.2660903,45.81622614,50.95316884
1991/4/6,東京都知事選挙,155776,81870,73906,84838,41632,43206,54.46153451,50.8513497,58.46074744
1995/4/9,東京都知事選挙,164707,85903,78804,87286,43513,43773,52.99471182,50.65364423,55.54667276
1999/4/11,東京都知事選挙,173065,89357,83708,103558,51560,51998,59.83763326,57.70113142,62.11831605
2003/4/13,東京都知事選挙,183040,93999,89041,88004,42704,45300,48.07910839,45.43027053,50.8754394
2007/4/8,東京都知事選挙,192860,98260,94600,107941,53257,54684,55.96857824,54.20008142,57.80549683
2011/4/10,東京都知事選挙,199416,101255,98161,116175,56919,59256,58.25761223,56.21352032,60.36613319
2012/12/16,東京都知事選挙,201509,102053,99456,129014,65024,63990,64.02393938,63.71591232,64.34000965
2014/2/9,東京都知事選挙,200261,100872,99389,95316,48131,47185,47.59588737,47.71492585,47.47507269
2016/7/31,東京都知事選挙,210239,105968,104271,126464,61837,64627,60.15249311,58.35440888,61.97984099
2020/7/5,東京都知事選挙,212284,106163,106121,116587,56466,60121,54.92029545,53.18802219,56.6532543
1955/4/23,東京都議会議員選挙,28859,14516,14343,17677,9575,8102,61.25298867,65.96169744,56.48748518
1959/4/23,東京都議会議員選挙,38105,18957,19148,29204,14653,14551,76.64086078,77.29598565,75.99227073
1961/3/23,東京都議会議員選挙,45942,22797,23145,20422,10369,10053,44.45169997,45.48405492,43.43486714
1963/4/17,東京都議会議員選挙,57801,28775,29026,39440,19824,19616,68.2341136,68.8931364,67.58078964
1965/7/23,東京都議会議員選挙,70625,35750,34875,42571,21249,21322,60.27752212,59.43776224,61.13835125
1969/7/13,東京都議会議員選挙,100272,51352,48920,61028,30003,31025,60.86245412,58.42615672,63.41986917
1973/7/8,東京都議会議員選挙,114017,58726,55291,70356,35739,34617,61.70658761,60.85720124,62.60874283
1977/7/10,東京都議会議員選挙,123102,63447,59655,83310,42054,41256,67.6755861,66.28209372,69.15765653
1981/7/5,東京都議会議員選挙,128957,66536,62421,57801,28897,28904,44.82191738,43.43062402,46.30492943
