時点,総数(ha),宅地(ha),田(ha),畑(ha),山林(ha),原野(ha),雑種地(ha),その他(ha)
1982/1/1,2986,1424.4,110.6,229.8,4.7,0.6,229,986.9
1983/1/1,2986,1426.6,107.1,224.1,4.6,0.6,229,994
1984/1/1,2986,1430.4,104.4,218.1,4.5,0.6,232.8,995.2
1985/1/1,2986,1530.1,103,215.3,4,0.6,215.1,917.9
1986/1/1,2986,1532,100.7,209.5,4,0.6,225.6,913.6
1987/1/1,2986,1541,98.7,204.5,4,0.6,226.4,910.8
1988/1/1,2986,1553.5,95.5,198.3,3.7,0.6,227.3,907.1
1989/1/1,2939,1582.6,93.9,192.9,3.3,0.6,202.4,863.3
1990/1/1,2940,1589.7,91,188.1,3.3,0.6,202.5,864.8
1991/1/1,2940,1593,87.7,182.5,3.2,0.6,200.5,872.5
1992/1/1,2940,1595.4,86,177.2,3.2,0.6,207.4,870.2
1993/1/1,2934,1585.5,80.2,166.9,3.2,0.6,207.3,890.3
1994/1/1,2934,1617.6,76,160.3,3.2,0.5,210.1,866.3
1995/1/1,2934,1624.5,73.5,154.5,3,0.5,212,866
1996/1/1,2934,1631.5,72.4,149.1,2.8,0.5,211,866.7
1997/1/1,2934,1638.8,70.9,147.5,2.8,0.5,207.3,866.2
1998/1/1,2934,1632.1,69.9,144.8,2.7,0.5,212.7,871.3
1999/1/1,2934,1604.9,67.2,142.2,2.7,0.5,233,883.5
2000/1/1,2934,1611.3,66,140.2,2.2,0.5,225.7,888.1
2001/1/1,2934,1613.3,64.8,136.7,2.2,0.5,225.3,891.2
2002/1/1,2934,1617.2,63.7,133.2,2.2,0.5,223.9,893.3
2003/1/1,2934,1625.7,63.1,130,2.2,0.5,218.4,894.1
2004/1/1,2934,1629.2,62.4,127.7,2,0.5,213.8,898.4
2005/1/1,2934,1632.5,61.2,124.6,2,0.5,214.4,898.8
2006/1/1,2934,1630.3,60.1,122.9,0.1,0.5,218.9,901.2
2007/1/1,2934,1627.1,58.9,120.3,0.1,0.5,219.6,907.5
2008/1/1,2934,1630.2,57.9,118.3,0.1,0.5,219.6,907.4
2009/1/1,2934,1636.2,56.4,114.8,0,0.5,218.6,907.5
2010/1/1,2934,1640.2,55.8,111.2,0,0.5,219.4,906.9
2011/1/1,2934,1644.8,54.5,108.5,0,0.5,219.2,906.5
2012/1/1,2934,1647.7,53.7,105.3,0,0.5,219.5,907.3
2013/1/1,2934,1650.9,52.5,102.5,0,0.5,219.3,908.3
2014/1/1,2934,1653,51.8,100.5,0,0.5,221.3,906.9
2015/1/1,2943,1652.5,49.2,99.4,0,0.5,223.6,917.8
2016/1/1,2943,1653.7,48.7,97.8,0,0.5,223.3,919
2017/1/1,2943,1656.6,47.7,95.9,0,0.5,223.3,919
2018/1/1,2943,1659.2,47.1,93.2,0,0.5,224.1,918.9
2019/1/1,2943,1661.6,45.7,91.6,0,0.5,224.3,919.3
2020/1/1,2943,1664.5,44.9,89.4,0,0.5,224.4,919.3
2021/1/1,2943,1663.7,43.7,88.7,0,0.5,227.2,919.2
2022/1/1,2943,1665.8,43.1,86.5,0,0.5,228.3,918.8
2023/1/1,2943,1673.9,42.3,84.9,0,0.5,222.8,918.6
