時点,不就学学齢児童数(6歳～11歳)_免除及び猶予者等_総数,不就学学齢児童数(6歳～11歳)_免除及び猶予者等_就学免除,不就学学齢児童数(6歳～11歳)_免除及び猶予者等_就学猶予等,不就学学齢児童数(6歳～11歳)_１年以上居所不明者,不就学学齢児童数(6歳～11歳)_前年度間の死亡者,不就学学齢生徒数(12歳～14歳)_免除及び猶予者等_総数,不就学学齢生徒数(12歳～14歳)_免除及び猶予者等_就学免除,不就学学齢生徒数(12歳～14歳)_免除及び猶予者等_就学猶予等,不就学学齢生徒数(12歳～14歳)_１年以上居所不明者,不就学学齢生徒数(12歳～14歳)_前年度間の死亡者
1961/5/1,7,1,6,0,6,0,0,0,0,1
1962/5/1,14,2,12,1,1,0,0,0,1,1
1963/5/1,16,4,12,3,4,0,0,0,1,2
1964/5/1,9,1,8,0,5,1,0,1,0,0
1965/5/1,10,3,7,0,3,1,1,0,1,3
1966/5/1,18,8,10,0,1,1,1,0,0,1
1967/5/1,17,8,9,0,4,2,2,0,0,1
1968/5/1,17,7,10,0,1,5,4,1,0,1
1969/5/1,23,12,11,0,0,4,4,0,0,0
1970/5/1,38,17,21,0,5,11,6,5,0,1
1971/5/1,51,22,29,0,4,8,5,3,0,3
1972/5/1,27,18,9,0,0,9,4,5,0,0
1973/5/1,35,18,17,…,5,4,3,1,…,0
1974/5/1,18,8,10,0,0,4,4,0,0,0
1975/5/1,27,6,21,0,0,4,4,0,0,0
1976/5/1,21,3,18,0,1,7,6,1,0,0
1977/5/1,10,3,7,0,1,7,6,1,0,0
1978/5/1,9,2,7,0,0,6,5,1,0,0
1979/5/1,7,2,5,0,4,2,1,1,0,0
1980/5/1,7,2,5,0,1,1,0,1,0,0
1981/5/1,3,1,2,0,7,2,2,0,0,1
1982/5/1,4,1,3,0,3,0,0,0,0,0
1983/5/1,0,0,0,0,2,1,1,0,0,0
1984/5/1,2,0,2,0,1,0,0,0,0,4
1985/5/1,1,0,1,0,1,1,0,1,0,2
1986/5/1,1,0,1,0,3,7,0,7,0,0
1987/5/1,0,0,0,0,3,2,0,2,0,2
1988/5/1,0,0,0,0,3,4,0,4,0,3
1989/5/1,0,0,0,0,1,0,0,0,0,0
1990/5/1,6,0,6,0,1,3,0,3,0,5
1991/5/1,6,0,6,0,0,6,0,6,0,3
1992/5/1,8,0,8,0,1,4,0,4,0,1
1993/5/1,11,0,11,0,0,2,0,2,0,1
1994/5/1,14,0,14,0,1,5,0,5,0,1
1995/5/1,16,0,16,0,1,6,0,6,0,0
1996/5/1,18,0,18,0,0,5,0,5,0,1
1997/5/1,16,0,16,0,0,6,0,6,0,2
1998/5/1,19,0,19,0,2,11,0,11,0,0
1999/5/1,19,0,19,1,0,13,0,13,3,0
2000/5/1,13,0,13,1,1,17,0,17,6,3
2001/5/1,15,0,15,0,0,10,0,10,6,0
2002/5/1,17,0,17,2,1,11,0,11,1,0
2003/5/1,16,0,16,5,0,13,0,13,1,0
2004/5/1,12,0,12,4,0,16,0,16,0,0
2005/5/1,13,0,13,5,0,10,0,10,0,0
2006/5/1,11,0,11,4,0,8,0,8,0,0
2007/5/1,12,0,12,3,0,7,0,7,0,0
2008/5/1,12,0,4,1,0,7,0,2,0,0
2009/5/1,13,0,0,1,0,6,0,0,0,0
2010/5/1,0,0,0,0,0,0,0,0,0,0
2011/5/1,0,0,0,0,0,0,0,0,0,0
2012/5/1,0,0,0,0,0,0,0,0,0,0
2013/5/1,0,0,0,0,0,0,0,0,0,0
2014/5/1,0,0,0,0,0,0,0,0,0,0
2015/5/1,0,0,0,0,0,0,0,0,0,0
2016/5/1,0,0,0,0,0,0,0,0,0,0
2017/5/1,0,0,0,0,0,0,0,0,0,0
2018/5/1,0,0,0,0,0,0,0,0,0,0
2019/5/1,0,0,0,0,0,0,0,0,0,0
2020/5/1,0,0,0,0,0,0,0,0,0,0
2021/5/1,1,0,0,0,0,0,1,0,0,0
2022/5/1,0,0,0,0,0,0,0,0,0,0
2023/5/1,0,0,0,0,0,0,0,0,0,1
