年度,京王電鉄_武蔵野台駅_乗車人員_総数_千人,京王電鉄_武蔵野台駅_乗車人員_定期_千人,京王電鉄_武蔵野台駅_乗車人員_定期外_千人,京王電鉄_武蔵野台駅_降車人員_総数_千人,京王電鉄_武蔵野台駅_降車人員_定期_千人,京王電鉄_武蔵野台駅_降車人員_定期外_千人,京王電鉄_武蔵野台駅_一日平均_乗車人員_人,京王電鉄_武蔵野台駅_一日平均_降車人員_人,京王電鉄_多磨霊園駅_乗車人員_総数_千人,京王電鉄_多磨霊園駅_乗車人員_定期_千人,京王電鉄_多磨霊園駅_乗車人員_定期外_千人,京王電鉄_多磨霊園駅_降車人員_総数_千人,京王電鉄_多磨霊園駅_降車人員_定期_千人,京王電鉄_多磨霊園駅_降車人員_定期外_千人,京王電鉄_多磨霊園駅_一日平均_乗車人員_人,京王電鉄_多磨霊園駅_一日平均_降車人員_人,京王電鉄_東府中駅_乗車人員_総数_千人,京王電鉄_東府中駅_乗車人員_定期_千人,京王電鉄_東府中駅_乗車人員_定期外_千人,京王電鉄_東府中駅_降車人員_総数_千人,京王電鉄_東府中駅_降車人員_定期_千人,京王電鉄_東府中駅_降車人員_定期外_千人,京王電鉄_東府中駅_一日平均_乗車人員_人,京王電鉄_東府中駅_一日平均_降車人員_人,京王電鉄_府中競馬正門前駅_乗車人員_総数_千人,京王電鉄_府中競馬正門前駅_乗車人員_定期_千人,京王電鉄_府中競馬正門前駅_乗車人員_定期外_千人,京王電鉄_府中競馬正門前駅_降車人員_総数_千人,京王電鉄_府中競馬正門前駅_降車人員_定期_千人,京王電鉄_府中競馬正門前駅_降車人員_定期外_千人,京王電鉄_府中競馬正門前駅_一日平均_乗車人員_人,京王電鉄_府中競馬正門前駅_一日平均_降車人員_人,京王電鉄_府中駅_乗車人員_総数_千人,京王電鉄_府中駅_乗車人員_定期_千人,京王電鉄_府中駅_乗車人員_定期外_千人,京王電鉄_府中駅_降車人員_総数_千人,京王電鉄_府中駅_降車人員_定期_千人,京王電鉄_府中駅_降車人員_定期外_千人,京王電鉄_府中駅_一日平均_乗車人員_人,京王電鉄_府中駅_一日平均_降車人員_人,京王電鉄_分倍河原駅_乗車人員_総数_千人,京王電鉄_分倍河原駅_乗車人員_定期_千人,京王電鉄_分倍河原駅_乗車人員_定期外_千人,京王電鉄_分倍河原駅_降車人員_総数_千人,京王電鉄_分倍河原駅_降車人員_定期_千人,京王電鉄_分倍河原駅_降車人員_定期外_千人,京王電鉄_分倍河原駅_一日平均_乗車人員_人,京王電鉄_分倍河原駅_一日平均_降車人員_人,京王電鉄_中河原駅_乗車人員_総数_千人,京王電鉄_中河原駅_乗車人員_定期_千人,京王電鉄_中河原駅_乗車人員_定期外_千人,京王電鉄_中河原駅_降車人員_総数_千人,京王電鉄_中河原駅_降車人員_定期_千人,京王電鉄_中河原駅_降車人員_定期外_千人,京王電鉄_中河原駅_一日平均_乗車人員_人,京王電鉄_中河原駅_一日平均_降車人員_人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_乗車人員_総数_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_乗車人員_定期_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_乗車人員_普通_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_降車人員_総数_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_降車人員_定期_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_降車人員_普通_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_一日平均_乗車人員_人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_一日平均_降車人員_人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_乗降人員_総数_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_乗降人員_定期_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_乗降人員_定期外_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_一日平均_総数_人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_一日平均_定期_人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_一日平均_定期外_人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_乗車人員_総数_千人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_乗車人員_定期_千人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_乗車人員_普通_千人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_降車人員_総数_千人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_降車人員_定期_千人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_降車人員_普通_千人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_一日平均_乗車人員_人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_一日平均_降車人員_人,西武多摩川線_白糸台駅（旧：北多磨駅）_乗降人員_総数_千人,西武多摩川線_白糸台駅（旧：北多磨駅）_乗降人員_定期_千人,西武多摩川線_白糸台駅（旧：北多磨駅）_乗降人員_定期外_千人,西武多摩川線_白糸台駅（旧：北多磨駅）_一日平均_総数_人,西武多摩川線_白糸台駅（旧：北多磨駅）_一日平均_定期_人,西武多摩川線_白糸台駅（旧：北多磨駅）_一日平均_定期外_人,西武多摩川線_競艇場前駅_乗車人員_総数_千人,西武多摩川線_競艇場前駅_乗車人員_定期_千人,西武多摩川線_競艇場前駅_乗車人員_普通_千人,西武多摩川線_競艇場前駅_降車人員_総数_千人,西武多摩川線_競艇場前駅_降車人員_定期_千人,西武多摩川線_競艇場前駅_降車人員_普通_千人,西武多摩川線_競艇場前駅_一日平均_乗車人員_人,西武多摩川線_競艇場前駅_一日平均_降車人員_人,西武多摩川線_競艇場前駅_乗降人員_総数_千人,西武多摩川線_競艇場前駅_乗降人員_定期_千人,西武多摩川線_競艇場前駅_乗降人員_定期外_千人,西武多摩川線_競艇場前駅_一日平均_総数_人,西武多摩川線_競艇場前駅_一日平均_定期_人,西武多摩川線_競艇場前駅_一日平均_定期外_人,西武多摩川線_是政駅_乗車人員_総数_千人,西武多摩川線_是政駅_乗車人員_定期_千人,西武多摩川線_是政駅_乗車人員_普通_千人,西武多摩川線_是政駅_降車人員_総数_千人,西武多摩川線_是政駅_降車人員_定期_千人,西武多摩川線_是政駅_降車人員_普通_千人,西武多摩川線_是政駅_一日平均_乗車人員_人,西武多摩川線_是政駅_一日平均_降車人員_人,西武多摩川線_是政駅_乗降人員_総数_千人,西武多摩川線_是政駅_乗降人員_定期_千人,西武多摩川線_是政駅_乗降人員_定期外_千人,西武多摩川線_是政駅_一日平均_総数_人,西武多摩川線_是政駅_一日平均_定期_人,西武多摩川線_是政駅_一日平均_定期外_人,,
1970,765,0,0,0,0,0,0,0,2160,0,0,0,0,0,0,0,2733,0,0,0,0,0,0,0,1312,0,0,0,0,0,0,0,11466,0,0,0,0,0,0,0,6168,0,0,0,0,0,0,0,3021,0,0,0,0,0,0,0,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A
1971,761,0,0,0,0,0,0,0,2186,0,0,0,0,0,0,0,2685,0,0,0,0,0,0,0,1208,0,0,0,0,0,0,0,11507,0,0,0,0,0,0,0,6347,0,0,0,0,0,0,0,3208,0,0,0,0,0,0,0,1741,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,815,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A
1972,802,472,330,854,472,382,2197,2340,2304,1200,1104,2638,1200,1438,6312,7227,2769,1710,1059,2760,1710,1050,7586,7562,1573,86,1487,1554,85,1469,4310,4260,12056,6933,5123,12658,6933,5725,33030,34679,6339,4780,1559,6285,4780,1505,17367,17219,3426,2279,1147,3221,2279,942,9386,8825,1814,1166,648,1431,1166,265,4970,3921,0,0,0,0,0,0,452,302,150,436,302,134,1238,1195,0,0,0,0,0,0,918,361,557,776,361,415,2515,2126,0,0,0,0,0,0,496,295,201,462,295,167,1359,1266,0,0,0,0,0,0,#N/A,#N/A
1973,868,507,361,894,507,387,2378,2449,2407,1233,1174,2689,1233,1456,6595,7367,2747,1665,1082,2740,1665,1075,7526,7507,1186,84,1102,1234,84,1150,3249,3381,12245,7022,5223,12981,7022,5959,33548,35564,6469,4942,1527,6494,4942,1552,17723,17792,3625,2414,1211,3488,2414,1074,9932,9556,1885,1188,697,1483,1188,295,5164,4063,0,0,0,0,0,0,496,326,170,479,326,153,1359,1312,0,0,0,0,0,0,1072,400,672,849,400,449,2937,2326,0,0,0,0,0,0,539,312,227,500,312,188,1477,1370,0,0,0,0,0,0,#N/A,#N/A
1974,860,508,352,901,508,393,2356,2468,2390,1275,1115,2512,1275,1237,6548,6882,2705,1635,1070,2659,1635,1024,7411,7285,1534,83,1451,1691,83,1608,4203,4633,12090,7053,5037,12378,7053,5325,33123,33912,6214,4799,1415,6393,4799,1594,17025,17515,4108,2785,1323,3999,2785,1214,11255,10956,1927,1244,683,1543,1244,299,5279,4227,0,0,0,0,0,0,558,372,186,508,372,136,1529,1392,0,0,0,0,0,0,1136,429,707,865,429,436,3112,2370,0,0,0,0,0,0,559,322,237,478,322,156,1532,1310,0,0,0,0,0,0,#N/A,#N/A
1975,919,520,399,941,520,421,2518,2578,2357,1188,1169,2340,1188,1152,6458,6411,2697,1620,1077,2671,1619,1052,7389,7318,1466,88,1378,1600,88,1512,4016,4384,11927,6854,5073,12080,6854,5226,32677,33096,5900,4463,1437,6124,4463,1661,16164,16778,4422,3062,1360,4382,3062,1320,12115,12005,1898,1225,673,1560,1225,335,5200,4274,0,0,0,0,0,0,619,394,225,549,394,155,1696,1504,0,0,0,0,0,0,1178,430,748,790,430,360,3227,2164,0,0,0,0,0,0,571,323,248,496,323,173,1564,1359,0,0,0,0,0,0,#N/A,#N/A
1976,1363,869,494,1324,869,455,3734,3627,2138,1035,1103,2002,1035,967,5858,5485,2476,1431,1045,2399,1431,968,6784,6573,1338,83,1255,1565,83,1482,3666,4288,11774,7036,4738,11999,7036,4963,32258,32874,6200,4750,1450,6508,4750,1758,16986,17830,4238,2882,1356,4142,2882,1260,11611,11348,1915,1234,681,1609,1234,375,5247,4408,0,0,0,0,0,0,623,418,205,596,418,178,1707,1633,0,0,0,0,0,0,1118,414,704,659,414,245,3063,1805,0,0,0,0,0,0,604,353,251,564,353,211,1655,1545,0,0,0,0,0,0,#N/A,#N/A
1977,1583,1053,530,1530,1053,477,4337,4192,2063,955,1108,1959,955,1004,5652,5367,2384,1311,1073,2308,1311,997,6532,6323,1248,82,1166,1499,82,1417,3419,4107,12176,7278,4898,12456,7278,5178,33359,34126,6485,4946,1539,6791,4946,1845,17767,18605,4278,2843,1435,4140,2843,1297,11721,11342,1897,1224,673,1603,1224,379,5197,4392,0,0,0,0,0,0,619,419,200,597,419,178,1696,1636,0,0,0,0,0,0,1127,428,699,699,428,271,3088,1915,0,0,0,0,0,0,654,392,262,604,392,212,1792,1655,0,0,0,0,0,0,#N/A,#N/A
1978,1769,1189,580,1694,1189,505,4847,4641,2057,933,1124,2041,933,1108,5636,5592,2405,1319,1086,2309,1319,990,6589,6326,1001,75,926,1421,75,1346,2742,3893,12581,7642,4939,12799,7642,5157,34468,35066,6989,5382,1607,7338,5382,1956,19148,20104,4301,2811,1490,4145,2811,1334,11784,11356,1887,1208,679,1610,1208,402,5170,4411,0,0,0,0,0,0,639,427,212,610,427,183,1751,1671,0,0,0,0,0,0,1166,423,743,704,423,281,3195,1929,0,0,0,0,0,0,671,410,261,634,410,224,1838,1737,0,0,0,0,0,0,#N/A,#N/A
1979,2374,1616,758,2237,1616,621,6504,6129,2003,908,1095,2372,908,1464,5488,6499,2469,1355,1114,2303,1355,948,6764,6310,997,67,930,1276,67,1209,2732,3496,12852,7799,5053,12703,7799,4904,35211,34803,7484,5775,1709,7948,5775,2173,20504,21775,4320,2802,1518,4168,2802,1366,11836,11419,1838,1151,687,1601,1151,450,5036,4386,0,0,0,0,0,0,657,428,229,640,428,212,1800,1753,0,0,0,0,0,0,1143,402,741,744,402,342,3132,2038,0,0,0,0,0,0,785,509,276,725,509,216,2151,1986,0,0,0,0,0,0,#N/A,#N/A
1980,2506,1704,802,2336,1704,632,6866,6400,2016,880,1136,2378,880,1498,5523,6515,2439,1297,1142,2271,1297,974,6682,6222,940,63,877,1270,63,1207,2575,3479,13300,8036,5264,13065,8036,5029,36438,35795,7491,5750,1741,7987,5750,2237,20523,21882,4267,2711,1556,4096,2711,1385,11690,11222,1770,1091,679,1540,1091,449,4849,4219,0,0,0,0,0,0,636,409,227,624,409,215,1742,1710,0,0,0,0,0,0,1131,368,763,727,368,359,3099,1992,0,0,0,0,0,0,852,565,287,796,565,231,2334,2181,0,0,0,0,0,0,#N/A,#N/A
