時点,総数,市の事務部局,市の事務部局(水道事業),議会の事務部局,教育委員会の事務部局,選挙管理委員会の事務部局,農業委員会の事務部局,監査委員の事務部局
1962/4/1,574,371,42,9,140,3,9,…
1963/4/1,642,417,55,10,145,4,9,2
1964/4/1,721,483,61,10,153,4,7,3
1965/4/1,741,484,74,11,158,4,7,3
1966/4/1,774,516,75,11,158,4,7,3
1967/4/1,772,512,74,10,162,4,7,3
1968/4/1,804,537,77,11,163,6,7,3
1969/4/1,908,604,78,12,198,6,7,3
1970/4/1,1009,671,82,12,227,6,7,4
1971/4/1,1105,760,78,12,238,6,7,4
1972/4/1,1218,842,82,13,264,6,7,4
1973/4/1,1348,955,85,14,277,6,7,4
1974/4/1,1456,1034,89,15,302,6,6,4
1975/4/1,1471,1144,88,15,297,6,5,4
1976/4/1,1532,1194,91,15,308,6,5,4
1977/4/1,1530,1130,92,15,371,6,4,4
1978/4/1,1559,1160,91,15,371,5,4,4
1979/4/1,1569,1166,92,15,375,6,3,4
1980/4/1,1589,1158,89,14,404,6,3,4
1981/4/1,1574,1142,86,15,403,6,4,4
1982/4/1,1583,1162,85,15,393,5,4,4
1983/4/1,1562,1143,86,14,391,6,4,4
1984/4/1,1556,1206,83,14,322,6,4,4
1985/4/1,1523,1191,81,14,305,6,4,3
1986/4/1,1504,1165,80,14,311,6,4,4
1987/4/1,1487,1154,79,14,307,5,3,4
1988/4/1,1514,1182,80,14,305,5,4,4
1989/4/1,1508,1183,78,14,298,6,3,4
1990/4/1,1497,1177,76,14,292,6,4,4
1991/4/1,1499,1186,74,14,285,6,4,4
1992/4/1,1518,1193,73,14,297,6,4,4
1993/4/1,1550,1211,72,14,310,7,4,4
1994/4/1,1568,1215,71,14,325,6,4,4
1995/4/1,1557,1209,69,14,320,6,4,4
1996/4/1,1533,1190,66,13,316,6,4,4
1997/4/1,1513,1179,63,14,306,6,4,4
1998/4/1,1488,1164,62,14,296,6,4,4
1999/4/1,1471,1144,61,14,300,6,3,4
2000/4/1,1464,1146,59,14,291,6,3,4
2001/4/1,1436,1136,57,14,273,6,3,4
2002/4/1,1408,1118,55,13,264,6,3,4
2003/4/1,1382,1107,53,12,253,6,7,4
2004/4/1,1366,1100,48,12,244,6,7,4
2005/4/1,1357,1085,46,12,250,6,6,4
2006/4/1,1341,1072,24,12,247,6,6,4
2007/4/1,1338,1068,22,12,248,6,5,4
2008/4/1,1315,1141,17,12,152,6,5,4
2009/4/1,1308,1136,…,12,150,6,5,4
2010/4/1,1274,1110,…,12,142,6,5,4
2011/4/1,1257,1100,…,12,135,6,5,4
2012/4/1,1256,1104,…,12,131,5,4,4
2013/4/1,1254,1107,…,12,126,5,4,4
2014/4/1,1249,1108,…,13,119,5,4,4
2015/4/1,1245,1104,…,13,119,5,4,4
2016/4/1,1266,1127,…,13,117,5,4,4
2017/4/1,1285,1153,…,13,110,5,4,4
2018/4/1,1284,1157,…,13,104,6,5,4
2019/4/1,1299,1168,…,13,106,8,5,4
2020/4/1,1293,1167,…,13,102,7,5,4
2021/4/1,1282,1164,…,13,94,7,5,4
2022/4/1,1308,1184,…,13,100,7,6,4
2023/4/1,1315,1196,…,12,96,7,6,4
