時点,総数,男,女
1954/9/15,27309,13706,13603
1955/9/15,29550,14773,14777
1956/9/15,31902,15886,16016
1957/9/15,34626,17190,17436
1958/9/15,36839,18333,18506
1959/9/15,38824,19209,19615
1960/9/15,43759,21723,22036
1961/9/15,48692,24107,24585
1962/9/15,54696,27170,27526
1963/9/15,62846,31761,31085
1964/9/15,68946,34949,33997
1965/9/15,75996,38753,37243
1966/9/30,80952,40297,40655
1967/9/30,98515,50632,47883
1968/9/20,103907,53411,50496
1969/3/20,105803,54350,51453
1970/9/1,105994,54780,51214
1971/9/1,110286,56927,53359
1972/9/1,112625,58054,54571
1973/9/1,117325,60442,56883
1974/9/1,120955,62500,58455
1975/9/10,123061,63757,59304
1976/9/10,124813,64563,60250
1977/9/10,126447,65445,61002
1978/9/10,126955,65723,61232
1979/9/10,129681,67301,62380
1980/9/10,130740,67809,62931
1981/9/1,132159,68541,63618
1982/9/1,134096,69603,64493
1983/9/1,136459,70927,65532
1984/9/1,139971,72872,67099
1985/9/1,142769,74646,68123
1986/9/1,145971,76496,69475
1987/9/1,149484,78593,70891
1988/9/1,151896,80103,71793
1989/9/1,154172,81303,72869
1990/9/1,156715,82720,73995
1991/9/1,159584,84161,75423
1992/9/1,162534,85510,77024
1993/9/1,165173,86917,78256
1994/9/1,167170,87792,79378
1995/9/1,169327,88716,80611
1996/9/1,171387,89384,82003
1997/9/1,173188,90119,83069
1998/9/1,175357,91029,84328
1999/9/1,177460,91935,85525
2000/9/1,178808,92305,86503
2001/9/1,180857,93266,87591
2002/9/1,184728,95537,89191
2003/9/1,187610,96860,90750
2004/9/1,190667,98180,92487
2005/9/1,194289,99943,94346
2006/9/1,195807,100346,95461
2007/9/1,196781,100720,96061
2008/9/1,198074,101155,96919
2009/9/1,200602,102289,98313
2010/9/1,202043,102872,99171
2011/9/1,202666,103012,99654
2012/9/1,203624,103466,100158
2013/9/1,204080,103381,100699
2014/9/1,205006,103735,101271
2015/9/1,206559,104405,102154
2016/9/1,213158,108008,105150
2017/9/1,213766,108098,105668
2018/9/1,214615,108240,106375
2019/9/1,215085,108193,106892
2020/9/1,215766,108207,107559
2021/9/1,216459,108441,108018
2022/9/1,216915,108416,108499
2023/9/1,216834,108283,108551
