年度,総額(×1000円),議会費(×1000円),総務費(×1000円),民生費(×1000円),衛生費(×1000円),労働費(×1000円),農林水産業費(×1000円),商工費(×1000円),土木費(×1000円),消防費(×1000円),教育費(×1000円),災害復旧費(×1000円),公債費(×1000円),諸支出金(×1000円)
1967,3804135,46124,479255,640642,401951,9745,21826,40267,752372,108961,1252390,0,50602,…
1968,4560271,48104,627571,841035,554873,11640,22728,27625,694958,124396,1548605,0,58736,…
1969,5325093,59734,586737,928360,452513,15052,25576,47365,1050442,141008,1940526,0,77780,…
1970,7066582,70384,874773,1023039,594559,18446,28150,72776,1504456,168552,2593931,0,117516,…
1971,8346014,81025,853665,1349545,771240,19199,32322,130845,1594809,212812,3153301,0,147251,…
1972,10670730,97061,1107275,1700519,1009429,16235,37492,131456,2402113,330300,3553497,2161,283192,…
1973,13963566,127520,1383767,3188821,1061028,17351,43126,143324,3777898,453471,3367333,0,399927,…
1974,17653459,181896,2031094,4243650,1464297,22926,65854,183300,3261759,408986,5217467,18535,553695,0
1975,19105901,190899,2053837,4207322,2032147,24468,66889,258729,4086708,515585,4903168,0,766149,0
1976,20920574,204941,2702804,4407155,2106654,25491,58244,262169,4734456,522989,4868966,0,1026705,0
1977,24440421,236616,3936964,5417883,2249083,25058,61203,325785,4305873,615287,6348514,0,918155,0
1978,25241350,254959,4097495,5681603,2035675,27830,73972,543314,4896041,663477,5661097,0,1305887,0
1979,27993139,279314,4808848,6340762,2124036,70200,76449,541303,5831720,924495,5817357,38120,1140535,0
1980,31213594,300952,5127602,6991515,2305464,92643,90543,617205,7527866,879639,6051908,0,1228257,0
1981,34375932,334208,4233520,8606463,2471994,115768,96134,210522,7109773,1111587,8866445,0,1219518,0
1982,37687625,294264,4524783,8304814,2556060,138154,86542,214214,8644378,1384360,10010424,121115,1408517,0
1983,36559171,304240,4636081,8643522,2810917,142619,102590,228647,7637835,1285282,9282560,0,1484878,0
1984,41874403,309246,5796549,9517931,2638186,161073,96493,206241,10140596,1623253,9971110,0,1413725,0
1985,45877863,326827,7316499,10546515,2513594,170708,99353,223814,10646039,1524668,10944423,0,1565423,0
1986,47889910,353668,7009383,11204752,2868182,163322,106178,215048,10342507,1636269,11626358,0,2364243,0
1987,58519672,355452,15702860,11656964,2703277,315586,99341,283327,13079667,1727589,10909418,0,1686191,0
1988,63854916,382848,11111718,14620909,2883254,323604,116498,329753,19389835,1734771,11105846,0,1855880,0
1989,74112790,399002,10664292,14205292,3155928,361670,110622,247030,25982119,1787109,15202403,0,1997323,0
1990,92602977,420917,19499336,17438928,3720602,411092,121571,304430,29541536,1923213,17009818,0,2211534,0
1991,86784384,462546,12494128,19205449,4081051,712891,170114,554009,23632537,2157271,20701021,0,2613367,0
1992,96209678,499305,10784232,19133942,4378533,451812,193751,511721,30366761,2221130,24597149,0,3071342,0
1993,90178507,499654,10371246,21933735,6930099,425355,175596,515799,29123664,2366948,13885422,0,3950989,0
1994,85688298,464657,9216901,21042290,6970875,435100,168049,533404,28215594,2420125,11633671,0,4587632,0
1995,88664564,512431,8779627,21947266,10733101,459177,165611,578711,27711059,2757937,9777880,0,5241764,0
1996,80996874,524689,11139463,23301944,7804704,472919,163843,445781,18305346,2801302,10362822,0,5674061,0
1997,73567489,529017,10275035,24449381,7191973,547544,169056,413728,10380343,2714151,10765786,0,6131475,0
1998,77142057,507606,10851335,25062286,7455395,556325,175512,933725,7598541,2727606,11868588,0,9405138,0
1999,82643531,493870,9956322,28228293,9542049,544558,140583,959756,11046954,2733353,12875917,0,6121876,0
2000,78140949,505303,8830158,23616748,16780512,550307,129478,430607,7872806,2736728,10949426,0,5738876,0
2001,80612100,500804,9509704,24882339,12532183,588305,121717,436545,13423359,2873896,10051788,0,5691460,0
2002,77874175,468745,13141799,29146065,7473603,573715,120975,430094,8042282,3087731,9530927,0,5858239,0
2003,72639236,468607,9114463,27545773,7087669,593699,101173,403612,9255473,2959836,9543855,0,5565076,0
2004,79937636,482246,9746807,29881789,8791310,551741,101043,443216,12276963,2864695,9320928,0,5476898,0
2005,77153145,464514,10226742,31085417,8687395,539537,92939,417061,7630628,3026830,9930651,0,5051431,0
2006,75457338,459627,10673756,30813601,6832939,541132,90282,381599,7363854,2975429,10480444,0,4844675,0
2007,79978115,480965,10825083,31316945,8162156,535675,93698,479335,7463569,3128483,12891676,0,4600530,0
2008,80903110,485784,8433958,33253172,7580079,539891,92910,410479,10525833,3033805,11960060,0,4587139,0
2009,85565774,467375,11881027,33885895,7788450,570747,106626,4268439,6846717,3242164,11986894,0,4521440,0
2010,90564141,446889,10250311,39204272,7771873,567071,118322,410212,8102060,3129889,16028615,0,4534627,0
