時点,総数,男_総数,女_総数,進学者_総数,進学者_男,進学者_女,高等学校本科_全日制_総数,高等学校本科_全日制_男,高等学校本科_全日制_女,高等学校本科_定時制_総数,高等学校本科_定時制_男,高等学校本科_定時制_女,高等学校本科_定時制_総数のうち就職者(再掲),高等学校本科_定時制_男のうち就職者(再掲),高等学校本科_定時制_女のうち就職者(再掲),高等学校本科_通信制_総数,高等学校本科_通信制_男,高等学校本科_通信制_女,高等学校本科_通信制_総数のうち就職者(再掲),高等学校本科_通信制_男のうち就職者(再掲),高等学校本科_通信制_女のうち就職者(再掲),高等学校別科_総数,高等学校別科_男,高等学校別科_女,高等専門学校_総数,高等専門学校_男,高等専門学校_女,特別支援学校高等部本科_総数,特別支援学校高等部本科_男,特別支援学校高等部本科_女,専修学校等入学者_総数,専修学校等入学者_男,専修学校等入学者_女,専修学校_総数,専修学校_男,専修学校_女,専修学校_総数のうち就職者(再掲),専修学校_男のうち就職者(再掲),専修学校_女のうち就職者(再掲),各種学校_総数,各種学校_男,各種学校_女,公共職業訓練施設等_総数,公共職業訓練施設等_男,公共職業訓練施設等_女,就職者_総数,就職者_男,就職者_女,左記以外の者_総数,左記以外の者_男,左記以外の者_女,死亡・不詳_総数,死亡・不詳_男,死亡・不詳_女,就職進学者_総数,就職進学者_男,就職進学者_女,その他_総数,その他_男,その他_女
1965/5/1,1816,975,841,1515,807,708,1508,800,708,7,7,0,…,…,…,…,…,…,…,…,…,…,…,…,0,0,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,195,117,78,38,12,26,…,…,…,68,39,29,0,0,0
1966/5/1,1642,810,832,1409,696,713,1405,692,713,0,0,0,…,…,…,…,…,…,…,…,…,…,…,…,4,4,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,156,90,66,37,12,25,…,…,…,38,11,27,2,1,1
1967/5/1,1612,851,761,1425,745,680,1417,737,680,3,3,0,…,…,…,…,…,…,…,…,…,…,…,…,5,5,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,130,73,57,37,19,18,…,…,…,20,14,6,0,0,0
1968/5/1,1541,776,765,1399,701,698,1393,695,698,0,0,0,…,…,…,…,…,…,…,…,…,…,…,…,6,6,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,81,47,34,36,14,22,…,…,…,24,13,11,1,1,0
1969/5/1,1642,842,800,1514,779,735,1500,768,732,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,46,39,26,8,18,0,0,0,17,9,8,0,0,0
1970/5/1,1691,848,843,1608,798,810,1598,788,810,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,36,28,5,2,3,0,0,0,14,12,2,0,0,0
1971/5/1,1678,882,796,1602,844,758,1597,839,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,28,26,12,3,9,0,0,0,10,7,3,0,0,0
1972/5/1,1669,840,829,1598,809,789,1593,804,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,22,22,12,4,8,0,0,0,15,5,10,0,0,0
1973/5/1,1856,1013,843,1787,964,823,1769,946,823,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,30,15,14,10,4,0,0,0,9,8,1,1,1,0
1974/5/1,1857,934,923,1803,901,902,1794,894,900,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,10,19,12,7,0,0,0,10,7,3,1,0,1
1975/5/1,1962,970,992,1892,926,966,1870,908,962,19,15,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,28,19,9,5,4,0,0,0,14,11,3,0,0,0
1976/5/1,2073,1091,982,2006,1047,959,1974,1022,952,28,21,7,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17,13,15,11,4,0,0,0,22,16,6,0,0,0
1977/5/1,2240,1155,1085,2161,1108,1053,2140,1092,1048,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,1,3,28,10,18,12,4,8,0,0,0,14,4,10,2,2,0,45,31,14,6,6,0,0,0,0,…,…,…,…,…,…
1978/5/1,2280,1204,1076,2193,1150,1043,2163,1129,1034,14,10,4,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,7,2,5,30,17,13,5,3,2,0,0,0,18,7,11,7,7,0,49,34,15,7,2,5,1,1,0,…,…,…,…,…,…
1979/5/1,2499,1308,1191,2384,1234,1150,2323,1180,1143,43,38,5,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,8,6,2,52,29,23,7,5,2,0,0,0,42,21,21,3,3,0,55,41,14,8,4,4,0,0,0,…,…,…,…,…,…
1980/5/1,2432,1210,1222,2300,1131,1169,2237,1080,1157,43,35,8,0,0,0,0,0,0,0,0,0,0,0,0,11,8,3,9,8,1,41,14,27,16,1,15,0,0,0,21,9,12,4,4,0,67,50,17,24,15,9,0,0,0,…,…,…,…,…,…
1981/5/1,2403,1230,1173,2260,1144,1116,2209,1103,1106,30,23,7,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,12,9,3,47,24,23,3,1,2,0,0,0,42,21,21,2,2,0,70,51,19,26,11,15,0,0,0,…,…,…,…,…,…
1982/5/1,2650,1370,1280,2470,1242,1228,2402,1185,1217,46,40,6,22,18,4,0,0,0,0,0,0,0,0,0,8,8,0,14,9,5,64,33,31,10,4,6,0,0,0,43,18,25,11,11,0,101,82,19,15,13,2,0,0,0,…,…,…,…,…,…
