年度,総額(×1000円),地方税(×1000円),地方譲与税(×1000円),利子割交付金(×1000円),配当割交付金(×1000円),株式等譲渡所得割交付金(×1000円),地方消費税交付金(×1000円),特別地方消費税交付金(×1000円),自動車取得税交付金(×1000円),環境性能割交付金(×1000円),法人事業税交付金(×1000円),地方特例交付金(×1000円),地方交付税(×1000円),交通安全対策特別交付金(×1000円),国有提供施設等所在市町村助成交付金(×1000円),分担金及び負担金(×1000円),使用料(×1000円),手数料(×1000円),国庫支出金(×1000円),都支出金(×1000円),財産収入(×1000円),寄附金(×1000円),繰入金(×1000円),繰越金(×1000円),諸収入(×1000円),地方債(×1000円),その他(×1000円)
1967,3974466,1641500,0,…,…,…,…,…,0,…,…,…,10430,0,…,13781,28514,65067,259045,114286,8912,11810,0,420066,1235747,80500,84808
1968,4761145,1956193,0,…,…,…,…,…,0,…,…,…,11520,0,…,15511,34399,65656,343267,184212,11134,7080,30002,170331,1551236,238900,141704
1969,5618277,2489870,0,…,…,…,…,…,0,…,…,…,103786,0,…,24907,51678,67226,397394,237504,13103,14263,0,200874,1642395,170500,204777
1970,7221704,3065334,0,…,…,…,…,…,85297,…,…,…,31923,3989,…,21154,76361,37541,546449,526424,20690,16086,0,293184,1864214,478400,154658
1971,8542068,3732363,6304,…,…,…,…,…,90238,…,…,…,48381,6110,…,19940,93347,33113,706564,591027,33691,0,0,155122,1462213,1372800,190855
1972,10885511,4538322,29577,…,…,…,…,…,90052,…,…,…,179542,15596,…,22369,114028,41239,1049180,762176,285668,0,0,196054,2443023,847100,271585
1973,14295556,5914510,31582,…,…,…,…,…,119366,…,…,…,624285,19689,…,24506,133941,45412,1488576,958750,34881,159113,0,214781,3738783,565900,221481
1974,17954116,7440167,54354,…,…,…,…,…,146603,…,…,…,960218,21199,…,61689,145933,46669,2010182,1116842,51373,799020,0,331990,2903302,1607800,256775
1975,19398182,8163247,63741,…,…,…,…,…,186213,…,…,…,473957,25192,…,26706,169784,41251,2623991,1124352,72613,…,0,300657,3176906,1047400,1902172
1976,21426448,9823463,117212,…,…,…,…,…,197010,…,…,…,835728,26165,…,34332,250881,54385,2610947,1185249,242085,…,2824,292281,3489349,954100,1310437
1977,24982869,11258354,137441,…,…,…,…,…,229234,…,…,…,211458,38384,…,45307,273551,60881,3291036,1372668,344294,…,5924,505874,4306164,1659800,1242499
1978,25770393,12781630,141855,…,…,…,…,…,271204,…,…,…,485120,44122,…,53460,322492,63270,3308441,1432147,479102,…,18699,542448,3757174,821800,1247429
1979,28729071,14356539,204432,…,…,…,…,…,305542,…,…,…,394301,37115,…,57973,355595,62224,3751193,1466189,748146,…,961517,529043,3416290,1010300,1072672
1980,32315546,16645642,210680,…,…,…,…,…,280068,…,…,…,532420,23691,32771,76656,406366,59880,3746022,1759766,1519003,1315040,824843,735932,3035966,1110800,…
1981,35502884,18530834,215968,…,…,…,…,…,306819,…,…,…,36229,19737,19906,96573,463493,74389,4021029,2402792,1135279,1463759,15174,1011340,3659363,2030200,…
1982,38261932,20529216,233858,…,…,…,…,…,346120,…,…,…,38904,24472,25240,122557,519337,113273,4214225,2017307,1665127,2083206,…,1036952,3286538,2005600,…
1983,37303239,22338687,246621,…,…,…,…,…,362426,…,…,…,39302,22898,22716,139345,557970,110749,4050521,2063342,903148,724969,1471,454307,4089267,1175500,…
