年次,合計(回),震度1(回),震度2(回),震度3(回),震度4(回),震度5弱(回),震度5強(回),震度6弱(回),震度6強(回),震度7(回)
1999,1,0,1,0,0,0,0,0,0,0
2000,10,4,6,0,0,0,0,0,0,0
2001,11,6,5,0,0,0,0,0,0,0
2002,4,1,3,0,0,0,0,0,0,0
2003,11,4,5,2,0,0,0,0,0,0
2004,10,2,7,1,0,0,0,0,0,0
2005,16,8,4,4,0,0,0,0,0,0
2006,5,3,2,0,0,0,0,0,0,0
2007,13,9,4,0,0,0,0,0,0,0
2008,13,7,5,1,0,0,0,0,0,0
2009,7,4,2,1,0,0,0,0,0,0
2010,11,8,3,0,0,0,0,0,0,0
2011,95,50,38,6,0,1,0,0,0,0
2012,40,26,11,3,0,0,0,0,0,0
2013,33,25,8,0,0,0,0,0,0,0
2014,27,20,5,2,0,0,0,0,0,0
2015,24,19,2,3,0,0,0,0,0,0
2016,28,17,7,4,0,0,0,0,0,0
2017,23,20,3,0,0,0,0,0,0,0
2018,21,16,4,1,0,0,0,0,0,0
2019,25,17,8,0,0,0,0,0,0,0
2020,24,15,9,0,0,0,0,0,0,0
2021,30,18,9,2,1,0,0,0,0,0
2022,24,15,8,1,0,0,0,0,0,0
2023,20,16,4,0,0,0,0,0,0,0
