都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考
131199,,東京都,板橋区,離乳食から幼児食へのすすめ方（赤塚健康福祉センター）午前の部,リニュウショクカラヨウジショクヘノススメカタ（アカツカケンコウフクシセンター）ゴゼンノブ,,2022/12/9,2022/12/9,10:00,10:45,,"9か月から1歳6か月のお子さんの保護者の方を対象に、離乳食後半から幼児食へのすすめ方について、講義と料理紹介・展示の講習会を開催します。	離乳後期から離乳完了期ごろの食材の形態、大きさ、味つけなど	大人の食事から取り分けて作る離乳食	手づかみ食べ",,,,,,,赤塚健康福祉センター,,,,,,,,,,,/1000779/1000809/1000819/1040686.html,
131199,,東京都,板橋区,離乳食から幼児食へのすすめ方（赤塚健康福祉センター）午後の部,リニュウショクカラヨウジショクヘノススメカタ（アカツカケンコウフクシセンター）ゴゴノブ,,2022/12/9,2022/12/9,14:00,14:45,,"9か月から1歳6か月のお子さんの保護者の方を対象に、離乳食後半から幼児食へのすすめ方について、講義と料理紹介・展示の講習会を開催します。	離乳後期から離乳完了期ごろの食材の形態、大きさ、味つけなど	大人の食事から取り分けて作る離乳食	手づかみ食べ",,,,,,,赤塚健康福祉センター,,,,,,,,,,,/1000779/1000809/1000819/1040686.html,
131199,,東京都,板橋区,離乳食から幼児食へのすすめ方（志村健康福祉センター）午前の部,リニュウショクカラヨウジショクヘノススメカタ（シムラケンコウフクシセンター）ゴゼンノブ,,2022/12/20,2022/12/20,10:00,10:45,,"9か月から1歳6か月のお子さんの保護者の方に、離乳食後半から幼児食へのすすめ方について、講義と料理紹介、料理展示の講習会を開催します。	9か月から離乳完了期ごろの食材の形態、大きさ、味つけなど	大人と一緒に食べる離乳食	手づかみ食べ",,,,,,,志村健康福祉センター（蓮根2-5-5）,,,,,,,,,,,/1000779/1000809/1000820/1040496.html,
131199,,東京都,板橋区,離乳食から幼児食へのすすめ方（志村健康福祉センター）午後の部,リニュウショクカラヨウジショクヘノススメカタ（シムラケンコウフクシセンター）ゴゴノブ,,2022/12/20,2022/12/20,14:00,14:45,,"9か月から1歳6か月のお子さんの保護者の方に、離乳食後半から幼児食へのすすめ方について、講義と料理紹介、料理展示の講習会を開催します。	9か月から離乳完了期ごろの食材の形態、大きさ、味つけなど	大人と一緒に食べる離乳食	手づかみ食べ",,,,,,,志村健康福祉センター（蓮根2-5-5）,,,,,,,,,,,/1000779/1000809/1000820/1040496.html,
131199,,東京都,板橋区,はじめての歯みがきひろば,ハジメテノハミガキヒロバ,,2022/12/16,2022/12/16,10:20,11:30,,乳歯のお手入れとむし歯予防のお話個別歯みがき相談歯科医師による保護者の口腔内チェックと歯科相談,,,,,,,高島平健康福祉センター,,,,,,,,2022/12/15,,,/1000779/1000809/1000821/1022617.html,
131199,,東京都,板橋区,話そう・つくろう・みんなの公園～公園をめぐる子どもたちの声をもとに～,ハナソウ・ツクロウ・ミンナノコウエン～コウエンヲメグルコドモタチノコエヲモトニ～,,2022/10/2,2022/10/2,14:00,16:00,,　令和3年度に総務省による公園調査が板橋区立小・中学校10校1500人の子どもたちの協力を得ておこなわれました。本フォーラムではこの公園調査の結果報告をもとにして子どもたちから見た公園をめぐる現状と課題を共有します。そして、思春期世代の子どもたち、地域の大人や保護者、公園利用者たちを交えたグループワークを通して、これからの公園やコミュニティーのあり方について共に考えます。討論の過程で子どもの意見参画を実現させ、多世代共生の地域づくりにつなげていきたいと思います。,,,,,,,大原生涯学習センター,,,,,,,,2022/9/30,,,/1000779/1000922/1000927/1040913.html,
131199,,東京都,板橋区,まなぽーと成増フェスタ,マナポートナリマスフェスタ,,2022/6/19,2022/6/19,10:00,15:30,,当センターを利用するサークルの成果発表イベント（ステージ発表、作品展示、体験コーナー）,,,,,,,成増生涯学習センター,,,,,,,,,,,/1000779/1000922/1000927/1038645.html,
131199,,東京都,板橋区,立体地図と街歩きで成増・赤塚地域の地形を知ろう,リッタイチズトマチアルキデナリマス・アカツカチイキノチケイヲシロウ,,2022/3/5,2022/3/5,14:00,16:00,,みなさん、成増・赤塚地域とその周辺のことはどれくらい知っていますか？成増・赤塚は昔どんな場所だったか？周辺地域はどんな地形か？どんなスポットがあるのか？地層はどうなっているのか？などをみなさんと一緒に学んでいきましょう。3月5日（土曜日）は立体地図作り、3月6日（日曜日）はまなぽーと成増から郷土資料館まで街歩きをします。街歩きはアップダウンが激しいので、動きやすい服装でご参加ください。協力：3月6日（日曜日）「いたばしまち博友の会」、「板橋区立郷土資料館」,,,,,,,まなぽーと成増,,,,,,,,2022/3/5,,,/1000779/1000922/1000927/1037352.html,
131199,,東京都,板橋区,立体地図と街歩きで成増・赤塚地域の地形を知ろう,リッタイチズトマチアルキデナリマス・アカツカチイキノチケイヲシロウ,,2022/3/6,2022/3/6,13:00,16:00,,みなさん、成増・赤塚地域とその周辺のことはどれくらい知っていますか？成増・赤塚は昔どんな場所だったか？周辺地域はどんな地形か？どんなスポットがあるのか？地層はどうなっているのか？などをみなさんと一緒に学んでいきましょう。3月5日（土曜日）は立体地図作り、3月6日（日曜日）はまなぽーと成増から郷土資料館まで街歩きをします。街歩きはアップダウンが激しいので、動きやすい服装でご参加ください。協力：3月6日（日曜日）「いたばしまち博友の会」、「板橋区立郷土資料館」,,,,,,,まなぽーと成増,,,,,,,,2022/3/5,,,/1000779/1000922/1000927/1037352.html,
131199,,東京都,板橋区,立体地図で地元の地形を知ろう,リッタイチズデジモトノチケイヲシロウ,,2022/7/31,2022/7/31,13:30,16:00,,"徳丸-中台地域、志村-小豆沢地域の地形について一緒に学んでいきます。	自分の地元の地形はどうなっているんだろう？	隣の街の地形も気になる	自分の地域ってどれくらいの高さなんだろう？など、徳丸-中台地域や志村-小豆沢地域のことをもっと理解して、郷土について関心を持つきっかけづくりを目的としています。&nbsp;7月31日は徳丸-中台地域の立体地図作り、8月7日は志村-小豆沢地域の立体地図作りを行います。",,,,,,,まなぽーと成増　学習室-2,,,,,,,,2022/7/30,,,/1000779/1000922/1000927/1039032.html,
