"年月日[西暦]","学校名","分類","児童数(1年男)[人]","児童数(1年女)[人]","児童数(2年男)[人]","児童数(2年女)[人]","児童数(3年男)[人]","児童数(3年女)[人]","児童数(4年男)[人]","児童数(4年女)[人]","児童数(5年男)[人]","児童数(5年女)[人]","児童数(6年男)[人]","児童数(6年女)[人]","学級数(全学年)[組]","児童数(全学年男)[人]","児童数(全学年女)[人]"
"20240407","御成門学園　御成門小学校","特別支援学級",,,,,,,,,,,,,"3",,
"20240407","赤羽小学校","特別支援学級","3","1","3","2","2","2","1","0","0","0","1","1",,"10","6"
"20240407","高輪台小学校","特別支援学級","1","1","0","0","0","0","2","0","1","0","1","0","1","5","1"
"20240407","港南小学校","特別支援学級","1","1","4","4","3","6","1","0","7","0","5","1","6","21","12"
"20240407","麻布小学校","日本語学級",,,,,,,,,,,,,"1","0","0"
"20240407","本村小学校","特別支援学級",,,,,,,,,,,,,,"0","0"
"20240407","笄小学校","日本語学級","1","0","7","2","5","0","3","1","8","3","1","1",,"25","7"
"20240407","青山小学校","特別支援学級","2","1","2","2","5","1","4","1","3","1","3","1",,"19","7"
"20240407","お台場学園　港陽小学校","特別支援学級","0","0","2","0","1","0","2","0","0","1","1","0","1","6","1"

"港区立小学校　児童数・学級数(特別支援学級)","Ver202404",,,,,,,,,,,,,,,,
