地域階層,地域コード,国・地域(人),総数,中国,韓国・朝鮮,フィリピン,米国,英国,タイ,インド,ブラジル,フランス,オーストラリア,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,360143,121804,105848,31328,18581,7594,6014,6644,4831,4569,4173,48757,354676,5467
1,13100,区部,298185,101897,89214,24226,15273,6715,4866,6057,2825,4299,3659,39154,294016,4169
4,13101,千代田区,2265,674,431,73,225,77,19,87,12,189,42,436,2012,253
4,13102,中央区,3458,1221,830,111,247,128,55,155,19,75,64,553,2958,500
4,13103,港区,19240,2293,2885,1041,4489,1514,188,819,279,797,919,4016,17721,1519
4,13104,新宿区,29353,9267,12419,777,765,455,594,184,164,967,243,3518,28243,1110
4,13105,文京区,6576,2290,2154,213,334,116,121,158,43,243,68,836,6549,27
4,13106,台東区,10205,3415,4436,821,152,64,147,406,29,55,37,643,9838,367
4,13107,墨田区,7953,3059,2216,1190,76,66,357,58,36,16,12,867,8076,-123
4,13108,江東区,15062,6428,4447,1525,238,95,321,418,149,55,104,1282,14218,844
4,13109,品川区,10321,3350,2349,796,655,328,132,510,101,126,154,1820,9991,330
4,13110,目黒区,8033,1562,1586,675,946,382,133,231,74,181,230,2033,7910,123
4,13111,大田区,15943,5378,3920,2151,540,266,350,274,326,76,105,2557,15881,62
4,13112,世田谷区,14395,3168,3930,924,1483,551,183,385,162,308,349,2952,14745,-350
4,13113,渋谷区,10931,1586,1721,462,2194,1059,148,226,124,543,513,2355,10935,-4
4,13114,中野区,10572,3991,3070,473,370,247,162,342,61,105,142,1609,11038,-466
4,13115,杉並区,10705,3769,3031,556,687,295,145,133,94,106,163,1726,11062,-357
4,13116,豊島区,15505,8532,3188,488,350,222,228,100,78,151,110,2058,16506,-1001
4,13117,北区,13729,7029,3328,969,154,121,125,136,177,37,52,1601,13617,112
4,13118,荒川区,13303,4124,7358,611,106,61,129,81,39,20,30,744,13014,289
4,13119,板橋区,15342,7616,3543,1488,253,185,188,80,170,68,81,1670,15330,12
4,13120,練馬区,12039,4220,3819,1041,464,164,247,284,140,80,78,1502,12261,-222
4,13121,足立区,21313,6004,8940,3666,182,97,383,109,313,30,53,1536,21224,89
4,13122,葛飾区,12004,4532,4149,1548,139,79,188,40,94,25,32,1178,11457,547
4,13123,江戸川区,19938,8389,5464,2627,224,143,323,841,141,46,78,1662,19430,508
1,13200,市部,60972,19805,16478,6784,3246,872,1118,582,1897,270,511,9409,59713,1259
4,13201,八王子市,8044,2929,1902,1019,226,86,92,48,284,33,58,1367,7926,118
4,13202,立川市,3220,1336,931,318,123,25,32,18,128,7,11,291,3309,-89
4,13203,武蔵野市,2373,914,533,96,245,84,29,41,31,31,31,338,2344,29
4,13204,三鷹市,2894,888,713,166,341,102,63,24,34,43,54,466,2831,63
4,13205,青梅市,1392,290,256,338,62,10,54,10,118,-,3,251,1355,37
4,13206,府中市,4133,1264,1013,540,301,56,75,91,118,15,36,624,4014,119
4,13207,昭島市,2170,706,765,232,55,7,13,5,71,4,1,311,2154,16
4,13208,調布市,3650,1182,1206,304,167,51,67,54,35,28,32,524,3548,102
4,13209,町田市,4570,1669,1156,467,260,96,84,68,53,14,47,656,4289,281
4,13210,小金井市,2336,961,428,114,181,41,34,34,9,27,38,469,2283,53
4,13211,小平市,4039,990,1924,216,101,31,51,17,226,10,27,446,3829,210
4,13212,日野市,2172,928,483,214,67,29,31,15,19,6,7,373,2153,19
4,13213,東村山市,1729,480,566,267,75,22,36,6,13,1,10,253,1718,11
4,13214,国分寺市,1595,622,454,96,86,39,23,10,19,5,43,198,1503,92
4,13215,国立市,1363,493,400,72,65,23,33,25,13,3,11,225,1448,-85
4,13218,福生市,2265,396,431,408,153,4,168,10,146,2,5,542,2307,-42
4,13219,狛江市,788,259,193,107,58,18,22,8,3,7,7,106,816,-28
4,13220,東大和市,911,188,318,262,33,9,16,4,22,-,8,51,887,24
4,13221,清瀬市,843,319,191,135,27,8,23,2,8,2,8,120,825,18
4,13222,東久留米市,1523,354,290,209,270,37,33,25,13,4,26,262,1411,112
4,13223,武蔵村山市,935,240,214,214,29,2,20,1,128,1,4,82,971,-36
4,13224,多摩市,1987,780,568,258,62,30,22,8,18,10,20,211,2005,-18
4,13225,稲城市,955,362,294,88,36,10,17,7,26,-,6,109,901,54
4,13227,羽村市,1800,245,168,293,74,2,18,23,294,-,-,683,1777,23
4,13228,あきる野市,612,125,173,80,38,2,17,1,32,1,2,141,544,68
4,13229,西東京市,2673,885,908,271,111,48,45,27,36,16,16,310,2565,108
1,13550,町村部,986,102,156,318,62,7,30,5,109,-,3,194,947,39
2,13300,西多摩郡,747,86,71,231,51,4,24,5,104,-,-,171,704,43
4,13303,瑞穂町,654,74,52,209,32,3,23,5,100,-,-,156,611,43
4,13305,日の出町,62,10,12,11,8,1,1,-,4,-,-,15,60,2
4,13307,檜原村,12,-,2,4,6,-,-,-,-,-,-,-,16,-4
4,13308,奥多摩町,19,2,5,7,5,-,-,-,-,-,-,-,17,2
2,13350,島部,239,16,85,87,11,3,6,-,5,-,3,23,243,-4
3,13360,大島支庁,51,10,10,7,2,-,2,-,5,-,-,15,47,4
3,13380,三宅支庁,36,-,19,14,2,-,-,-,-,-,-,1,39,-3
3,13400,八丈支庁,138,5,51,65,3,3,4,-,-,-,2,5,145,-7
3,13420,小笠原支庁,14,1,5,1,4,-,-,-,-,-,1,2,12,2
,,,,,,,,,,,,,,,,
外国人登録人口平成17年10月,,,,,,,,,,,,,,,,
第１表区市町村別主要10か国外国人登録人口（平成17年10月１日現在）,,,,,,,,,,,,,,,,
注１）国籍は、平成１７年１月１日現在で登録人口の多い１０か国とした。,,,,,,,,,,,,,,,,
