"年度","理容所 施設数","理容所 監視[件]","理容所 相談[件]","美容所 施設数","美容所 監視[件]","美容所 相談[件]","クリーニング所 施設数","クリーニング所 監視[件]","クリーニング所 相談[件]","興行場 施設数","興行場 監視[件]","興行場 相談[件]","旅館業 施設数","旅館業 監視[件]","旅館業 相談[件]","公衆浴場 普通 施設数","公衆浴場 普通 監視[件]","公衆浴場 普通 相談[件]","公衆浴場 その他 施設数","公衆浴場 その他 監視[件]","公衆浴場 その他 相談[件]","プール 施設数","プール 監視[件]","プール 相談[件]","水道施設 施設数","水道施設 監視[件]","水道施設 相談[件]","温泉利用施設 施設数","温泉利用施設 監視[件]","温泉利用施設 相談[件]","墓地・納骨堂 施設数","墓地・納骨堂 監視[件]","墓地・納骨堂 相談[件]","住宅宿泊事業 施設数","住宅宿泊事業 監視[件]","住宅宿泊事業 相談[件]","特定建築物 施設数","特定建築物 監視[件]","特定建築物 相談[件]","施設数 合計","監視 合計[件]","相談 合計[件]"
"2015","183","22","32","1067","156","538","449","60","151","67","26","75","139","62","662","6","7","15","124","57","98","84","112","61","8131","29","10","3","3","10","242","4","128",,,,"1013","105","168","11508","643","1948"
"2016","186","23","90","1140","167","1373","475","84","209","55","23","67","154","114","1582","5","7","16","128","62","140","85","102","82","8010","31","33","6","10","52","246","15","164",,,,"1012","107","180","11502","745","3988"
"2017","188","15","66","1216","137","677","499","40","119","56","15","93","185","109","1215","4","5","9","128","27","79","86","88","58","7808","51","34","3","8","27","247","10","131",,,"91","1017","123","150","11437","628","2749"
"2018","191","12","43","1279","153","526","519","80","115","58","11","29","219","123","1069","4","4","2","129","60","56","86","103","52","7666","81","29","3","5","17","247","6","55","264","15","2573","1018","107","239","11683","760","4805"
"2019","193","15","64","1336","157","716","538","37","144","59","11","87","282","196","1073","4","8","7","133","81","149","84","110","122","7518","37","63","3","6","18","247","13","73","395","18","1888","1026","110","373","11818","799","4777"

"令和2年度港区行政資料集　環境衛生関係施設数と監視指導の状況","Ver202003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
