"コンテスト名称","応募者数[人]","応募作品件数[作品]","応募者住所 区内[人]","応募者住所 区外[人]","応募者分類 個人[人]","応募者分類 グループ[グループ]","応募者分類 法人[法人]","応募者職業 小学生[人]","応募者職業 中学生[人]","応募者職業 高校生[人]","応募者職業 専門学校生[人]","応募者職業 大学生・大学院生[人]","応募者職業 会社員[人]","応募者職業 公務員[人]","応募者職業 自営業[人]","応募者職業 その他[人]"
"港区政70周年「港区オープンデータアプリコンテスト」",33,34,24,9,25,4,4,0,0,0,0,14,16,0,2,1

"アプリコンテスト 応募者統計","Ver201703",,,,,,,,,,,,,,,
