地域,Area,平成28年(2016)（棟）,令和3年(2021)（棟）
山手線内側,InsideJRYamanoteLine,135210,132931
環状６号線内側,InsideRingRoadNo.6,428565,421633
環状７号線内側,InsideRingRoadNo.7,861233,857400
