地域,Area,平成28年(2016)構成比(%),令和3年(2021)構成比(%)
千代田区,Chiyoda-ku,97.1,97.6
中央区,Chuo-ku,93.3,94.9
港区,Minato-ku,91.6,93
新宿区,Shinjuku-ku,79.8,82
文京区,Bunkyo-ku,76,79
台東区,Taito-ku,72.7,75.2
墨田区,Sumida-ku,73.5,77.2
江東区,Koto-ku,86.7,88.8
品川区,Shinagawa-ku,65.8,70.5
目黒区,Meguro-ku,71.6,75.3
大田区,Ota-ku,64.1,68.1
世田谷区,Setagaya-ku,56.4,58.7
渋谷区,Shibuya-ku,82,84.4
中野区,Nakano-ku,56.5,61.1
杉並区,Suginami-ku,47.5,49.1
豊島区,Toshima-ku,72.6,76.3
北区,Kita-ku,64.5,68.6
荒川区,Arakawa-ku,68.6,73
板橋区,Itabashi-ku,69.2,71.4
練馬区,Nerima-ku,45.5,46.7
足立区,Adachi-ku,62.7,66.2
葛飾区,Katsushika-ku,55.5,58.4
江戸川区,Edogawa-ku,62.2,64.4
