地域,Area,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
大手町,Otemachi,99.8,0.2,0,0
丸の内,Marunouchi,99.9,0.1,0,0
有楽町,Yurakucho,99.3,0.3,0.2,0.1
日比谷・内幸町,Hibiya/Uchisaiwaicho,99.3,0.4,0.2,0
霞が関,Kasumigaseki,99.5,0.5,0,0
永田町,Nagatacho,95.5,3.3,1.2,0
日本橋,Nihombashi,98.2,0.7,1,0.1
八重洲,Yaesu,98,0.1,1.9,0
京橋,Kyobashi,98,0.7,1.1,0.2
銀座,Ginza,96.5,1.4,2,0.1
新橋,Shimbashi,92.5,3.7,3.5,0.2
六本木・虎ノ門,Roppongi/Toranomon,91.2,2.3,5.1,1.3
新宿,Shinjuku,93.6,2.8,3.4,0.1
渋谷,Shibuya,93.6,2.7,3.6,0.1
池袋,Ikebukuro,86.8,4.8,8,0.3
大崎,Osaki,94.3,2.2,3.5,0.1
上野・浅草,Ueno/Asakusa,77.6,6.1,13.9,2.3
錦糸町・亀戸,Kinshicho/Kameido,75.2,10.1,14,0.7
台場,Daiba,99,1,0,0
有明,Ariake,95.1,4.8,0,0
青海,Aomi,90.7,9.3,0,0
品川,Shinagawa,93,4.4,2.3,0.3
秋葉原,Akihabara,95.7,0.8,3.2,0.3
