地域,Area,グロスGross構成比(%),ネットNet構成比(%)
千代田区,Chiyoda-ku,27.9,47.9
中央区,Chuo-ku,28.6,65.8
港区,Minato-ku,30.5,49.5
新宿区,Shinjuku-ku,37.8,55.1
文京区,Bunkyo-ku,38.6,55.3
台東区,Taito-ku,37.2,64.7
墨田区,Sumida-ku,33.7,60.3
江東区,Koto-ku,21.8,46
品川区,Shinagawa-ku,30.4,52.4
目黒区,Meguro-ku,39.1,53.2
大田区,Ota-ku,25,49.3
世田谷区,Setagaya-ku,33.6,49.2
渋谷区,Shibuya-ku,36,52.4
中野区,Nakano-ku,39.9,55.6
杉並区,Suginami-ku,36.4,51.1
豊島区,Toshima-ku,39.9,58.4
北区,Kita-ku,29.1,51.1
荒川区,Arakawa-ku,34.2,57.4
板橋区,Itabashi-ku,31.9,51.1
練馬区,Nerima-ku,31.6,49.3
足立区,Adachi-ku,26.6,47.9
葛飾区,Katsushika-ku,27.4,51.8
江戸川区,Edogawa-ku,25.6,52.1
