地域,Area,平成28年(2016)構成比(%),令和3年(2021)構成比(%)
千代田区,Chiyoda-ku,86.2,86.6
中央区,Chuo-ku,80.9,86.3
港区,Minato-ku,65.6,67.5
新宿区,Shinjuku-ku,50,51.5
文京区,Bunkyo-ku,42.2,43.6
台東区,Taito-ku,50.3,52.9
墨田区,Sumida-ku,38.9,41.7
江東区,Koto-ku,48.2,50.5
品川区,Shinagawa-ku,36.4,38.5
目黒区,Meguro-ku,25,25.6
大田区,Ota-ku,26.7,28.2
世田谷区,Setagaya-ku,18.6,19.5
渋谷区,Shibuya-ku,49,50
中野区,Nakano-ku,20.2,22
杉並区,Suginami-ku,14.2,14.6
豊島区,Toshima-ku,34.7,36.5
北区,Kita-ku,29.4,30.8
荒川区,Arakawa-ku,28.2,29.6
板橋区,Itabashi-ku,28.3,28.8
練馬区,Nerima-ku,15.3,15.8
足立区,Adachi-ku,18.6,19.2
葛飾区,Katsushika-ku,17.1,17.6
江戸川区,Edogawa-ku,21,21.5
