地域,Area,平成28年(2016)（階）,令和3年(2021)（階）
大手町,Otemachi,16.9,18.6
丸の内,Marunouchi,13.8,14
有楽町,Yurakucho,7.6,7.7
日比谷・内幸町,Hibiya/Uchisaiwaicho,10.1,10.6
霞が関,Kasumigaseki,10.4,9.9
永田町,Nagatacho,5.8,6
日本橋,Nihombashi,6.8,7
八重洲,Yaesu,6.6,7.3
京橋,Kyobashi,6.9,7.5
銀座,Ginza,6.5,6.9
新橋,Shimbashi,5.6,6
六本木・虎ノ門,Roppongi/Toranomon,4.8,5.1
新宿,Shinjuku,5.6,5.8
渋谷,Shibuya,5.4,5.6
池袋,Ikebukuro,4.8,5
大崎,Osaki,6.3,6.4
上野・浅草,Ueno/Asakusa,4.1,4.3
錦糸町・亀戸,Kinshicho/Kameido,3.7,3.9
台場,Daiba,10.9,11.5
有明,Ariake,6.5,6.7
青海,Aomi,5.4,4.8
品川,Shinagawa,6.2,6.3
秋葉原,Akihabara,5.7,6
