地域,Area,L-1／宅地構成比(%),L-2／その他構成比(%),L-3／公園等構成比(%),L-4／未利用地等構成比(%),L-5／道路等（道路）構成比(%),L-6／農用地構成比(%),L-7／水面構成比(%),L-8／森林構成比(%),L-9／原野構成比(%)
千代田区,Chiyoda-ku,58.3,0.9,6.9,1,27.3,-,5.6,-,-
中央区,Chuo-ku,43.5,1.6,6,4,29.2,-,15.7,-,-
港区,Minato-ku,61.7,2.3,7.5,1.6,23.9,-,3.1,0,0
新宿区,Shinjuku-ku,68.5,1.9,6.2,1.2,21.5,0,0.6,0,0
文京区,Bunkyo-ku,69.8,1.7,7.3,1.1,19.7,0,0.4,-,-
台東区,Taito-ku,57.5,1.9,8,0.7,28,0,4,-,-
墨田区,Sumida-ku,55.8,3.4,6.7,1.1,25.3,-,7.2,-,0.4
江東区,Koto-ku,47.5,5.6,11.2,4,19.8,0,11.9,-,-
品川区,Shinagawa-ku,57.9,6.5,6,1.8,23.9,0,3.7,-,0.2
目黒区,Meguro-ku,73.4,2.2,3.2,1.7,18.7,0.1,0.6,-,0
大田区,Ota-ku,50.6,3.4,4.6,2,32.6,0,5.7,0,1
世田谷区,Setagaya-ku,68.3,3.2,5.6,1.5,18,1.6,0.9,0.3,0.7
渋谷区,Shibuya-ku,68.7,1.7,6.2,2.3,21,0,0.2,-,-
中野区,Nakano-ku,71.8,2.9,3.8,1.7,19,0.2,0.7,0,-
杉並区,Suginami-ku,71.2,2.8,4.8,1.1,18,1.2,0.8,0.1,0
豊島区,Toshima-ku,68.3,2.7,4.1,1.8,22.9,0,0.1,-,-
北区,Kita-ku,56.9,3.3,8.3,2.3,22.3,0,5.7,0.2,1
荒川区,Arakawa-ku,59.6,4.3,5.9,1.8,23.6,0,4.9,-,-
板橋区,Itabashi-ku,62.5,4.4,7.2,1.4,20.6,0.6,2.6,0,0.7
練馬区,Nerima-ku,64.1,4.9,5.4,1.7,19.1,4.1,0.6,0.1,0
足立区,Adachi-ku,55.5,5.8,7.4,1.9,21.1,0.9,5.6,0,2
葛飾区,Katsushika-ku,53,4.8,8,1.2,20.6,0.9,8.8,-,2.7
江戸川区,Edogawa-ku,49.2,6.1,8.2,1.3,20.8,1,10.7,0,2.8
中央防波堤,CentralBreakwater,0.9,2.3,-,60.6,35.8,-,0.3,-,-
