地域,Area,平成28年(2016)構成比(%),令和3年(2021)構成比(%)
千代田区,Chiyoda-ku,99.4,99.5
中央区,Chuo-ku,98.5,99
港区,Minato-ku,97.9,98.5
新宿区,Shinjuku-ku,92.4,93.5
文京区,Bunkyo-ku,90.3,91.8
台東区,Taito-ku,87.8,89.6
墨田区,Sumida-ku,88.1,90.2
江東区,Koto-ku,94.4,95.4
品川区,Shinagawa-ku,84.5,87
目黒区,Meguro-ku,82.9,85.3
大田区,Ota-ku,77,80.1
世田谷区,Setagaya-ku,68.8,70.8
渋谷区,Shibuya-ku,92.6,93.7
中野区,Nakano-ku,71.3,74.8
杉並区,Suginami-ku,60,61.4
豊島区,Toshima-ku,86.7,88.7
北区,Kita-ku,80,82.9
荒川区,Arakawa-ku,83.3,86
板橋区,Itabashi-ku,81.4,82.9
練馬区,Nerima-ku,60.1,61.2
足立区,Adachi-ku,74.8,77.5
葛飾区,Katsushika-ku,68.8,71.2
江戸川区,Edogawa-ku,75.6,77.3
