地域,Area,平成28年(2016)構成比(%),令和3年(2021)構成比(%)
大手町,Otemachi,100.0,100.0
丸の内,Marunouchi,100.0,100.0
有楽町,Yurakucho,99.6,99.7
日比谷・内幸町,Hibiya/Uchisaiwaicho,99.8,99.8
霞が関,Kasumigaseki,100.0,100.0
永田町,Nagatacho,98.8,98.9
日本橋,Nihombashi,98.9,99.2
八重洲,Yaesu,98.1,98.3
京橋,Kyobashi,98.7,99.2
銀座,Ginza,97.9,98.6
新橋,Shimbashi,96.2,97.4
六本木・虎ノ門,Roppongi/Toranomon,93.5,95.0
新宿,Shinjuku,96.4,97.2
渋谷,Shibuya,96.3,97.1
池袋,Ikebukuro,91.7,93.2
大崎,Osaki,96.5,97.3
上野・浅草,Ueno/Asakusa,83.7,85.4
錦糸町・亀戸,Kinshicho/Kameido,85.3,87.2
台場,Daiba,100.0,100.0
有明,Ariake,100.0,100.0
青海,Aomi,100.0,100.0
品川,Shinagawa,97.4,97.6
秋葉原,Akihabara,96.5,97.3
